description,change1_sh,up1_sh,down1_sh,total1,up1,up2,up3,up4,down1,down2,down3,down4,level1,level2,level3,level4,up_ch1,up_ch2,up_ch3,up_ch4,down_ch1,down_ch2,down_ch3,down_ch4,total2,total3,total4,up2_sh,up3_sh,up4_sh,down2_sh,down3_sh,down4_sh,level1_sh,level2_sh,level3_sh,level4_sh,change2_sh,change3_sh,change4_sh,division,_merge
FLAT PANEL  TV,.47095761,.1122449,.3587127,1274,143,0,0,0,457,0,0,0,674,0,0,0,.17480873,,,,-.10897776,,,,0,0,0,,,,,,,.52904236,,,,,,,9,matched (3)
RUM WHITE EG BACARDI 70CL BOTT,.46876526,.2328901,.23587517,18425,4291,1699,317,205,4346,1667,260,149,9788,4441,786,480,.18622738,.16534281,.17405872,.14927317,-.14446512,-.12807411,-.15183531,-.15067269,7807,1363,834,.2176252,.23257521,.24580336,.21352632,.19075568,.17865707,.53123474,.56884849,.5766691,.57553959,.43115151,.4233309,.42446041,2,matched (3)
PEACH/NECTARINE EACH,.46665648,.20708072,.25957575,6553,1357,189,0,0,1701,280,0,0,3495,387,0,0,.2982721,.36470813,,,-.25504565,-.25830844,,,856,0,0,.22079439,,,.32710281,,,.53334349,.45210281,,,.54789722,,,1,matched (3)
"FLAT PANEL TV 23""-32""",.4640981,.18332131,.28077677,19414,3559,648,0,0,5451,644,0,0,10404,1730,0,0,.11891618,.12498347,,,-.086249247,-.092263333,,,3022,0,0,.21442753,,,.21310391,,,.5359019,.57246858,,,.42753142,,,9,matched (3)
"TELEVISION 40"" OR LARGERTELEVISION 40"" OR LARGERTELEVISION 40"" OR LARGER",.46128559,.16179693,.29948866,5476,886,725,254,178,1640,1450,397,279,2950,2572,789,500,.12369365,.12629537,.14759485,.12705976,-.083555646,-.081211582,-.11990564,-.14487439,4747,1440,957,.15272804,.17638889,.1859979,.30545607,.27569443,.29153606,.53871441,.54181588,.54791665,.52246606,.45818412,.45208332,.47753397,9,matched (3)
GIN BOTTLE 70CLGIN BOTTLE 70CLGIN BOTTLE 70CL,.45745355,.23530155,.22215198,7909,1861,1682,287,181,1757,1699,291,168,4291,3915,990,603,.18625745,.1892681,.14171103,.14626175,-.14653037,-.14826174,-.13288213,-.12696625,7296,1568,952,.23053728,.18303572,.19012605,.23286733,.18558674,.17647059,.54254645,.5365954,.63137758,.63340336,.4634046,.36862245,.36659664,2,matched (3)
FRIDGE/FREEZER - 2005,.45484948,.23411371,.22073579,1495,350,0,0,0,330,0,0,0,815,0,0,0,.14866666,,,,-.11100286,,,,0,0,0,,,,,,,.54515052,,,,,,,5,matched (3)
DIGITAL CAMERA,.4533762,.11495177,.33842444,1244,143,0,0,0,421,0,0,0,680,0,0,0,.13250992,,,,-.097131267,,,,0,0,0,,,,,,,.54662377,,,,,,,9,matched (3)
WASHING MACHINE - 2005,.44820184,.16156736,.28663447,1863,301,0,0,0,534,0,0,0,1028,0,0,0,.15271196,,,,-.079904355,,,,0,0,0,,,,,,,.55179816,,,,,,,5,matched (3)
FRIDGE FREEZER RS 2010-11,.44735721,.21494032,.23241688,9384,2017,0,0,0,2181,0,0,0,5186,0,0,0,.123559,,,,-.09480308,,,,0,0,0,,,,,,,.55264282,,,,,,,5,matched (3)
