description,type,name,region_s,year,price
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",East Midlands,1988,11.99
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",West Midlands,1988,15.99
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",Yorkshire & Humber,1988,14.99
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",North West,1988,15.99
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",North,1988,14.99
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",Wales,1988,15.99
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",Scotland,1988,18.99
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",Northern Ireland,1988,18.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",Catalogue collections,1988,12.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",London,1988,12.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",South East,1988,14.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",South West,1988,14.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",East Anglia,1988,12.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",East Midlands,1988,14.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",West Midlands,1988,14.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",Yorkshire & Humber,1988,14.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",North West,1988,13.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",North,1988,13.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",Wales,1988,14.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",Scotland,1988,14.95
WOMEN'S JUMPER,Presents,"Jumper, woman's",Northern Ireland,1988,12.99
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,London,1988,11.95
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,South East,1988,5.4899998
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,South West,1988,5.9499998
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,East Anglia,1988,4.25
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,East Midlands,1988,11.49
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,West Midlands,1988,5.9899998
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,Yorkshire & Humber,1988,6.4899998
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,North West,1988,9.9499998
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,North,1988,5.9899998
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,Wales,1988,4.25
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,Scotland,1988,4.4949999
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,Northern Ireland,1988,8.1000004
MEN'S SOCKS,Presents,"Socks, man's",Catalogue collections,1988,2.95
MEN'S SOCKS,Presents,"Socks, man's",London,1988,1.66
MEN'S SOCKS,Presents,"Socks, man's",South East,1988,1.99
MEN'S SOCKS,Presents,"Socks, man's",South West,1988,1.79
MEN'S SOCKS,Presents,"Socks, man's",East Anglia,1988,2.125
MEN'S SOCKS,Presents,"Socks, man's",East Midlands,1988,1.495
MEN'S SOCKS,Presents,"Socks, man's",West Midlands,1988,1.6900001
MEN'S SOCKS,Presents,"Socks, man's",Yorkshire & Humber,1988,2.25
MEN'S SOCKS,Presents,"Socks, man's",North West,1988,1.75
MEN'S SOCKS,Presents,"Socks, man's",North,1988,1.5
MEN'S SOCKS,Presents,"Socks, man's",Wales,1988,1.625
MEN'S SOCKS,Presents,"Socks, man's",Scotland,1988,2.2
MEN'S SOCKS,Presents,"Socks, man's",Northern Ireland,1988,2.29
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,London,1988,.99000001
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,South East,1988,.88999999
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,South West,1988,.82500005
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,East Anglia,1988,.94999999
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,East Midlands,1988,.79500002
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,West Midlands,1988,.87
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,Yorkshire & Humber,1988,.79000002
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,North West,1988,.94999999
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,North,1988,.85000002
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,Wales,1988,.85000002
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,Scotland,1988,1.99
