Date,Value,Detail
1998,323640,CG: Total expenditure: £m CPNSA
1999,335112,
2000,352954,
2001,377098,
2002,408199,
2003,448797,
2004,483503,
2005,520180,
2006,549141,
2007,578777,
2008,644733,
2009,666779,
2010,699952,
2011,701122,
2012,732661,
2013,722526,
2014,745697,
2015,750722,
2016,759348,
2017,780041,
2018,804184,
2019,830345,
2020,1019255,
