Date,Value,Detail
1997-01-01,348350,PS: Net debt (PSND): £m CPNSA
1997-04-01,355808,
1997-07-01,356193,
1997-10-01,355421,
1998-01-01,350133,
1998-04-01,356303,
1998-07-01,354585,
1998-10-01,352393,
1999-01-01,348938,
1999-04-01,352470,
1999-07-01,347120,
1999-10-01,353809,
2000-01-01,338801,
2000-04-01,327904,
2000-07-01,312097,
2000-10-01,318465,
2001-01-01,306986,
2001-04-01,315543,
2001-07-01,309126,
2001-10-01,319721,
2002-01-01,313956,
2002-04-01,323147,
2002-07-01,326335,
2002-10-01,350628,
2003-01-01,348009,
2003-04-01,352602,
2003-07-01,360149,
2003-10-01,380510,
2004-01-01,381324,
2004-04-01,406377,
2004-07-01,412757,
2004-10-01,437896,
2005-01-01,435633,
2005-04-01,448370,
2005-07-01,458755,
2005-10-01,479370,
2006-01-01,474403,
2006-04-01,494032,
2006-07-01,498584,
2006-10-01,513217,
2007-01-01,509458,
2007-04-01,526512,
2007-07-01,527588,
2007-10-01,648723,
2008-01-01,637874,
2008-04-01,663833,
2008-07-01,764525,
2008-10-01,2186070,
2009-01-01,2163382,
2009-04-01,2163319,
2009-07-01,2206323,
2009-10-01,2300260,
2010-01-01,2284141,
2010-04-01,2283449,
2010-07-01,2276183,
2010-10-01,2303108,
2011-01-01,2299282,
2011-04-01,2312311,
2011-07-01,2292540,
2011-10-01,2284917,
2012-01-01,2229032,
2012-04-01,2189114,
2012-07-01,2203607,
2012-10-01,2243355,
2013-01-01,2254077,
2013-04-01,2231971,
2013-07-01,2238542,
2013-10-01,2264707,
2014-01-01,2014170,
2014-04-01,1783929,
2014-07-01,1801480,
2014-10-01,1840102,
2015-01-01,1829419,
2015-04-01,1846668,
2015-07-01,1852827,
2015-10-01,1869311,
2016-01-01,1878477,
2016-04-01,1914487,
2016-07-01,1918282,
2016-10-01,1964159,
2017-01-01,1985397,
2017-04-01,2010755,
2017-07-01,2027236,
2017-10-01,1991083,
2018-01-01,2017121,
2018-04-01,2036691,
2018-07-01,2041552,
2018-10-01,2065669,
2019-01-01,2062075,
2019-04-01,2081575,
2019-07-01,2085564,
2019-10-01,2110000,
2020-01-01,2112471,
2020-04-01,2298098,
2020-07-01,2380452,
2020-10-01,2456181,
