Month,CG: Total revenue: £m CPNSA,,
1997-04-01,22098,,
1997-05-01,22004,,
1997-06-01,21758,,
1997-07-01,25573,,
1997-08-01,23321,,
1997-09-01,24235,,
1997-10-01,26975,,
1997-11-01,27763,,
1997-12-01,27129,,
1998-01-01,35368,,
1998-02-01,27417,,
1998-03-01,25369,,
1998-04-01,24677,,
1998-05-01,22162,,
1998-06-01,22957,,
1998-07-01,29950,,
1998-08-01,24632,,
1998-09-01,25108,,
1998-10-01,34052,,
1998-11-01,24254,,
1998-12-01,28392,,
1999-01-01,34277,,
1999-02-01,30469,,
1999-03-01,27778,,
1999-04-01,27110,,
1999-05-01,23750,,
1999-06-01,24443,,
1999-07-01,31658,,
1999-08-01,26556,,
1999-09-01,28337,,
1999-10-01,35550,,
1999-11-01,26746,,
1999-12-01,27926,,
2000-01-01,38826,,
2000-02-01,30270,,
2000-03-01,30518,,
2000-04-01,29839,,
2000-05-01,29646,,
2000-06-01,30170,,
2000-07-01,32753,,
2000-08-01,31376,,
2000-09-01,29870,,
2000-10-01,29629,,
2000-11-01,29320,,
2000-12-01,29611,,
2001-01-01,38489,,
2001-02-01,35260,,
2001-03-01,32149,,
2001-04-01,31612,,
2001-05-01,30224,,
2001-06-01,30365,,
2001-07-01,34117,,
2001-08-01,30980,,
2001-09-01,30909,,
2001-10-01,30182,,
2001-11-01,29425,,
2001-12-01,30158,,
2002-01-01,38849,,
2002-02-01,34796,,
2002-03-01,33062,,
2002-04-01,32033,,
2002-05-01,29707,,
2002-06-01,30100,,
2002-07-01,34332,,
2002-08-01,31793,,
2002-09-01,31089,,
2002-10-01,31253,,
2002-11-01,30461,,
2002-12-01,31117,,
2003-01-01,38457,,
2003-02-01,35723,,
2003-03-01,34670,,
2003-04-01,34037,,
2003-05-01,31309,,
2003-06-01,32765,,
2003-07-01,35946,,
2003-08-01,33594,,
2003-09-01,33238,,
2003-10-01,33855,,
2003-11-01,32684,,
2003-12-01,34106,,
2004-01-01,40644,,
2004-02-01,40195,,
2004-03-01,39173,,
2004-04-01,34252,,
2004-05-01,34866,,
2004-06-01,35289,,
2004-07-01,39001,,
2004-08-01,37145,,
2004-09-01,36405,,
2004-10-01,36918,,
2004-11-01,36493,,
2004-12-01,37490,,
2005-01-01,47280,,
2005-02-01,42479,,
2005-03-01,40679,,
2005-04-01,38049,,
2005-05-01,37290,,
2005-06-01,37087,,
2005-07-01,42027,,
2005-08-01,39667,,
2005-09-01,39874,,
2005-10-01,39538,,
2005-11-01,38491,,
2005-12-01,39829,,
2006-01-01,50110,,
2006-02-01,44474,,
2006-03-01,44568,,
