Date,Value ,Detail
1998,324338,CG: Total revenue: £m CPNSA
1999,344600,
2000,371828,
2001,383870,
2002,388592,
2003,410384,
2004,447871,
2005,482290,
2006,509977,
2007,540524,
2008,568289,
2009,519327,
2010,554362,
2011,580567,
2012,601053,
2013,626779,
2014,640745,
2015,664874,
2016,700729,
2017,738739,
2018,763582,
2019,788651,
2020,751363,
