Date,Value,Detail
1963-01-01,7363,"GDP at market prices (Seasonally adjusted, £m)"
1963-04-01,7748,
1963-07-01,7868,
1963-10-01,8112,
1964-01-01,8143,
1964-04-01,8432,
1964-07-01,8616,
1964-10-01,8852,
1965-01-01,9018,
1965-04-01,9062,
1965-07-01,9283,
1965-10-01,9463,
1966-01-01,9606,
1966-04-01,9774,
1966-07-01,9956,
1966-10-01,10058,
1967-01-01,10160,
1967-04-01,10415,
1967-07-01,10487,
1967-10-01,10622,
1968-01-01,11101,
1968-04-01,11234,
1968-07-01,11589,
1968-10-01,11885,
1969-01-01,12092,
1969-04-01,12274,
1969-07-01,12545,
1969-10-01,12874,
1970-01-01,13228,
1970-04-01,13806,
1970-07-01,14258,
1970-10-01,14765,
1971-01-01,14992,
1971-04-01,15499,
1971-07-01,15996,
1971-10-01,16398,
1972-01-01,16596,
1972-04-01,17383,
1972-07-01,17753,
1972-10-01,18821,
1973-01-01,20040,
1973-04-01,19862,
1973-07-01,20547,
1973-10-01,21297,
1974-01-01,21119,
1974-04-01,22634,
1974-07-01,23880,
1974-10-01,24979,
1975-01-01,26799,
1975-04-01,28112,
1975-07-01,29242,
1975-10-01,30874,
1976-01-01,32430,
1976-04-01,33299,
1976-07-01,34523,
1976-10-01,36649,
1977-01-01,38007,
1977-04-01,39205,
1977-07-01,40298,
1977-10-01,42121,
1978-01-01,44092,
1978-04-01,45856,
1978-07-01,47154,
1978-10-01,48858,
1979-01-01,50402,
1979-04-01,53904,
1979-07-01,56698,
1979-10-01,59717,
1980-01-01,62025,
1980-04-01,63624,
1980-07-01,65948,
1980-10-01,68066,
1981-01-01,69863,
1981-04-01,71249,
1981-07-01,73221,
1981-10-01,75507,
1982-01-01,77381,
1982-04-01,78901,
1982-07-01,80348,
1982-10-01,82582,
1983-01-01,85542,
1983-04-01,86316,
1983-07-01,88459,
1983-10-01,90734,
1984-01-01,91524,
1984-04-01,93419,
1984-07-01,94742,
1984-10-01,97959,
1985-01-01,98784,
1985-04-01,103424,
1985-07-01,105007,
1985-10-01,107213,
1986-01-01,108513,
1986-04-01,110330,
1986-07-01,112166,
1986-10-01,115626,
1987-01-01,117982,
1987-04-01,121829,
1987-07-01,126800,
1987-10-01,129529,
1988-01-01,133105,
1988-04-01,136147,
1988-07-01,140831,
1988-10-01,145524,
1989-01-01,148564,
1989-04-01,151393,
1989-07-01,155573,
1989-10-01,158994,
1990-01-01,162181,
1990-04-01,166693,
1990-07-01,169806,
1990-10-01,170251,
1991-01-01,173302,
1991-04-01,175408,
1991-07-01,177054,
1991-10-01,179700,
1992-01-01,181341,
1992-04-01,181762,
1992-07-01,182216,
1992-10-01,185259,
1993-01-01,189690,
1993-04-01,190122,
1993-07-01,193481,
1993-10-01,195866,
1994-01-01,198814,
1994-04-01,200550,
1994-07-01,202863,
1994-10-01,207259,
1995-01-01,208283,
1995-04-01,210739,
1995-07-01,214461,
1995-10-01,216698,
1996-01-01,220219,
1996-04-01,224881,
1996-07-01,229294,
1996-10-01,232871,
1997-01-01,233985,
1997-04-01,235563,
1997-07-01,242589,
1997-10-01,239613,
1998-01-01,243273,
1998-04-01,246876,
1998-07-01,250242,
1998-10-01,256856,
1999-01-01,257971,
1999-04-01,256599,
1999-07-01,260238,
1999-10-01,264944,
2000-01-01,270734,
2000-04-01,273515,
2000-07-01,275409,
2000-10-01,276242,
2001-01-01,278908,
2001-04-01,285103,
2001-07-01,285857,
2001-10-01,288507,
2002-01-01,291400,
2002-04-01,294478,
2002-07-01,298755,
2002-10-01,303038,
2003-01-01,307070,
2003-04-01,310584,
2003-07-01,316568,
2003-10-01,321966,
2004-01-01,322897,
2004-04-01,329033,
2004-07-01,330791,
2004-10-01,334738,
2005-01-01,337926,
2005-04-01,346983,
2005-07-01,349720,
2005-10-01,358409,
2006-01-01,361619,
2006-04-01,366410,
2006-07-01,369568,
2006-10-01,373122,
2007-01-01,378624,
2007-04-01,383376,
2007-07-01,389461,
2007-10-01,394624,
2008-01-01,400688,
2008-04-01,398915,
2008-07-01,397188,
2008-10-01,392468,
2009-01-01,384441,
2009-04-01,385619,
2009-07-01,389776,
2009-10-01,388677,
2010-01-01,394878,
2010-04-01,401588,
2010-07-01,403451,
2010-10-01,406110,
2011-01-01,414242,
2011-04-01,411759,
2011-07-01,414864,
2011-10-01,419276,
2012-01-01,421447,
2012-04-01,423697,
2012-07-01,432624,
2012-10-01,434002,
2013-01-01,436035,
2013-04-01,440203,
2013-07-01,449241,
2013-10-01,454857,
2014-01-01,459591,
2014-04-01,463641,
2014-07-01,468959,
2014-10-01,470817,
2015-01-01,473838,
2015-04-01,480944,
2015-07-01,481713,
2015-10-01,483146,
2016-01-01,489770,
2016-04-01,497175,
2016-07-01,500613,
2016-10-01,507154,
2017-01-01,512085,
2017-04-01,513953,
2017-07-01,517482,
2017-10-01,525237,
2018-01-01,527869,
2018-04-01,532966,
2018-07-01,539287,
2018-10-01,541670,
2019-01-01,548802,
2019-04-01,551964,
2019-07-01,558286,
2019-10-01,559387,
2020-01-01,550426,
2020-04-01,476392,
2020-07-01,538867,
2020-10-01,547361,
