Month,"Quarterly amounts outstanding of M4 lending (£m, seasonally adjusted)"
1963-03-31,8755
1963-06-30,9046
1963-09-30,9307
1963-12-31,9592
1964-03-31,9890
1964-06-30,10240
1964-09-30,10657
1964-12-31,11111
1965-03-31,11407
1965-06-30,11676
1965-09-30,11803
1965-12-31,12017
1966-03-31,12334
1966-06-30,12549
1966-09-30,12710
1966-12-31,12742
1967-03-31,12942
1967-06-30,13093
1967-09-30,13486
1967-12-31,13975
1968-03-31,14310
1968-06-30,14857
1968-09-30,14989
1968-12-31,15394
1969-03-31,15725
1969-06-30,15904
1969-09-30,16308
1969-12-31,16616
1970-03-31,17079
1970-06-30,17854
1970-09-30,18238
1970-12-31,18603
1971-03-31,19062
1971-06-30,19629
1971-09-30,20611
1971-12-31,21810
1972-03-31,24229
1972-06-30,26299
1972-09-30,27772
1972-12-31,29900
1973-03-31,31899
1973-06-30,33460
1973-09-30,35587
1973-12-31,37968
1974-03-31,39348
1974-06-30,40812
1974-09-30,42179
1974-12-31,42832
1975-03-31,43672
1975-06-30,43402
1975-09-30,43705
1975-12-31,44288
1976-03-31,45248
1976-06-30,47078
1976-09-30,49026
1976-12-31,51280
1977-03-31,52233
1977-06-30,54087
1977-09-30,56273
1977-12-31,58612
1978-03-31,60590
1978-06-30,63488
1978-09-30,65841
1978-12-31,68584
1979-03-31,71995
1979-06-30,75752
1979-09-30,79063
1979-12-31,82425
1980-03-31,86482
1980-06-30,90564
1980-09-30,94701
1980-12-31,98170
1981-03-31,101679
1981-06-30,104602
1981-09-30,109335
1981-12-31,119634
1982-03-31,126209
1982-06-30,131923
1982-09-30,139448
1982-12-31,145101
1983-03-31,150587
1983-06-30,156790
1983-09-30,162967
1983-12-31,169049
1984-03-31,176539
1984-06-30,183721
1984-09-30,191300
1984-12-31,199412
1985-03-31,208932
1985-06-30,217065
1985-09-30,224599
1985-12-31,233405
1986-03-31,243463
1986-06-30,254072
1986-09-30,267469
1986-12-31,282210
1987-03-31,292713
1987-06-30,306298
1987-09-30,320423
1987-12-31,335148
1988-03-31,353613
1988-06-30,375342
1988-09-30,397133
1988-12-31,416668
1989-03-31,438219
1989-06-30,458913
1989-09-30,483760
1989-12-31,504834
1990-03-31,527506
1990-06-30,545427
1990-09-30,559670
1990-12-31,574171
1991-03-31,585688
1991-06-30,592068
1991-09-30,600431
1991-12-31,604991
1992-03-31,608058
1992-06-30,615911
1992-09-30,620286
1992-12-31,622067
1993-03-31,625073
1993-06-30,628570
1993-09-30,634437
1993-12-31,641554
1994-03-31,641749
1994-06-30,646463
1994-09-30,657272
1994-12-31,669208
1995-03-31,682261
1995-06-30,692569
1995-09-30,706177
1995-12-31,723857
1996-03-31,740684
1996-06-30,755903
1996-09-30,770749
1996-12-31,786366
1997-03-31,804261
1997-06-30,819966
1997-09-30,829375
1997-12-31,845526
1998-03-31,865074
1998-06-30,876389
1998-09-30,891755
1998-12-31,904402
1999-03-31,921338
1999-06-30,941736
1999-09-30,954910
1999-12-31,985682
2000-03-31,1019134
2000-06-30,1047361
2000-09-30,1078240
2000-12-31,1107395
2001-03-31,1136511
2001-06-30,1161408
2001-09-30,1178105
2001-12-31,1199025
2002-03-31,1217934
2002-06-30,1246745
2002-09-30,1280425
2002-12-31,1315341
2003-03-31,1335208
2003-06-30,1370814
2003-09-30,1397450
2003-12-31,1445113
2004-03-31,1485098
2004-06-30,1525923
2004-09-30,1578651
2004-12-31,1623613
2005-03-31,1666245
2005-06-30,1701592
2005-09-30,1745032
2005-12-31,1794015
2006-03-31,1866051
2006-06-30,1951581
2006-09-30,2001951
2006-12-31,2055684
2007-03-31,2128510
2007-06-30,2201954
2007-09-30,2301523
2007-12-31,2358175
2008-03-31,2413100
2008-06-30,2510489
2008-09-30,2617775
2008-12-31,2740056
2009-03-31,2812854
2009-06-30,2682999
2009-09-30,2700701
2009-12-31,2703492
2010-03-31,2600799
2010-06-30,2572080
2010-09-30,2497833
2010-12-31,2430580
2011-03-31,2430323
2011-06-30,2436319
2011-09-30,2418083
2011-12-31,2360406
2012-03-31,2324371
2012-06-30,2293384
2012-09-30,2284142
2012-12-31,2306380
2013-03-31,2281509
2013-06-30,2251675
2013-09-30,2274921
2013-12-31,2230208
2014-03-31,2184486
2014-06-30,2177085
2014-09-30,2176958
2014-12-31,2160511
2015-03-31,2156109
2015-06-30,2147651
2015-09-30,2153942
2015-12-31,2166221
2016-03-31,2192628
2016-06-30,2226183
2016-09-30,2243639
2016-12-31,2257198
2017-03-31,2320693
2017-06-30,2370081
2017-09-30,2376857
2017-12-31,2380079
2018-03-31,2371216
2018-06-30,2430461
2018-09-30,2439584
2018-12-31,2456174
2019-03-31,2479204
2019-06-30,2489595
2019-09-30,2547313
2019-12-31,2575361
2020-03-31,2638805
2020-06-30,2654773
2020-09-30,2651105
2020-12-31,2654172
