Date,Value,Detail
1997-04-01,-2346,CG: Current Budget Deficit: £m CPNSA
1997-05-01,-2530,
1997-06-01,-4446,
1997-07-01,198,
1997-08-01,-2013,
1997-09-01,-1367,
1997-10-01,2233,
1997-11-01,2552,
1997-12-01,-164,
1998-01-01,9712,
1998-02-01,648,
1998-03-01,-1953,
1998-04-01,-981,
1998-05-01,-3922,
1998-06-01,-2792,
1998-07-01,4206,
1998-08-01,-1516,
1998-09-01,-977,
1998-10-01,7290,
1998-11-01,-1879,
1998-12-01,852,
1999-01-01,8488,
1999-02-01,3193,
1999-03-01,-192,
1999-04-01,730,
1999-05-01,-2627,
1999-06-01,-2127,
1999-07-01,4684,
1999-08-01,-814,
1999-09-01,937,
1999-10-01,7585,
1999-11-01,-1587,
1999-12-01,170,
2000-01-01,11590,
2000-02-01,2616,
2000-03-01,2434,
2000-04-01,1785,
2000-05-01,1198,
2000-06-01,2389,
2000-07-01,4412,
2000-08-01,1813,
2000-09-01,275,
2000-10-01,451,
2000-11-01,212,
2000-12-01,-828,
2001-01-01,8379,
2001-02-01,5538,
2001-03-01,2341,
2001-04-01,1587,
2001-05-01,-576,
2001-06-01,751,
2001-07-01,3109,
2001-08-01,3061,
2001-09-01,-66,
2001-10-01,-1046,
2001-11-01,-579,
2001-12-01,-3503,
2002-01-01,5845,
2002-02-01,3538,
2002-03-01,1386,
2002-04-01,-1497,
2002-05-01,-5350,
2002-06-01,336,
2002-07-01,1621,
2002-08-01,188,
2002-09-01,-2863,
2002-10-01,-846,
2002-11-01,-3968,
2002-12-01,-2570,
2003-01-01,4195,
2003-02-01,2291,
2003-03-01,-225,
2003-04-01,-1180,
2003-05-01,-6004,
2003-06-01,-3279,
2003-07-01,246,
2003-08-01,-2103,
2003-09-01,-3394,
2003-10-01,-1497,
2003-11-01,-2454,
2003-12-01,-5275,
2004-01-01,3903,
2004-02-01,4185,
2004-03-01,995,
2004-04-01,-3057,
2004-05-01,-5629,
2004-06-01,-2996,
2004-07-01,1699,
2004-08-01,-2883,
2004-09-01,-4090,
2004-10-01,303,
2004-11-01,-4652,
2004-12-01,-4125,
2005-01-01,8791,
