Month,Public sector: PSND (excl. PS banks ex BoE) as a % of GDP: NSA
1997-04-01,36.4
1997-05-01,36.8
1997-06-01,37.5
1997-07-01,36.9
1997-08-01,36.9
1997-09-01,37.1
1997-10-01,36.4
1997-11-01,36.6
1997-12-01,36.6
1998-01-01,35.4
1998-02-01,35.1
1998-03-01,35.8
1998-04-01,35.2
1998-05-01,35.4
1998-06-01,35.8
1998-07-01,35.2
1998-08-01,35.2
1998-09-01,35.2
1998-10-01,34.4
1998-11-01,34.5
1998-12-01,34.7
1999-01-01,33.4
1999-02-01,33.2
1999-03-01,34
1999-04-01,33.4
1999-05-01,33.5
1999-06-01,34
1999-07-01,33.3
1999-08-01,33.1
1999-09-01,33
1999-10-01,32.1
1999-11-01,32
1999-12-01,33.2
2000-01-01,31.2
2000-02-01,30.8
2000-03-01,31.4
2000-04-01,30.7
2000-05-01,29.5
2000-06-01,30
2000-07-01,29.2
2000-08-01,29.1
2000-09-01,28.3
2000-10-01,27.6
2000-11-01,27.7
2000-12-01,28.6
2001-01-01,27
2001-02-01,26.8
2001-03-01,27.3
2001-04-01,27
2001-05-01,27.2
2001-06-01,27.8
2001-07-01,27.1
2001-08-01,26.9
2001-09-01,27.1
2001-10-01,26.5
2001-11-01,26.9
2001-12-01,27.7
2002-01-01,26.6
2002-02-01,26.3
2002-03-01,26.9
2002-04-01,26.7
2002-05-01,26.8
2002-06-01,27.3
2002-07-01,26.7
2002-08-01,26.8
2002-09-01,27.1
2002-10-01,27.6
2002-11-01,27.9
2002-12-01,28.8
2003-01-01,27.6
2003-02-01,27.3
2003-03-01,28.2
2003-04-01,27.4
2003-05-01,27.6
2003-06-01,28.2
2003-07-01,27.7
2003-08-01,27.9
2003-09-01,28.4
2003-10-01,28.3
2003-11-01,28.7
2003-12-01,29.7
2004-01-01,28.4
2004-02-01,28.4
2004-03-01,29.4
2004-04-01,29.9
2004-05-01,30.2
2004-06-01,30.9
2004-07-01,30.3
2004-08-01,30.4
2004-09-01,31
2004-10-01,30.7
2004-11-01,31.4
2004-12-01,32.4
2005-01-01,31.1
2005-02-01,31
2005-03-01,31.9
2005-04-01,31.5
2005-05-01,31.6
2005-06-01,32.3
2005-07-01,31.7
2005-08-01,31.9
2005-09-01,32.5
2005-10-01,32.1
2005-11-01,32.6
2005-12-01,33.6
2006-01-01,31.9
2006-02-01,31.9
2006-03-01,32.8
2006-04-01,32.5
2006-05-01,32.9
2006-06-01,33.7
2006-07-01,32.8
2006-08-01,32.9
2006-09-01,33.6
2006-10-01,33
2006-11-01,33.4
2006-12-01,34.2
2007-01-01,32.7
2007-02-01,32.6
2007-03-01,33.6
2007-04-01,33.3
2007-05-01,33.6
2007-06-01,34.2
2007-07-01,33.2
2007-08-01,33.4
2007-09-01,33.8
2007-10-01,33.4
2007-11-01,33.9
2007-12-01,34.8
2008-01-01,33.3
2008-02-01,33.6
2008-03-01,34.3
2008-04-01,34.5
2008-05-01,35.2
2008-06-01,36.5
2008-07-01,38.2
2008-08-01,39.1
2008-09-01,41.7
2008-10-01,42.3
2008-11-01,43.2
2008-12-01,46.5
2009-01-01,46.4
2009-02-01,47.1
2009-03-01,48.7
2009-04-01,49.2
2009-05-01,50.4
2009-06-01,51.9
2009-07-01,52
2009-08-01,52
2009-09-01,53.2
2009-10-01,53.4
2009-11-01,54.2
2009-12-01,57.7
2010-01-01,59.8
2010-02-01,60.1
2010-03-01,61.8
2010-04-01,61.8
2010-05-01,62.5
2010-06-01,63.7
2010-07-01,63.7
2010-08-01,64.1
2010-09-01,65.5
2010-10-01,65.5
2010-11-01,66.5
2010-12-01,68
2011-01-01,67.1
2011-02-01,67.4
2011-03-01,68.9
2011-04-01,69
2011-05-01,69.4
2011-06-01,70.6
2011-07-01,70
2011-08-01,70.9
2011-09-01,71.4
2011-10-01,71.2
2011-11-01,71.7
2011-12-01,73
2012-01-01,71.8
2012-02-01,72.1
2012-03-01,73.1
2012-04-01,71.7
2012-05-01,71.9
2012-06-01,73
2012-07-01,72.4
2012-08-01,72.6
2012-09-01,73.6
2012-10-01,73.7
2012-11-01,74.2
2012-12-01,75.4
2013-01-01,73.9
2013-02-01,73.7
2013-03-01,74.9
2013-04-01,74.6
2013-05-01,74.9
2013-06-01,75.4
2013-07-01,74.6
2013-08-01,74.3
2013-09-01,74.9
2013-10-01,74.4
2013-11-01,74.9
2013-12-01,75.9
2014-01-01,74.8
2014-02-01,74.9
2014-03-01,75.7
2014-04-01,75.3
2014-05-01,75.8
2014-06-01,76.7
2014-07-01,76.3
2014-08-01,76.4
2014-09-01,77.4
2014-10-01,77.1
2014-11-01,77.4
2014-12-01,78.6
2015-01-01,77.1
2015-02-01,77.1
2015-03-01,78
2015-04-01,77.5
2015-05-01,77.9
2015-06-01,78.6
2015-07-01,78
2015-08-01,77.8
2015-09-01,78.5
2015-10-01,78.2
2015-11-01,78.3
2015-12-01,78.6
2016-01-01,77.2
2016-02-01,76.9
2016-03-01,77.7
2016-04-01,77.4
2016-05-01,77.5
2016-06-01,77.8
2016-07-01,76.9
2016-08-01,76.9
2016-09-01,77.4
2016-10-01,76.9
2016-11-01,77.3
2016-12-01,78.1
2017-01-01,76.2
2017-02-01,76
2017-03-01,76.7
2017-04-01,75.8
2017-05-01,76.1
2017-06-01,76.8
2017-07-01,76.2
2017-08-01,76.1
2017-09-01,76.9
2017-10-01,76.4
2017-11-01,73.4
2017-12-01,74
2018-01-01,72.7
2018-02-01,72.5
2018-03-01,73.1
2018-04-01,72.6
2018-05-01,72.6
2018-06-01,72.9
2018-07-01,72
2018-08-01,72
2018-09-01,72.2
2018-10-01,72.1
2018-11-01,72.2
2018-12-01,72.8
2019-01-01,71.4
2019-02-01,71.3
2019-03-01,71.9
2019-04-01,71.3
2019-05-01,71.6
2019-06-01,72.1
2019-07-01,71.5
2019-08-01,71.6
2019-09-01,72.1
2019-10-01,73
2019-11-01,74.2
2019-12-01,75.8
2020-01-01,75.1
2020-02-01,75.3
2020-03-01,76.1
2020-04-01,78.5
2020-05-01,81.3
2020-06-01,83.4
2020-07-01,84.7
2020-08-01,86.2
2020-09-01,87.7
2020-10-01,87.3
2020-11-01,87.7
2020-12-01,88.4
2021-01-01,87.3
