Date,Value,Detail,Source
2004-01-31,3.43,Monthly average of UK resident monetary financial institutions' (excl. Central Bank) sterling weighted average interest rate - new time deposits from private non-financial corporations (in percent) not seasonally adjusted              [a] [b] [c] [d]             CFMBJ72,Bank of England
2004-02-29,3.8,,
2004-03-31,3.83,,
2004-04-30,3.78,,
2004-05-31,4.14,,
2004-06-30,4.26,,
2004-07-31,4.28,,
2004-08-31,4.48,,
2004-09-30,4.52,,
2004-10-31,4.49,,
2004-11-30,4.47,,
2004-12-31,4.48,,
2005-01-31,4.47,,
2005-02-28,4.48,,
2005-03-31,4.5,,
2005-04-30,4.53,,
2005-05-31,4.48,,
2005-06-30,4.5,,
2005-07-31,4.45,,
2005-08-31,4.2,,
2005-09-30,4.06,,
2005-10-31,3.94,,
2005-11-30,3.91,,
2005-12-31,4.05,,
2006-01-31,4.23,,
2006-02-28,4.2,,
2006-03-31,4.25,,
2006-04-30,4.26,,
2006-05-31,4.28,,
2006-06-30,4.34,,
2006-07-31,4.31,,
2006-08-31,4.54,,
2006-09-30,4.59,,
2006-10-31,4.62,,
2006-11-30,4.83,,
2006-12-31,4.91,,
2007-01-31,5.02,,
2007-02-28,5.16,,
2007-03-31,5.09,,
2007-04-30,5.17,,
2007-05-31,5.35,,
2007-06-30,5.42,,
2007-07-31,5.61,,
2007-08-31,5.78,,
2007-09-30,5.84,,
2007-10-31,5.65,,
2007-11-30,5.62,,
2007-12-31,5.8,,
2008-01-31,5.29,,
2008-02-29,5.15,,
2008-03-31,5.27,,
2008-04-30,5.12,,
2008-05-31,5.03,,
2008-06-30,5.11,,
2008-07-31,5.05,,
2008-08-31,4.99,,
2008-09-30,4.99,,
2008-10-31,5.01,,
2008-11-30,3.09,,
2008-12-31,2.01,,
2009-01-31,1.37,,
2009-02-28,1.08,,
2009-03-31,0.8,,
2009-04-30,0.68,,
2009-05-31,0.6,,
2009-06-30,0.6,,
2009-07-31,0.52,,
2009-08-31,0.48,,
2009-09-30,0.41,,
2009-10-31,0.43,,
2009-11-30,0.42,,
2009-12-31,0.41,,
2010-01-31,0.43,,
2010-02-28,0.45,,
2010-03-31,0.45,,
2010-04-30,0.46,,
2010-05-31,0.46,,
2010-06-30,0.49,,
2010-07-31,0.49,,
2010-08-31,0.52,,
2010-09-30,0.52,,
2010-10-31,0.51,,
2010-11-30,0.48,,
2010-12-31,0.5,,
2011-01-31,0.51,,
2011-02-28,0.62,,
2011-03-31,0.62,,
2011-04-30,0.55,,
2011-05-31,0.57,,
2011-06-30,0.58,,
2011-07-31,0.58,,
2011-08-31,0.59,,
2011-09-30,0.63,,
2011-10-31,0.65,,
2011-11-30,0.68,,
2011-12-31,0.61,,
2012-01-31,0.73,,
2012-02-29,0.73,,
2012-03-31,0.71,,
2012-04-30,0.84,,
2012-05-31,0.68,,
2012-06-30,0.64,,
2012-07-31,0.7,,
2012-08-31,0.58,,
2012-09-30,0.59,,
2012-10-31,0.56,,
2012-11-30,0.53,,
2012-12-31,0.46,,
2013-01-31,0.44,,
2013-02-28,0.44,,
2013-03-31,0.47,,
2013-04-30,0.55,,
2013-05-31,0.41,,
2013-06-30,0.43,,
2013-07-31,0.43,,
2013-08-31,0.41,,
2013-09-30,0.41,,
2013-10-31,0.43,,
2013-11-30,0.43,,
2013-12-31,0.4,,
2014-01-31,0.45,,
2014-02-28,0.41,,
2014-03-31,0.43,,
2014-04-30,0.56,,
2014-05-31,0.4,,
2014-06-30,0.46,,
2014-07-31,0.43,,
2014-08-31,0.43,,
2014-09-30,0.43,,
2014-10-31,0.43,,
2014-11-30,0.41,,
2014-12-31,0.48,,
2015-01-31,0.42,,
2015-02-28,0.41,,
2015-03-31,0.47,,
2015-04-30,0.47,,
2015-05-31,0.43,,
2015-06-30,0.39,,
2015-07-31,0.43,,
2015-08-31,0.41,,
2015-09-30,0.42,,
2015-10-31,0.42,,
2015-11-30,0.42,,
2015-12-31,0.41,,
2016-01-31,0.57,,
2016-02-29,0.48,,
2016-03-31,0.55,,
2016-04-30,0.57,,
2016-05-31,0.59,,
2016-06-30,0.54,,
2016-07-31,0.53,,
2016-08-31,0.35,,
2016-09-30,0.34,,
2016-10-31,0.4,,
2016-11-30,0.37,,
2016-12-31,0.31,,
2017-01-31,0.37,,
2017-02-28,0.31,,
2017-03-31,0.36,,
2017-04-30,0.27,,
2017-05-31,0.3,,
2017-06-30,0.32,,
2017-07-31,0.26,,
2017-08-31,0.24,,
2017-09-30,0.29,,
2017-10-31,0.31,,
2017-11-30,0.53,,
2017-12-31,0.48,,
2018-01-31,0.46,,
2018-02-28,0.46,,
2018-03-31,0.5,,
2018-04-30,0.54,,
2018-05-31,0.51,,
2018-06-30,0.53,,
2018-07-31,0.51,,
2018-08-31,0.68,,
2018-09-30,0.66,,
2018-10-31,0.71,,
2018-11-30,0.67,,
2018-12-31,0.74,,
2019-01-31,0.78,,
2019-02-28,0.78,,
2019-03-31,0.7,,
2019-04-30,0.79,,
2019-05-31,0.74,,
2019-06-30,0.72,,
2019-07-31,0.73,,
2019-08-31,0.71,,
2019-09-30,0.7,,
2019-10-31,0.7,,
2019-11-30,0.7,,
2019-12-31,0.68,,
2020-01-31,0.65,,
2020-02-29,0.65,,
2020-03-31,0.39,,
2020-04-30,0.37,,
2020-05-31,0.27,,
2020-06-30,0.17,,
2020-07-31,0.18,,
2020-08-31,0.1,,
2020-09-30,0.08,,
2020-10-31,0.08,,
2020-11-30,0.07,,
2020-12-31,0.06,,
2021-01-31,0.08,,
