Quarter,"Government consumption expenditure (£m, CVM)"
1955-01-01,35326
1955-04-01,34812
1955-07-01,34640
1955-10-01,34511
1956-01-01,34383
1956-04-01,34297
1956-07-01,34511
1956-10-01,34769
1957-01-01,35199
1957-04-01,33821
1957-07-01,33546
1957-10-01,33703
1958-01-01,33238
1958-04-01,33052
1958-07-01,32940
1958-10-01,33611
1959-01-01,33631
1959-04-01,33773
1959-07-01,33737
1959-10-01,34202
1960-01-01,34477
1960-04-01,34341
1960-07-01,34238
1960-10-01,35060
1961-01-01,35644
1961-04-01,35545
1961-07-01,35743
1961-10-01,36238
1962-01-01,37044
1962-04-01,36759
1962-07-01,36569
1962-10-01,37330
1963-01-01,38270
1963-04-01,37231
1963-07-01,37048
1963-10-01,38332
1964-01-01,38799
1964-04-01,38054
1964-07-01,38395
1964-10-01,38861
1965-01-01,38143
1965-04-01,40037
1965-07-01,39682
1965-10-01,40215
1966-01-01,40312
1966-04-01,40338
1966-07-01,40876
1966-10-01,41493
1967-01-01,43352
1967-04-01,42444
1967-07-01,42470
1967-10-01,44084
1968-01-01,44686
1968-04-01,43208
1968-07-01,43402
1968-10-01,43668
1969-01-01,44245
1969-04-01,42365
1969-07-01,42320
1969-10-01,43237
1970-01-01,43519
1970-04-01,43753
1970-07-01,43519
1970-10-01,44410
1971-01-01,45249
1971-04-01,44981
1971-07-01,45402
1971-10-01,45765
1972-01-01,47473
1972-04-01,46850
1972-07-01,47405
1972-10-01,48376
1973-01-01,49476
1973-04-01,48856
1973-07-01,49095
1973-10-01,49795
1974-01-01,49615
1974-04-01,49702
1974-07-01,49889
1974-10-01,51331
1975-01-01,53830
1975-04-01,52431
1975-07-01,52020
1975-10-01,53924
1976-01-01,54324
1976-04-01,54198
1976-07-01,53290
1976-10-01,53694
1977-01-01,53578
1977-04-01,53375
1977-07-01,52586
1977-10-01,53234
1978-01-01,54349
1978-04-01,53789
1978-07-01,53655
1978-10-01,54568
1979-01-01,55070
1979-04-01,55337
1979-07-01,54224
1979-10-01,55057
1980-01-01,56318
1980-04-01,54865
1980-07-01,55177
1980-10-01,55862
1981-01-01,56403
1981-04-01,55689
1981-07-01,55240
1981-10-01,54684
1982-01-01,56809
1982-04-01,55531
1982-07-01,55082
1982-10-01,55976
1983-01-01,57344
1983-04-01,56724
1983-07-01,55903
1983-10-01,56926
1984-01-01,58971
1984-04-01,56698
1984-07-01,56522
1984-10-01,57430
1985-01-01,59756
1985-04-01,56007
1985-07-01,56155
1985-10-01,57024
1986-01-01,59953
1986-04-01,57219
1986-07-01,57407
1986-10-01,57882
1987-01-01,58963
1987-04-01,57560
1987-07-01,58088
1987-10-01,58326
1988-01-01,59623
1988-04-01,57354
1988-07-01,57618
1988-10-01,58791
1989-01-01,59299
1989-04-01,57614
1989-07-01,59235
1989-10-01,59313
1990-01-01,60580
1990-04-01,59111
1990-07-01,60291
1990-10-01,61134
1991-01-01,61801
1991-04-01,62036
1991-07-01,62140
1991-10-01,62343
1992-01-01,62879
1992-04-01,62184
1992-07-01,62544
1992-10-01,63134
1993-01-01,62734
1993-04-01,61534
1993-07-01,62373
1993-10-01,62667
1994-01-01,62655
1994-04-01,63167
1994-07-01,63069
1994-10-01,63240
1995-01-01,63744
1995-04-01,63817
1995-07-01,63401
1995-10-01,64629
1996-01-01,64410
1996-04-01,63716
1996-07-01,64026
1996-10-01,65161
1997-01-01,63814
1997-04-01,63794
1997-07-01,63557
1997-10-01,65259
1998-01-01,66006
1998-04-01,66649
1998-07-01,66488
1998-10-01,66967
1999-01-01,66765
1999-04-01,69685
1999-07-01,69793
1999-10-01,70175
2000-01-01,69367
2000-04-01,72005
2000-07-01,71920
2000-10-01,72040
2001-01-01,73923
2001-04-01,72967
2001-07-01,74542
2001-10-01,76265
2002-01-01,76124
2002-04-01,77741
2002-07-01,78388
2002-10-01,78401
2003-01-01,79498
2003-04-01,80036
2003-07-01,80620
2003-10-01,82104
2004-01-01,82956
2004-04-01,82805
2004-07-01,83678
2004-10-01,85094
2005-01-01,85807
2005-04-01,86742
2005-07-01,86994
2005-10-01,87594
2006-01-01,89104
2006-04-01,87172
2006-07-01,88281
2006-10-01,88383
2007-01-01,89876
2007-04-01,88140
2007-07-01,89230
2007-10-01,88844
2008-01-01,90847
2008-04-01,89861
2008-07-01,91116
2008-10-01,92316
2009-01-01,92610
2009-04-01,90839
2009-07-01,91456
2009-10-01,92914
2010-01-01,93137
2010-04-01,91824
2010-07-01,91857
2010-10-01,93552
2011-01-01,95865
2011-04-01,92478
2011-07-01,92006
2011-10-01,93593
2012-01-01,97752
2012-04-01,92042
2012-07-01,92339
2012-10-01,94378
2013-01-01,94518
2013-04-01,93009
2013-07-01,92342
2013-10-01,94843
2014-01-01,96875
2014-04-01,94980
2014-07-01,94748
2014-10-01,95659
2015-01-01,97449
2015-04-01,96678
2015-07-01,97075
2015-10-01,97889
2016-01-01,99556
2016-04-01,97698
2016-07-01,97362
2016-10-01,98406
2017-01-01,100096
2017-04-01,98195
2017-07-01,98182
2017-10-01,99418
2018-01-01,100482
2018-04-01,98596
2018-07-01,98441
2018-10-01,100902
2019-01-01,104175
2019-04-01,102820
2019-07-01,102380
2019-10-01,105015
2020-01-01,102205
2020-04-01,83650
2020-07-01,93122
