Dollars,Number,GiveUp_pct,Keep_pct
0,0,0.00,1.00
1,3,0.08,0.92
2,6,0.17,0.83
5,15,0.42,0.58
10,17,0.47,0.53
20,23,0.64,0.36
50,33,0.92,0.08
82,34,0.94,0.06
100,36,1.00,0.00
