Year,Value,ValuePCT,Source:
1980,4.90,0.049,https://www8.cao.go.jp/kourei/whitepaper/w-2022/zenbun/pdf/1s2s_01.pdf
1985,5,0.05,
1990,5.60,0.056,
1995,6.70,0.067,
2000,7.30,0.073,
2005,7.60,0.076,
2010,8.80,0.088,
2011,8.90,0.089,
2012,9.30,0.093,
2013,9.90,0.099,
2014,10.60,0.106,
2015,11.30,0.113,
2016,11.80,0.118,
2017,12.20,0.122,
2018,12.70,0.127,
2019,13.10,0.131,
2020,13.30,0.133,
2021,13.40,0.134,
