quote_date,region,item_id,p10,p20,p30,p40,p50,p60,p70,p80,p90,date,date2,date3,date4,year,month,quarter
198802,2,220303,.5,.5,.54000002,.55000001,.59500003,.60000002,.60000002,.64999998,.64999998,1,01-02-1988,01-02-1988,1988-02-01,1988,2,1
198803,2,220303,.46000001,.54000002,.55000001,.60000002,.60000002,.60000002,.64999998,.75,1,2,01-03-1988,01-03-1988,1988-03-01,1988,3,1
198804,2,220303,.5,.57999998,.60000002,.60000002,.60000002,.64999998,.64999998,.69999999,.75,3,01-04-1988,01-04-1988,1988-04-01,1988,4,2
198805,2,220303,.55000001,.57999998,.60000002,.60000002,.625,.64999998,.69999999,.75,.80000001,4,01-05-1988,01-05-1988,1988-05-01,1988,5,2
198806,2,220303,.5,.51999998,.55000001,.60000002,.60000002,.60000002,.64999998,.64999998,.69999999,5,01-06-1988,01-06-1988,1988-06-01,1988,6,2
198807,2,220303,.47999999,.51999998,.55000001,.60000002,.60000002,.60000002,.68000001,.69999999,.80000001,6,01-07-1988,01-07-1988,1988-07-01,1988,7,3
198809,2,220303,.47999999,.5,.55000001,.62,.64999998,.64999998,.75,.75999999,.80000001,8,01-09-1988,01-09-1988,1988-09-01,1988,9,3
198810,2,220303,.5,.55000001,.55000001,.60000002,.62,.64999998,.75,.80000001,.80000001,9,01-10-1988,01-10-1988,1988-10-01,1988,10,4
198811,2,220303,.5,.55000001,.57999998,.64999998,.64999998,.64999998,.69999999,.75999999,.85000002,10,01-11-1988,01-11-1988,1988-11-01,1988,11,4
198812,2,220303,.55000001,.55000001,.57999998,.64999998,.64999998,.64999998,.69999999,.75,.80000001,11,01-12-1988,01-12-1988,1988-12-01,1988,12,4
198901,2,220303,.47999999,.5,.57999998,.60000002,.64999998,.69999999,.75,.75,.80000001,12,01-01-1989,01-01-1989,1989-01-01,1989,1,1
198903,2,220303,.47999999,.5,.57999998,.60000002,.64999998,.64999998,.69999999,.75,.75,14,01-03-1989,01-03-1989,1989-03-01,1989,3,1
198904,2,220303,.47999999,.5,.60000002,.64999998,.64999998,.69999999,.69999999,.75,.75,15,01-04-1989,01-04-1989,1989-04-01,1989,4,2
198905,2,220303,.47999999,.64999998,.64999998,.64999998,.69999999,.69999999,.75,.75,.75,16,01-05-1989,01-05-1989,1989-05-01,1989,5,2
198906,2,220303,.5,.64999998,.69999999,.69999999,.72500002,.75,.75,.75,.94999999,17,01-06-1989,01-06-1989,1989-06-01,1989,6,2
198907,2,220303,.47999999,.47999999,.60000002,.64999998,.69999999,.69999999,.69999999,.75,.94999999,18,01-07-1989,01-07-1989,1989-07-01,1989,7,3
198908,2,220303,.47999999,.60000002,.64999998,.64999998,.69999999,.69999999,.75,.75,.85000002,19,01-08-1989,01-08-1989,1989-08-01,1989,8,3
198909,2,220303,.47999999,.60000002,.64999998,.64999998,.69999999,.69999999,.69999999,.75,.75,20,01-09-1989,01-09-1989,1989-09-01,1989,9,3
198910,2,220303,.51999998,.60000002,.69999999,.69999999,.69999999,.69999999,.75,.75,.85000002,21,01-10-1989,01-10-1989,1989-10-01,1989,10,4
198911,2,220303,.47999999,.50999999,.60000002,.69999999,.69999999,.69999999,.75,.75,.85000002,22,01-11-1989,01-11-1989,1989-11-01,1989,11,4
198912,2,220303,.47999999,.50999999,.55000001,.64999998,.69999999,.69999999,.75,.75,.85000002,23,01-12-1989,01-12-1989,1989-12-01,1989,12,4
199001,2,220303,.5,.5,.52999997,.55000001,.67499995,.69999999,.69999999,.75,.75,24,01-01-1990,01-01-1990,1990-01-01,1990,1,1
199002,2,220303,.5,.55000001,.55000001,.64999998,.69499999,.69999999,.69999999,.75,.85000002,25,01-02-1990,01-02-1990,1990-02-01,1990,2,1
199003,2,220303,.52999997,.55000001,.55000001,.69999999,.69999999,.69999999,.75,.85000002,.98000002,26,01-03-1990,01-03-1990,1990-03-01,1990,3,1
199004,2,220303,.55000001,.55000001,.64999998,.67499995,.75,.75,.80000001,.82500005,.99000001,27,01-04-1990,01-04-1990,1990-04-01,1990,4,2
199005,2,220303,.55000001,.62,.64999998,.69999999,.75,.75,.80000001,.80000001,.85000002,28,01-05-1990,01-05-1990,1990-05-01,1990,5,2
199006,2,220303,.5,.55000001,.62,.69999999,.72500002,.75,.80000001,.80000001,.99000001,29,01-06-1990,01-06-1990,1990-06-01,1990,6,2
199007,2,220303,.62,.64999998,.69999999,.69999999,.76499999,.80000001,.80000001,.85000002,.99000001,30,01-07-1990,01-07-1990,1990-07-01,1990,7,3
199008,2,220303,.55000001,.62,.69999999,.75,.75,.77999997,.80000001,.85000002,.94999999,31,01-08-1990,01-08-1990,1990-08-01,1990,8,3
199009,2,220303,.55000001,.62,.64999998,.69999999,.76499999,.79000002,.80000001,.80000001,.85000002,32,01-09-1990,01-09-1990,1990-09-01,1990,9,3
199010,2,220303,.55000001,.62,.69999999,.69999999,.75,.75,.79000002,.80000001,.94999999,33,01-10-1990,01-10-1990,1990-10-01,1990,10,4
199011,2,220303,.55000001,.65999997,.69999999,.75,.79000002,.80000001,.85000002,.97000003,1,34,01-11-1990,01-11-1990,1990-11-01,1990,11,4
199012,2,220303,.55000001,.60000002,.62,.69999999,.76999998,.80000001,.94999999,.99000001,1,35,01-12-1990,01-12-1990,1990-12-01,1990,12,4
199101,2,220303,.58999997,.79000002,.80000001,.80000001,.94999999,.94999999,.94999999,.99000001,1.05,36,01-01-1991,01-01-1991,1991-01-01,1991,1,1
199102,2,220303,.58999997,.60000002,.69999999,.75,.79000002,.80000001,.94999999,1.05,1.05,37,01-02-1991,01-02-1991,1991-02-01,1991,2,1
199103,2,220303,.60000002,.69999999,.69999999,.75,.80000001,.82999998,.85000002,.94999999,1.05,38,01-03-1991,01-03-1991,1991-03-01,1991,3,1
199104,2,220303,.60000002,.67499995,.69999999,.72500002,.80000001,.86500001,.89999998,1.1,1.25,39,01-04-1991,01-04-1991,1991-04-01,1991,4,2
199105,2,220303,.60000002,.67499995,.69999999,.82500005,.85000002,.89999998,.94999999,1.1,1.25,40,01-05-1991,01-05-1991,1991-05-01,1991,5,2
199106,2,220303,.64999998,.67499995,.69999999,.77499998,.80000001,.82500005,.89999998,.97500002,1.15,41,01-06-1991,01-06-1991,1991-06-01,1991,6,2
199107,2,220303,.64999998,.69999999,.72000003,.75,.80000001,.85000002,.89999998,.99000001,1.1,42,01-07-1991,01-07-1991,1991-07-01,1991,7,3
199108,2,220303,.64999998,.69999999,.73000002,.80000001,.84000003,.85000002,.89999998,.99000001,1.2,43,01-08-1991,01-08-1991,1991-08-01,1991,8,3
199109,2,220303,.64999998,.69999999,.69999999,.78499997,.85000002,.89499998,.94999999,1.05,1.2,44,01-09-1991,01-09-1991,1991-09-01,1991,9,3
199110,2,220303,.63999999,.69999999,.69999999,.75,.80000001,.88999999,.94999999,.99000001,1.2,45,01-10-1991,01-10-1991,1991-10-01,1991,10,4
199111,2,220303,.64999998,.69999999,.69999999,.75,.80000001,.85000002,.89999998,.99000001,1.2,46,01-11-1991,01-11-1991,1991-11-01,1991,11,4
199112,2,220303,.69999999,.69999999,.69999999,.75,.85000002,.88999999,.89999998,.99000001,1.15,47,01-12-1991,01-12-1991,1991-12-01,1991,12,4
199201,2,220303,.64999998,.69999999,.70999998,.80000001,.85000002,.87,.89999998,.97000003,1.1,48,01-01-1992,01-01-1992,1992-01-01,1992,1,1
199202,2,220303,.64999998,.69999999,.75,.80000001,.85000002,.88999999,.89999998,.99000001,1.1,49,01-02-1992,01-02-1992,1992-02-01,1992,2,1
199203,2,220303,.69999999,.69999999,.69999999,.80000001,.82500005,.88999999,.94999999,1,1.1,50,01-03-1992,01-03-1992,1992-03-01,1992,3,1
