Country,Value,Detail
Brazil,84.189371,"Central government debt (% GDP), 2019"
France,81.48961,Source: IMF
Germany,37.688436,
India,46.161932,
Italy,130.59042,
Japan,201.39098,
United Kingdom,84.387706,
United States,92.567148,
