Year,Country,Value,Detail
1960,Central Afican Republic,74.68734697,GDP per capita ($ current prices)
1961,Central Afican Republic,80.68806373,"Source: World Bank, OECD"
1962,Central Afican Republic,80.21271167,
1963,Central Afican Republic,81.91790923,
1964,Central Afican Republic,88.29011578,
1965,Central Afican Republic,91.83037465,
1966,Central Afican Republic,94.39823569,
1967,Central Afican Republic,95.89648392,
1968,Central Afican Republic,109.9459104,
1969,Central Afican Republic,105.7071013,
1970,Central Afican Republic,104.4120165,
1971,Central Afican Republic,109.4533592,
1972,Central Afican Republic,123.3106512,
1973,Central Afican Republic,143.1158463,
1974,Central Afican Republic,146.2277673,
1975,Central Afican Republic,193.3549821,
1976,Central Afican Republic,225.9131745,
1977,Central Afican Republic,248.6860332,
1978,Central Afican Republic,292.4700089,
1979,Central Afican Republic,327.3412249,
1980,Central Afican Republic,362.4001488,
1981,Central Afican Republic,306.8322393,
1982,Central Afican Republic,320.4298321,
1983,Central Afican Republic,273.5013818,
1984,Central Afican Republic,257.3536366,
1985,Central Afican Republic,340.201389,
1986,Central Afican Republic,432.0117587,
1987,Central Afican Republic,453.7462185,
1988,Central Afican Republic,469.529167,
1989,Central Afican Republic,449.3988958,
1990,Central Afican Republic,513.3041877,
1991,Central Afican Republic,478.5032764,
1992,Central Afican Republic,477.1223243,
1993,Central Afican Republic,419.8027038,
1994,Central Afican Republic,271.5054976,
1995,Central Afican Republic,346.1081962,
1996,Central Afican Republic,304.6310755,
1997,Central Afican Republic,276.4215961,
1998,Central Afican Republic,278.3319015,
1999,Central Afican Republic,280.9084242,
2000,Central Afican Republic,251.2072914,
2001,Central Afican Republic,250.3571459,
2002,Central Afican Republic,260.7454587,
2003,Central Afican Republic,293.661549,
2004,Central Afican Republic,320.7368123,
2005,Central Afican Republic,331.1630882,
2006,Central Afican Republic,354.6708633,
2007,Central Afican Republic,404.3745429,
2008,Central Afican Republic,464.5612047,
2009,Central Afican Republic,474.7056275,
2010,Central Afican Republic,488.4217731,
2011,Central Afican Republic,551.7496918,
2012,Central Afican Republic,565.8011645,
