Year,Country,Value1,Value2,Value3,Detail,,,
2002,Canada,0.760149,0.75068091,98.75444288,,,1000,
2003,Canada,0.895599,0.75247579,84.01927537,V1: GDP ($ trillion),,,
2004,Canada,1.02647,0.75859671,73.90344676,V2: National gross debt ($ trillion),,1,USD
2005,Canada,1.17351,0.7933338,67.6034972,V3: Debt (% GDP),,0.79,CAN
2006,Canada,1.31936,0.8266718,62.65703068,Source: IMF World Economic Outlook 2021,,1.15,EUR
2007,Canada,1.4689,0.8333315,56.73166996,,,0.009,JPY
2008,Canada,1.55286,0.888671,57.22801798,,,1.36,GBP
2009,Canada,1.37651,0.9840477,71.48859798,,,,
2010,Canada,1.61735,1.0689806,66.09457446,,,,
2011,Canada,1.79333,1.1461241,63.91038459,,,,
2012,Canada,1.82836,1.2328187,67.42756897,,,,
2013,Canada,1.8466,1.2943281,70.09249973,,,,
2014,Canada,1.80575,1.3487038,74.68939776,,,,
2015,Canada,1.55651,1.4339527,92.1261476,,,,
2016,Canada,1.528,1.4678832,96.06565445,,,,
2017,Canada,1.64927,1.5023983,91.09474495,,,,
2018,Canada,1.72182,1.5657721,90.93703755,,,,
2019,Canada,1.74158,1.5848743,91.0020958,,,,
2020,Canada,1.64341,2.0518749,124.8547167,,,,
2002,France,1.50035,1.10032,73.33755457,,,,
2003,France,1.84408,1.20796,65.50475034,,,,
2004,France,2.11867,1.29214,60.9882615,,,,
2005,France,2.19816,1.368385,62.25138297,,,,
2006,France,2.32066,1.373215,59.17346789,,,,
2007,France,2.66091,1.440835,54.14820494,,,,
2008,France,2.92998,1.575845,53.78347292,,,,
2009,France,2.69796,1.8492,68.54067518,,,,
2010,France,2.64735,1.956265,73.89521597,,,,
2011,France,2.86465,2.0792,72.58129265,,,,
2012,France,2.68537,2.176375,81.04562872,,,,
2013,France,2.81192,2.274355,80.88263535,,,,
2014,France,2.8567,2.345885,82.1187034,,,,
2015,France,2.43944,2.416495,99.05941528,,,,
2016,France,2.47228,2.516775,101.7997557,,,,
2017,France,2.59424,2.59739,100.1214228,,,,
2018,France,2.79116,2.662135,95.37736998,,,,
2019,France,2.7172,2.737115,100.7329236,,,,
2020,France,2.59891,2.971278,114.3278528,,,,
2002,Germany,2.07702,1.509214,72.66246834,,,,
2003,Germany,2.50101,1.610138,64.37951068,,,,
2004,Germany,2.81308,1.690914,60.10899086,,,,
2005,Germany,2.84844,1.772265,62.21879344,,,,
