Year,Country,Value,Detail
1995,Canada,123.963,
1996,Canada,130.0463,
1997,Canada,123.9435,
1998,Canada,123.4714,
1999,Canada,113.8759,
2000,Canada,105.0706,
2001,Canada,104.7761,
2002,Canada,103.5752,
2003,Canada,99.24104,
2004,Canada,95.32219,
2005,Canada,93.87299,
2006,Canada,91.14863,
2007,Canada,86.95385,
2008,Canada,89.72458,
2009,Canada,102.7107,
2010,Canada,105.0162,
2011,Canada,107.6597,
2012,Canada,111.3064,
2013,Canada,107.3234,
2014,Canada,108.3513,
2015,Canada,114.6343,
2016,Canada,114.1487,
2017,Canada,108.5559,
2018,Canada,107.3827,
2019,Canada,106.6808,
2020,Canada,141.5822,
1995,France,67.29042,
1996,France,73.29137,
1997,France,75.95255,
1998,France,77.6053,
1999,France,74.01518,
2000,France,72.42918,
2001,France,71.47308,
2002,France,75.16156,
2003,France,79.07757,
2004,France,80.54945,
2005,France,82.14224,
2006,France,77.26933,
2007,France,75.94181,
2008,France,82.50349,
2009,France,97.5731,
2010,France,100.9953,
2011,France,103.8066,
2012,France,111.9382,
2013,France,112.4676,
2014,France,120.1551,
2015,France,120.8252,
2016,France,123.6707,
2017,France,122.9442,
2018,France,121.2254,
2019,France,123.3578,
2020,France,null,
1995,Germany,54.24562,
1996,Germany,57.34576,
1997,Germany,58.83864,
1998,Germany,61.02843,
1999,Germany,61.0994,
2000,Germany,62.60947,
2001,Germany,61.26124,
2002,Germany,64.09878,
2003,Germany,66.91961,
2004,Germany,68.85897,
2005,Germany,71.42799,
2006,Germany,68.79233,
2007,Germany,66.18103,
2008,Germany,70.70988,
2009,Germany,77.57876,
2010,Germany,87.40637,
2011,Germany,86.40907,
2012,Germany,88.85776,
2013,Germany,84.32757,
2014,Germany,84.10702,
2015,Germany,80.0452,
2016,Germany,77.22083,
2017,Germany,72.62381,
2018,Germany,69.35149,
2019,Germany,67.75021,
2020,Germany,null,
1995,Italy,118.7002,
1996,Italy,124.7448,
1997,Italy,126.6052,
1998,Italy,127.9088,
1999,Italy,122.3444,
2000,Italy,118.367,
2001,Italy,117.2806,
2002,Italy,116.2172,
2003,Italy,113.8619,
2004,Italy,114.5142,
2005,Italy,117.2105,
2006,Italy,114.6299,
2007,Italy,110.2318,
2008,Italy,112.5272,
2009,Italy,125.5098,
2010,Italy,124.3316,
2011,Italy,117.2033,
2012,Italy,135.375,
2013,Italy,143.1716,
2014,Italy,155.6326,
2015,Italy,156.8527,
2016,Italy,154.5501,
2017,Italy,151.9975,
2018,Italy,146.7885,
2019,Italy,154.5051,
2020,Italy,null,
1995,Japan,93.14038,
1996,Japan,99.18596,
1997,Japan,108.4692,
1998,Japan,118.5201,
1999,Japan,130.901,
2000,Japan,140.8035,
2001,Japan,146.8432,
2002,Japan,157.0952,
2003,Japan,166.3147,
2004,Japan,172.6107,
2005,Japan,173.2228,
2006,Japan,173.2291,
2007,Japan,175.0529,
2008,Japan,179.1677,
2009,Japan,200.4026,
2010,Japan,205.0625,
2011,Japan,219.2589,
2012,Japan,227.5297,
2013,Japan,230.3796,
2014,Japan,235.843,
2015,Japan,234.0734,
2016,Japan,231.8716,
2017,Japan,230.9409,
2018,Japan,234.7893,
2019,Japan,233.6689,
2020,Japan,null,
1995,UK,53.53801,
1996,UK,52.61561,
1997,UK,52.11715,
1998,UK,53.14611,
1999,UK,47.90469,
2000,UK,49.40916,
2001,UK,46.8025,
2002,UK,49.57492,
2003,UK,48.67639,
2004,UK,52.00222,
2005,UK,52.33475,
2006,UK,51.33741,
2007,UK,53.05963,
2008,UK,65.69854,
2009,UK,78.7708,
2010,UK,89.43959,
2011,UK,103.3041,
2012,UK,107.4202,
2013,UK,103.3236,
2014,UK,113.1906,
2015,UK,112.6328,
2016,UK,119.7748,
2017,UK,117.066,
2018,UK,113.8455,
2019,UK,117.1544,
2020,UK,144.1406,
1995,United States,93.71502,
1996,United States,91.18478,
1997,United States,86.10175,
1998,United States,81.56144,
1999,United States,76.15699,
2000,United States,72.13866,
2001,United States,74.78904,
2002,United States,80.45681,
2003,United States,81.89062,
2004,United States,88.84093,
2005,United States,88.56912,
2006,United States,85.93645,
2007,United States,86.24548,
2008,United States,102.0139,
2009,United States,115.4447,
2010,United States,125.3357,
2011,United States,130.4887,
2012,United States,132.2392,
2013,United States,135.7814,
2014,United States,135.4258,
2015,United States,136.6934,
2016,United States,138.5002,
2017,United States,135.1279,
2018,United States,136.7602,
2019,United States,135.3818,
2020,United States,160.61,
