Which of the following do you think are the most important issues facing the country at this time? Please tick up to three.,Health,Immigration & Asylum,Crime,The economy,Tax,Pensions,Education,Family life & childcare,Housing,The environment,Britain leaving the EU,Transport,Welfare benefits,Defence and security,None of these,Don't know,Afghanistan,Defence and Terrorism,Don't know / None of these,Unweighted base,Base
2022-04-04,0.39,0.2,0.14,0.57,0.19,0.1,0.09,0.08,0.18,0.23,0.18,0.03,0.13,0.17,0.01,0.04,0,0,0,1781,1781
2022-04-11,0.42,0.21,0.12,0.57,0.2,0.09,0.12,0.09,0.18,0.28,0.15,0.03,0.12,0.18,0.01,0.03,0,0,0,1779,1779
2022-04-18,0.39,0.31,0.12,0.55,0.16,0.08,0.12,0.07,0.17,0.23,0.16,0.02,0.13,0.19,0.01,0.05,0,0,0,1799,1799
2022-04-24,0.37,0.28,0.13,0.56,0.16,0.09,0.1,0.07,0.19,0.29,0.19,0.03,0.11,0.16,0.01,0.03,0,0,0,1795,1795
2022-05-02,0.37,0.25,0.15,0.56,0.15,0.09,0.1,0.07,0.17,0.26,0.17,0.02,0.11,0.21,0.01,0.04,0,0,0,1780,1780
2022-05-08,0.37,0.25,0.13,0.62,0.16,0.09,0.09,0.07,0.17,0.25,0.18,0.03,0.11,0.16,0.01,0.04,0,0,0,1781,1781
2022-05-16,0.36,0.25,0.14,0.61,0.15,0.09,0.09,0.08,0.18,0.26,0.19,0.02,0.13,0.15,0.01,0.04,0,0,0,1810,1810
2022-05-22,0.34,0.24,0.15,0.63,0.16,0.1,0.1,0.08,0.18,0.25,0.18,0.03,0.15,0.14,0.01,0.04,0,0,0,1802,1802
2022-05-29,0.35,0.22,0.14,0.62,0.14,0.08,0.1,0.09,0.18,0.26,0.19,0.03,0.13,0.14,0.01,0.04,0,0,0,1804,1804
2022-06-06,0.36,0.23,0.15,0.62,0.15,0.09,0.11,0.08,0.19,0.25,0.19,0.03,0.14,0.12,0.01,0.04,0,0,0,1804,1804
2022-06-13,0.36,0.25,0.13,0.65,0.17,0.09,0.08,0.07,0.18,0.26,0.18,0.05,0.13,0.12,0.01,0.03,0,0,0,1761,1761
2022-06-19,0.37,0.31,0.11,0.64,0.14,0.09,0.09,0.07,0.18,0.24,0.2,0.04,0.11,0.1,0.01,0.05,0,0,0,1820,1820
2022-06-27,0.35,0.28,0.12,0.65,0.17,0.09,0.1,0.06,0.18,0.22,0.22,0.06,0.12,0.1,0.01,0.03,0,0,0,1801,1801
2022-07-03,0.39,0.25,0.14,0.64,0.15,0.07,0.09,0.06,0.18,0.25,0.23,0.03,0.1,0.15,0,0.04,0,0,0,1807,1807
2022-07-11,0.38,0.22,0.14,0.69,0.16,0.07,0.1,0.07,0.18,0.23,0.22,0.03,0.09,0.15,0.01,0.04,0,0,0,1804,1804
2022-07-17,0.42,0.22,0.12,0.66,0.18,0.07,0.1,0.06,0.17,0.28,0.21,0.04,0.1,0.13,0.01,0.03,0,0,0,1805,1805
2022-07-25,0.38,0.24,0.11,0.64,0.18,0.07,0.08,0.07,0.15,0.33,0.23,0.04,0.08,0.13,0.01,0.04,0,0,0,1778,1778
2022-07-31,0.39,0.22,0.12,0.68,0.18,0.07,0.07,0.06,0.16,0.3,0.21,0.04,0.1,0.14,0.01,0.03,0,0,0,1751,1751
2022-08-08,0.38,0.23,0.11,0.69,0.18,0.07,0.08,0.06,0.16,0.32,0.17,0.03,0.1,0.12,0.01,0.03,0,0,0,1759,1759
2022-08-15,0.38,0.24,0.12,0.68,0.15,0.1,0.08,0.07,0.14,0.34,0.2,0.04,0.11,0.11,0.01,0.03,0,0,0,1774,1774
2022-08-22,0.41,0.21,0.13,0.71,0.12,0.08,0.08,0.07,0.17,0.31,0.19,0.04,0.12,0.1,0.01,0.03,0,0,0,1779,1779
2022-08-29,0.35,0.25,0.17,0.7,0.13,0.08,0.09,0.06,0.15,0.29,0.18,0.03,0.11,0.1,0.02,0.03,0,0,0,1799,1799
2022-09-05,0.37,0.24,0.16,0.71,0.12,0.08,0.09,0.07,0.17,0.29,0.18,0.03,0.12,0.09,0.01,0.03,0,0,0,1788,1788
2022-09-12,0.39,0.26,0.17,0.68,0.13,0.09,0.09,0.07,0.17,0.3,0.17,0.03,0.1,0.09,0.01,0.04,0,0,0,1799,1799
2022-09-25,0.4,0.24,0.17,0.66,0.15,0.08,0.08,0.07,0.17,0.28,0.17,0.03,0.11,0.13,0.01,0.03,0,0,0,1801,1801
2022-10-02,0.38,0.21,0.11,0.73,0.19,0.1,0.08,0.07,0.18,0.25,0.16,0.02,0.13,0.1,0.01,0.04,0,0,0,1791,1791
