Country,Scenario,Value 1
Thailand,1.4,-1.2
Phillipines,1.4,-1.3
Malaysia,1.4,-1.2
Saudi Arabia,1.4,-0.9
Indonesia,1.4,-0.6
Thailand,2,-3
Phillipines,2,-3.5
Malaysia,2,-4
Saudi Arabia,2,-4.8
Indonesia,2,-2
Thailand,2.6,-4.9
Phillipines,2.6,-5.8
Malaysia,2.6,-6.8
Saudi Arabia,2.6,-11.6
Indonesia,2.6,-3.4
Thailand,3.2,-6
Phillipines,3.2,-6.9
Malaysia,3.2,-7.8
Saudi Arabia,3.2,-12.2
Indonesia,3.2,-4.4
