number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,days,date
1,1-2,1-2,0-1,1,1,1-2,0-1,1,1-2,1,1-2,1,2,1,2,0,1,1,,1,,1,2,0,1,1,,1,2,1,,1,2,.125, 5 Mar 2021
2,1-2,1-2,0-1,1,1,2,0-1,1,1-2,1,1-2,1,2,1,2,0,1,1,,1,,2,,0,1,1,,1,2,1,,1,2,.25, 5 Mar 2021
3,1-2,1-2,0-1,1-2,1,2-3,0-1,1-2,1-2,1-2,1-2,1,2,1,2,0,1,1,2,1,,2,3,0,1,1,2,1,2,1,2,1,2,.375, 5 Mar 2021
4,1-2,2-3,0-1,1-2,1-2,2-3,0-1,1-2,2-3,2-3,2-3,1,2,2,3,0,1,1,2,1,2,2,3,0,1,1,2,2,3,2,3,2,3,.5, 5 Mar 2021
5,2-3,2-3,1,2-3,2-3,2-4,0-1,1-2,2-3,2-3,2-3,2,3,2,3,1,,2,3,2,3,2,4,0,1,1,2,2,3,2,3,2,3,.625, 5 Mar 2021
6,2-3,2-3,1,2-3,2-3,2-4,0-1,1-2,2-3,2-3,2-3,2,3,2,3,1,,2,3,2,3,2,4,0,1,1,2,2,3,2,3,2,3,.75, 5 Mar 2021
7,2-3,2-3,1,2-3,2-3,2-3,1,1,2-3,2-3,2-3,2,3,2,3,1,,2,3,2,3,2,3,1,,1,,2,3,2,3,2,3,.875, 5 Mar 2021
8,2-3,2-3,1,2-3,2-3,2-3,1,1,2-3,2-3,2-3,2,3,2,3,1,,2,3,2,3,2,3,1,,1,,2,3,2,3,2,3,1, 5 Mar 2021
9,2-3,2-3,1,2-3,2-3,2-3,1,1,2-3,2-4,2-3,2,3,2,3,1,,2,3,2,3,2,3,1,,1,,2,3,2,4,2,3,1.125, 5 Mar 2021
10,2-3,2-3,1,2-3,2-3,2-3,1,1,2-3,2-3,2-3,2,3,2,3,1,,2,3,2,3,2,3,1,,1,,2,3,2,3,2,3,1.25, 5 Mar 2021
11,2-3,2-3,0-1,2,2-3,2-3,1,1,2-3,2-3,2-3,2,3,2,3,0,1,2,,2,3,2,3,1,,1,,2,3,2,3,2,3,1.375, 5 Mar 2021
12,2,1-2,0-1,1-2,2-3,2-4,1,0-1,2-3,2-3,2-3,2,,1,2,0,1,1,2,2,3,2,4,1,,0,1,2,3,2,3,2,3,1.5, 5 Mar 2021
13,1-2,1-2,0-1,1-2,2-3,3-4,1,0-1,2-3,2-3,2-3,1,2,1,2,0,1,1,2,2,3,3,4,1,,0,1,2,3,2,3,2,3,1.625, 5 Mar 2021
14,1-2,2-3,1,1-2,2,3-5,1,0-1,2-3,2-3,2-3,1,2,2,3,1,,1,2,2,,3,5,1,,0,1,2,3,2,3,2,3,1.75, 5 Mar 2021
15,2,2-3,1,1-2,2-3,3-5,1,0-1,2-3,2-3,2-3,2,,2,3,1,,1,2,2,3,3,5,1,,0,1,2,3,2,3,2,3,1.875, 5 Mar 2021
16,2-3,2-3,1,1-2,2-3,4-6,1,1,2-3,2-3,2-4,2,3,2,3,1,,1,2,2,3,4,6,1,,1,,2,3,2,3,2,4,2, 5 Mar 2021
17,2-3,2-3,1,1-2,2-3,4-6,1,,2-4,2-3,2-4,2,3,2,3,1,,1,2,2,3,4,6,1,,,,2,4,2,3,2,4,2.125, 5 Mar 2021
