number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,days,date
1,1-2,2-3,1,2-3,1-2,3-5,1,0-1,2-3,2-3,2-3,1,2,2,3,1,,2,3,1,2,3,5,1,,0,1,2,3,2,3,2,3,.125,17 Mar 2021
2,2-4,2-3,1,2-3,1,3-4,1,1,2-3,2-3,2-3,2,4,2,3,1,,2,3,1,,3,4,1,,1,,2,3,2,3,2,3,.25,17 Mar 2021
3,2-3,2-3,1,2-3,1,3-4,1,1,2-4,2-3,2-3,2,3,2,3,1,,2,3,1,,3,4,1,,1,,2,4,2,3,2,3,.375,17 Mar 2021
4,2-3,2-3,1,2-3,1-2,3-4,1,0-1,2-4,2-3,2-3,2,3,2,3,1,,2,3,1,2,3,4,1,,0,1,2,4,2,3,2,3,.5,17 Mar 2021
5,2-3,2-3,1,2-3,1-2,3-5,1,,2-3,2-3,2-3,2,3,2,3,1,,2,3,1,2,3,5,1,,,,2,3,2,3,2,3,.625,17 Mar 2021
6,2-3,2-3,1,2-3,1-2,4-6,1,,2-3,2-3,2-3,2,3,2,3,1,,2,3,1,2,4,6,1,,,,2,3,2,3,2,3,.75,17 Mar 2021
7,2-3,2-3,1,2,1-2,4-6,1,,2-3,2-3,2-3,2,3,2,3,1,,2,,1,2,4,6,1,,,,2,3,2,3,2,3,.875,17 Mar 2021
8,2-3,2-3,1,2,1-2,4-6,1,,2-3,2-3,2-3,2,3,2,3,1,,2,,1,2,4,6,1,,,,2,3,2,3,2,3,1,17 Mar 2021
9,2-3,2-3,1,1-2,1-2,4-6,1,,2-3,2,2-3,2,3,2,3,1,,1,2,1,2,4,6,1,,,,2,3,2,,2,3,1.125,17 Mar 2021
10,2,2-3,1,1-2,1-2,3-5,1,,2-3,2,2,2,,2,3,1,,1,2,1,2,3,5,1,,,,2,3,2,,2,,1.25,17 Mar 2021
11,2-3,2-4,1,1-2,1-2,3-5,1,,2-3,1-2,2-3,2,3,2,4,1,,1,2,1,2,3,5,1,,,,2,3,1,2,2,3,1.375,17 Mar 2021
12,2-3,2-4,1,1-2,1-2,3-5,1,,2-3,1-2,2,2,3,2,4,1,,1,2,1,2,3,5,1,,,,2,3,1,2,2,,1.5,17 Mar 2021
13,2-3,2-3,1,1-2,1-2,3-4,1,,2-3,1-2,1-2,2,3,2,3,1,,1,2,1,2,3,4,1,,,,2,3,1,2,1,2,1.625,17 Mar 2021
14,2-3,2-3,1,1-2,1-2,3-4,1,,2-3,2-3,2-3,2,3,2,3,1,,1,2,1,2,3,4,1,,,,2,3,2,3,2,3,1.75,17 Mar 2021
15,2-3,2-3,1,1-2,1-2,3-4,1,,2-3,2-3,2-3,2,3,2,3,1,,1,2,1,2,3,4,1,,,,2,3,2,3,2,3,1.875,17 Mar 2021
16,2-3,2-3,1,1-2,1,3-5,1,,2-3,2-3,2-3,2,3,2,3,1,,1,2,1,,3,5,1,,,,2,3,2,3,2,3,2,17 Mar 2021
17,2-3,2-3,1,1-2,1,4-6,1,,2-4,2-3,2-4,2,3,2,3,1,,1,2,1,,4,6,1,,,,2,4,2,3,2,4,2.125,17 Mar 2021
18,2-4,3-4,1,1-2,1-2,4-6,1,,3-4,2-4,3-4,2,4,3,4,1,,1,2,1,2,4,6,1,,,,3,4,2,4,3,4,2.25,17 Mar 2021
19,2-4,3-4,1,2-3,2,4-6,1,,3-4,3-4,3-5,2,4,3,4,1,,2,3,2,,4,6,1,,,,3,4,3,4,3,5,2.375,17 Mar 2021
20,3-4,3-4,1,2-3,2-3,4-6,0-1,,3-5,3-4,3-5,3,4,3,4,1,,2,3,2,3,4,6,0,1,,,3,5,3,4,3,5,2.5,17 Mar 2021
21,3-4,3-5,1,2-3,2-3,4-7,0-1,,3-5,3-5,3-5,3,4,3,5,1,,2,3,2,3,4,7,0,1,,,3,5,3,5,3,5,2.625,17 Mar 2021
22,3-4,3-5,1,2-4,2-3,4-6,1,,4-5,3-5,3-5,3,4,3,5,1,,2,4,2,3,4,6,1,,,,4,5,3,5,3,5,2.75,17 Mar 2021
23,3-5,3-5,1-2,2-4,2-4,4-6,1,,4-6,3-5,4-6,3,5,3,5,1,2,2,4,2,4,4,6,1,,,,4,6,3,5,4,6,2.875,17 Mar 2021
24,3-5,3-5,1-2,2-4,2-4,4-6,1,,4-6,3-5,4-6,3,5,3,5,1,2,2,4,2,4,4,6,1,,,,4,6,3,5,4,6,3,17 Mar 2021
25,3-5,3-5,1-2,2-4,3-4,4-6,1,,3-5,3-5,3-5,3,5,3,5,1,2,2,4,3,4,4,6,1,,,,3,5,3,5,3,5,3.125,17 Mar 2021
