number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,days,date
1,6-10,6-9,2,6-9,6-10,9-14,3-5,2-4,8-12,9-14,8-12,6,10,6,9,2,,6,9,6,10,9,14,3,5,2,4,8,12,9,14,8,12,.125,24 Feb 2021
2,7-10,6-9,2-3,6-10,6-10,9-14,3-5,2-3,8-12,9-13,8-12,7,10,6,9,2,3,6,10,6,10,9,14,3,5,2,3,8,12,9,13,8,12,.25,24 Feb 2021
3,7-10,6-9,2-3,6-9,10-16,9-14,3-5,2-3,7-11,8-13,7-11,7,10,6,9,2,3,6,9,10,16,9,14,3,5,2,3,7,11,8,13,7,11,.375,24 Feb 2021
4,6-10,6-9,2-3,5-8,9-15,9-13,3-4,2-3,6-10,6-9,6-10,6,10,6,9,2,3,5,8,9,15,9,13,3,4,2,3,6,10,6,9,6,10,.5,24 Feb 2021
5,7-11,7-11,2-3,5-8,9-14,9-13,3-4,2,6-10,6-9,6-10,7,11,7,11,2,3,5,8,9,14,9,13,3,4,2,,6,10,6,9,6,10,.625,24 Feb 2021
6,7-11,7-11,2-3,6-10,9-13,8-13,2-4,2-3,6-10,6-9,7-10,7,11,7,11,2,3,6,10,9,13,8,13,2,4,2,3,6,10,6,9,7,10,.75,24 Feb 2021
7,7-11,7-10,2-3,6-9,8-13,8-12,2-3,2,7-11,6-10,7-10,7,11,7,10,2,3,6,9,8,13,8,12,2,3,2,,7,11,6,10,7,10,.875,24 Feb 2021
8,6-9,6-9,2-3,5-8,8-12,7-11,2-3,1,7-11,7-11,7-11,6,9,6,9,2,3,5,8,8,12,7,11,2,3,1,,7,11,7,11,7,11,1,24 Feb 2021
9,5-8,5-8,2-3,5-7,7-12,7-10,2-3,1,6-10,7-11,7-10,5,8,5,8,2,3,5,7,7,12,7,10,2,3,1,,6,10,7,11,7,10,1.125,24 Feb 2021
10,5-8,5-8,2,5-7,5-8,7-10,2-3,1,6-10,6-10,6-10,5,8,5,8,2,,5,7,5,8,7,10,2,3,1,,6,10,6,10,6,10,1.25,24 Feb 2021
11,5-8,5-8,2-3,4-7,6-10,7-10,2-3,1,5-9,5-8,6-9,5,8,5,8,2,3,4,7,6,10,7,10,2,3,1,,5,9,5,8,6,9,1.375,24 Feb 2021
12,5-8,5-8,1-2,4-6,5-8,6-10,2,1,5-8,5-7,5-8,5,8,5,8,1,2,4,6,5,8,6,10,2,,1,,5,8,5,7,5,8,1.5,24 Feb 2021
13,4-7,5-7,1-2,4-6,5-8,6-9,2,0-1,5-7,4-6,5-7,4,7,5,7,1,2,4,6,5,8,6,9,2,,0,1,5,7,4,6,5,7,1.625,24 Feb 2021
14,4-7,4-7,1-2,4-6,5-7,6-9,1-2,1,4-7,4-6,4-7,4,7,4,7,1,2,4,6,5,7,6,9,1,2,1,,4,7,4,6,4,7,1.75,24 Feb 2021
15,4-6,4-6,1-2,3-5,4-7,5-8,1,1-2,4-6,3-5,4-6,4,6,4,6,1,2,3,5,4,7,5,8,1,,1,2,4,6,3,5,4,6,1.875,24 Feb 2021
16,4-6,4-6,1-2,3-5,4-6,5-8,1,2-3,4-6,3-5,4-6,4,6,4,6,1,2,3,5,4,6,5,8,1,,2,3,4,6,3,5,4,6,2,24 Feb 2021
17,4-6,3-5,1,3-4,3-5,5-8,1-2,2-3,3-5,3-5,3-5,4,6,3,5,1,,3,4,3,5,5,8,1,2,2,3,3,5,3,5,3,5,2.125,24 Feb 2021
18,3-5,3-5,1,3-4,3-5,5-7,1-2,2,3-5,3-5,3-5,3,5,3,5,1,,3,4,3,5,5,7,1,2,2,,3,5,3,5,3,5,2.25,24 Feb 2021
19,3-5,3-5,1,3-4,3-5,4-7,1-2,2,3-5,3-4,3-5,3,5,3,5,1,,3,4,3,5,4,7,1,2,2,,3,5,3,4,3,5,2.375,24 Feb 2021
20,3-5,3-5,1,2-4,3-4,4-6,1,1-2,3-5,3-4,3-5,3,5,3,5,1,,2,4,3,4,4,6,1,,1,2,3,5,3,4,3,5,2.5,24 Feb 2021
21,3-5,3-5,1,2-4,3-4,4-6,1,1-2,3-5,3-4,3-4,3,5,3,5,1,,2,4,3,4,4,6,1,,1,2,3,5,3,4,3,4,2.625,24 Feb 2021
22,3-4,3-4,1,2-4,2-4,4-6,1,1,3-4,3-4,3-4,3,4,3,4,1,,2,4,2,4,4,6,1,,1,,3,4,3,4,3,4,2.75,24 Feb 2021
23,3-4,3-4,1,2-3,2-4,3-5,1,1-2,3-5,3-4,3-4,3,4,3,4,1,,2,3,2,4,3,5,1,,1,2,3,5,3,4,3,4,2.875,24 Feb 2021
24,3-4,3-4,1,2-3,2-3,3-5,1,1-2,3-4,2-4,3-4,3,4,3,4,1,,2,3,2,3,3,5,1,,1,2,3,4,2,4,3,4,3,24 Feb 2021
25,3-4,2-4,1,2-3,2-3,4-6,1,1-2,3-4,3-4,3-4,3,4,2,4,1,,2,3,2,3,4,6,1,,1,2,3,4,3,4,3,4,3.125,24 Feb 2021
26,2-4,2-4,1,2-3,2-3,6-10,1,1-2,2-4,2-4,3-4,2,4,2,4,1,,2,3,2,3,6,10,1,,1,2,2,4,2,4,3,4,3.25,24 Feb 2021
27,2-4,3-5,1,2-3,2-3,7-11,1,1-2,4-7,4-6,4-7,2,4,3,5,1,,2,3,2,3,7,11,1,,1,2,4,7,4,6,4,7,3.375,24 Feb 2021
28,3-5,5-7,1-2,2-4,3-4,7-11,1,1-2,5-7,4-7,5-7,3,5,5,7,1,2,2,4,3,4,7,11,1,,1,2,5,7,4,7,5,7,3.5,24 Feb 2021
29,4-7,5-7,1-2,3-5,3-5,7-11,1,1,5-8,4-7,5-8,4,7,5,7,1,2,3,5,3,5,7,11,1,,1,,5,8,4,7,5,8,3.625,24 Feb 2021
30,4-7,5-7,1-2,3-5,3-5,7-10,1,0-1,5-8,4-7,5-8,4,7,5,7,1,2,3,5,3,5,7,10,1,,0,1,5,8,4,7,5,8,3.75,24 Feb 2021
31,4-7,5-7,1-2,3-5,4-5,6-10,1,,5-7,4-7,5-8,4,7,5,7,1,2,3,5,4,5,6,10,1,,,,5,7,4,7,5,8,3.875,24 Feb 2021
32,4-7,4-7,1-2,3-5,3-5,6-9,1,,5-7,4-6,5-7,4,7,4,7,1,2,3,5,3,5,6,9,1,,,,5,7,4,6,5,7,4,24 Feb 2021
33,4-7,4-7,1-2,3-5,3-5,6-9,1,,5-7,4-6,5-7,4,7,4,7,1,2,3,5,3,5,6,9,1,,,,5,7,4,6,5,7,4.125,24 Feb 2021
34,4-6,4-7,1-2,3-5,3-5,5-8,1,,4-7,4-6,4-7,4,6,4,7,1,2,3,5,3,5,5,8,1,,,,4,7,4,6,4,7,4.25,24 Feb 2021
35,4-6,4-6,1-2,3-5,3-5,5-8,1,,4-6,4-6,4-6,4,6,4,6,1,2,3,5,3,5,5,8,1,,,,4,6,4,6,4,6,4.375,24 Feb 2021
36,4-6,4-6,1-2,3-4,3-4,5-8,1,,4-6,4-6,4-6,4,6,4,6,1,2,3,4,3,4,5,8,1,,,,4,6,4,6,4,6,4.5,24 Feb 2021
37,4-6,4-6,1-2,3-4,3-4,5-8,1,,4-6,3-5,4-6,4,6,4,6,1,2,3,4,3,4,5,8,1,,,,4,6,3,5,4,6,4.625,24 Feb 2021
38,3-5,4-6,1-2,3-4,3-4,5-7,1,,4-6,3-5,4-6,3,5,4,6,1,2,3,4,3,4,5,7,1,,,,4,6,3,5,4,6,4.75,24 Feb 2021
39,3-5,3-5,1-2,3-4,2-4,6-9,1,,4-6,3-5,4-6,3,5,3,5,1,2,3,4,2,4,6,9,1,,,,4,6,3,5,4,6,4.875,24 Feb 2021
40,3-5,4-5,1-2,2-4,2-3,5-8,1,,3-5,3-5,4-5,3,5,4,5,1,2,2,4,2,3,5,8,1,,,,3,5,3,5,4,5,5,24 Feb 2021
41,3-5,3-5,1-2,2-4,2-3,5-8,1,,3-5,3-5,3-5,3,5,3,5,1,2,2,4,2,3,5,8,1,,,,3,5,3,5,3,5,5.125,24 Feb 2021
42,3-5,3-5,1-2,2-3,3-4,5-8,1,,3-5,3-4,3-5,3,5,3,5,1,2,2,3,3,4,5,8,1,,,,3,5,3,4,3,5,5.25,24 Feb 2021
43,3-4,3-5,1-2,2-3,2-4,5-7,1,,3-5,3-4,3-5,3,4,3,5,1,2,2,3,2,4,5,7,1,,,,3,5,3,4,3,5,5.375,24 Feb 2021
44,3-4,3-5,1,2-3,2-4,4-7,1,,3-4,2-4,3-4,3,4,3,5,1,,2,3,2,4,4,7,1,,,,3,4,2,4,3,4,5.5,24 Feb 2021
45,2-4,3-4,1,2-3,2-3,4-7,1,,3-4,2-3,3-4,2,4,3,4,1,,2,3,2,3,4,7,1,,,,3,4,2,3,3,4,5.625,24 Feb 2021
46,2-4,3-4,1,2-3,2-3,4-6,1,,2-4,2-3,2-4,2,4,3,4,1,,2,3,2,3,4,6,1,,,,2,4,2,3,2,4,5.75,24 Feb 2021
47,2-4,3-4,1,2-3,2-3,4-6,1,,2-4,2-3,2-4,2,4,3,4,1,,2,3,2,3,4,6,1,,,,2,4,2,3,2,4,5.875,24 Feb 2021
48,2-4,3-4,1,2-3,2-3,4-6,1,,2-4,2-3,2-4,2,4,3,4,1,,2,3,2,3,4,6,1,,,,2,4,2,3,2,4,6,24 Feb 2021
49,2-3,2-4,1,2,2-3,4-6,1,,2-4,2-3,2-4,2,3,2,4,1,,2,,2,3,4,6,1,,,,2,4,2,3,2,4,6.125,24 Feb 2021
50,2-3,2-4,1,2,2-3,4-6,1,,2-4,2-3,2-4,2,3,2,4,1,,2,,2,3,4,6,1,,,,2,4,2,3,2,4,6.25,24 Feb 2021
51,2-3,2-4,1,2,2,3-5,1,,2-4,2-3,2-4,2,3,2,4,1,,2,,2,,3,5,1,,,,2,4,2,3,2,4,6.375,24 Feb 2021
52,2-3,2-4,1,2,2,3-5,1,,2-4,2-3,2-4,2,3,2,4,1,,2,,2,,3,5,1,,,,2,4,2,3,2,4,6.5,24 Feb 2021
53,2-3,2-4,1,2,1-2,3-5,0-1,,2-4,2-3,2-4,2,3,2,4,1,,2,,1,2,3,5,0,1,,,2,4,2,3,2,4,6.625,24 Feb 2021
54,2-3,2-4,1,2,1-2,3-5,0-1,,2-4,2-3,2-3,2,3,2,4,1,,2,,1,2,3,5,0,1,,,2,4,2,3,2,3,6.75,24 Feb 2021
55,2-3,2-3,1,1-2,1-2,3-5,0-1,,2-3,2-3,2-3,2,3,2,3,1,,1,2,1,2,3,5,0,1,,,2,3,2,3,2,3,6.875,24 Feb 2021
56,2-3,2-3,1,1-2,1-2,3-4,0-1,,2-3,2-3,2-3,2,3,2,3,1,,1,2,1,2,3,4,0,1,,,2,3,2,3,2,3,7,24 Feb 2021
