number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,days,date
1,4-7,4-7,1-2,3-5,3-5,6-9,1,0-1,5-7,4-7,5-7,4,7,4,7,1,2,3,5,3,5,6,9,1,,0,1,5,7,4,7,5,7,.125,28 Feb 2021
2,4-6,4-7,1-2,3-5,3-5,5-9,1,1,5-7,4-6,5-7,4,6,4,7,1,2,3,5,3,5,5,9,1,,1,,5,7,4,6,5,7,.25,28 Feb 2021
3,4-6,4-6,1-2,3-5,3-5,5-8,1,1,4-7,4-6,4-7,4,6,4,6,1,2,3,5,3,5,5,8,1,,1,,4,7,4,6,4,7,.375,28 Feb 2021
4,4-6,4-6,1-2,3-5,3-4,5-8,1,0-1,4-6,4-6,4-6,4,6,4,6,1,2,3,5,3,4,5,8,1,,0,1,4,6,4,6,4,6,.5,28 Feb 2021
5,4-6,4-6,1-2,3-4,3-4,5-8,1,1,4-6,4-6,4-6,4,6,4,6,1,2,3,4,3,4,5,8,1,,1,,4,6,4,6,4,6,.625,28 Feb 2021
6,3-5,4-5,1-2,3-4,3-4,5-7,1,1-2,4-6,3-5,4-6,3,5,4,5,1,2,3,4,3,4,5,7,1,,1,2,4,6,3,5,4,6,.75,28 Feb 2021
7,3-5,3-5,1-2,2-4,2-4,4-7,1,1-2,3-5,3-5,3-5,3,5,3,5,1,2,2,4,2,4,4,7,1,,1,2,3,5,3,5,3,5,.875,28 Feb 2021
8,3-5,3-5,1-2,2-4,2-3,5-7,1,1-2,3-5,3-5,3-5,3,5,3,5,1,2,2,4,2,3,5,7,1,,1,2,3,5,3,5,3,5,1,28 Feb 2021
9,3-4,3-5,1-2,2-3,2-3,5-7,1,1-2,3-5,3-4,3-5,3,4,3,5,1,2,2,3,2,3,5,7,1,,1,2,3,5,3,4,3,5,1.125,28 Feb 2021
10,3-4,3-5,1,2-3,2-3,4-7,1,1-2,3-4,3-4,3-4,3,4,3,5,1,,2,3,2,3,4,7,1,,1,2,3,4,3,4,3,4,1.25,28 Feb 2021
11,3-4,3-4,1,2-3,2-3,4-7,1,1-2,3-4,2-4,3-4,3,4,3,4,1,,2,3,2,3,4,7,1,,1,2,3,4,2,4,3,4,1.375,28 Feb 2021
12,2-4,3-4,1,2-3,2-3,4-6,1,1,3-4,2-4,3-4,2,4,3,4,1,,2,3,2,3,4,6,1,,1,,3,4,2,4,3,4,1.5,28 Feb 2021
13,2-4,3-4,1,2-3,2-3,4-6,1,1,2-4,2-3,2-4,2,4,3,4,1,,2,3,2,3,4,6,1,,1,,2,4,2,3,2,4,1.625,28 Feb 2021
14,2-3,2-4,1,2,2-3,4-6,1,1-2,2-4,2-3,2-3,2,3,2,4,1,,2,,2,3,4,6,1,,1,2,2,4,2,3,2,3,1.75,28 Feb 2021
15,2-3,2-4,1,1-2,2-3,4-6,1,1-2,2-3,2-3,2-3,2,3,2,4,1,,1,2,2,3,4,6,1,,1,2,2,3,2,3,2,3,1.875,28 Feb 2021
16,2-3,2-4,1,1-2,2,3-5,1,1-2,2-3,2-3,2-3,2,3,2,4,1,,1,2,2,,3,5,1,,1,2,2,3,2,3,2,3,2,28 Feb 2021
17,2-3,2-3,1,1-2,1-2,3-5,1,1-2,2-3,2-3,2-3,2,3,2,3,1,,1,2,1,2,3,5,1,,1,2,2,3,2,3,2,3,2.125,28 Feb 2021
18,2-3,2-3,1,1-2,1-2,3-5,0-1,1-2,2-3,2-3,2-3,2,3,2,3,1,,1,2,1,2,3,5,0,1,1,2,2,3,2,3,2,3,2.25,28 Feb 2021
19,2-3,2-3,1,1-2,1-2,3-5,0-1,1,2-3,2-3,2-3,2,3,2,3,1,,1,2,1,2,3,5,0,1,1,,2,3,2,3,2,3,2.375,28 Feb 2021
20,2-3,2-3,1,1-2,1-2,3-5,0-1,1,2-3,2-3,2-3,2,3,2,3,1,,1,2,1,2,3,5,0,1,1,,2,3,2,3,2,3,2.5,28 Feb 2021
