number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,days,date
1,5-8,5-8,2,5-7,8-12,7-10,2-4,1,6-9,6-9,6-9,5,8,5,8,2,,5,7,8,12,7,10,2,4,1,,6,9,6,9,6,9,.125,25 Feb 2021
2,5-8,5-8,2,5-7,7-11,7-10,2-4,1,6-10,6-10,6-10,5,8,5,8,2,,5,7,7,11,7,10,2,4,1,,6,10,6,10,6,10,.25,25 Feb 2021
3,5-8,5-8,2-3,4-7,6-9,6-10,2-3,1,5-8,5-8,5-9,5,8,5,8,2,3,4,7,6,9,6,10,2,3,1,,5,8,5,8,5,9,.375,25 Feb 2021
4,5-7,5-7,1-2,4-6,5-8,6-10,2-3,1,5-8,4-7,5-8,5,7,5,7,1,2,4,6,5,8,6,10,2,3,1,,5,8,4,7,5,8,.5,25 Feb 2021
5,5-7,5-7,1-2,4-6,5-8,6-9,1-2,1,5-7,4-6,5-7,5,7,5,7,1,2,4,6,5,8,6,9,1,2,1,,5,7,4,6,5,7,.625,25 Feb 2021
6,4-7,4-7,1-2,4-6,5-7,6-9,1-2,1-2,4-7,4-6,4-7,4,7,4,7,1,2,4,6,5,7,6,9,1,2,1,2,4,7,4,6,4,7,.75,25 Feb 2021
7,4-6,4-6,1-2,3-5,4-7,5-8,1,1-2,4-6,3-5,4-6,4,6,4,6,1,2,3,5,4,7,5,8,1,,1,2,4,6,3,5,4,6,.875,25 Feb 2021
8,4-6,4-6,1-2,3-5,4-6,5-8,1,2,4-6,3-5,4-6,4,6,4,6,1,2,3,5,4,6,5,8,1,,2,,4,6,3,5,4,6,1,25 Feb 2021
9,3-5,3-5,1,3-4,3-5,5-7,1-2,1-2,3-5,3-5,3-5,3,5,3,5,1,,3,4,3,5,5,7,1,2,1,2,3,5,3,5,3,5,1.125,25 Feb 2021
10,3-5,3-5,1,3-4,3-5,5-7,1-2,1-2,3-5,3-5,3-5,3,5,3,5,1,,3,4,3,5,5,7,1,2,1,2,3,5,3,5,3,5,1.25,25 Feb 2021
11,3-5,3-5,1,3-4,3-5,4-7,1-2,1-2,3-5,3-4,3-5,3,5,3,5,1,,3,4,3,5,4,7,1,2,1,2,3,5,3,4,3,5,1.375,25 Feb 2021
12,3-5,3-5,1,2-4,3-4,4-6,1,1-2,3-5,3-4,3-5,3,5,3,5,1,,2,4,3,4,4,6,1,,1,2,3,5,3,4,3,5,1.5,25 Feb 2021
13,3-4,3-4,1,2-4,3-4,4-6,1,1-2,3-4,3-4,3-4,3,4,3,4,1,,2,4,3,4,4,6,1,,1,2,3,4,3,4,3,4,1.625,25 Feb 2021
14,3-4,3-4,1,2-4,3-4,4-6,1,1-2,3-4,2-4,3-4,3,4,3,4,1,,2,4,3,4,4,6,1,,1,2,3,4,2,4,3,4,1.75,25 Feb 2021
15,3-4,3-4,1,2-3,2-4,3-5,1,1-2,3-4,3-4,3-4,3,4,3,4,1,,2,3,2,4,3,5,1,,1,2,3,4,3,4,3,4,1.875,25 Feb 2021
16,3-4,2-4,1,2-3,2-4,3-5,1,1,3-4,3-4,3-4,3,4,2,4,1,,2,3,2,4,3,5,1,,1,,3,4,3,4,3,4,2,25 Feb 2021
17,2-4,2-4,1,2-3,2-3,4-7,1,1,3-4,3-4,3-4,2,4,2,4,1,,2,3,2,3,4,7,1,,1,,3,4,3,4,3,4,2.125,25 Feb 2021
18,2-4,3-4,1,2-3,2-3,7-11,1,0-1,3-5,3-4,3-5,2,4,3,4,1,,2,3,2,3,7,11,1,,0,1,3,5,3,4,3,5,2.25,25 Feb 2021
19,3-4,5-7,1,2-3,2-4,7-12,1,0-1,5-8,5-7,5-8,3,4,5,7,1,,2,3,2,4,7,12,1,,0,1,5,8,5,7,5,8,2.375,25 Feb 2021
