number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,days,date
1,4-6,3-5,1,3-4,3-5,5-8,1-2,0-1,3-5,3-5,3-5,4,6,3,5,1,,3,4,3,5,5,8,1,2,0,1,3,5,3,5,3,5,.125,26 Feb 2021
2,3-5,3-5,1,3-4,3-5,5-7,1,0-1,3-5,3-5,3-5,3,5,3,5,1,,3,4,3,5,5,7,1,,0,1,3,5,3,5,3,5,.25,26 Feb 2021
3,3-5,3-5,1,3-4,2-4,4-7,1-2,0-1,3-5,3-4,3-5,3,5,3,5,1,,3,4,2,4,4,7,1,2,0,1,3,5,3,4,3,5,.375,26 Feb 2021
4,3-5,3-5,1,2-4,3-4,4-6,1,1,3-5,3-4,3-5,3,5,3,5,1,,2,4,3,4,4,6,1,,1,,3,5,3,4,3,5,.5,26 Feb 2021
5,3-5,3-5,1,2-4,3-4,4-6,1,1-2,3-5,3-4,3-4,3,5,3,5,1,,2,4,3,4,4,6,1,,1,2,3,5,3,4,3,4,.625,26 Feb 2021
6,3-4,3-4,1,2-4,3-4,4-6,1,1-2,3-4,3-4,3-4,3,4,3,4,1,,2,4,3,4,4,6,1,,1,2,3,4,3,4,3,4,.75,26 Feb 2021
7,3-4,3-4,1,2-3,2-4,3-5,1,1-2,3-5,3-4,3-4,3,4,3,4,1,,2,3,2,4,3,5,1,,1,2,3,5,3,4,3,4,.875,26 Feb 2021
8,3-4,3-4,1,2-3,2-4,3-5,1,1,3-4,2-4,3-4,3,4,3,4,1,,2,3,2,4,3,5,1,,1,,3,4,2,4,3,4,1,26 Feb 2021
9,2-4,2-4,1,2-3,2-3,4-7,1,1,3-4,3-4,3-4,2,4,2,4,1,,2,3,2,3,4,7,1,,1,,3,4,3,4,3,4,1.125,26 Feb 2021
10,2-4,3-4,1,2-3,2-3,7-10,1,1,3-5,3-4,3-5,2,4,3,4,1,,2,3,2,3,7,10,1,,1,,3,5,3,4,3,5,1.25,26 Feb 2021
11,3-4,4-7,1,2-3,2-3,7-11,1,1-2,5-7,4-7,5-8,3,4,4,7,1,,2,3,2,3,7,11,1,,1,2,5,7,4,7,5,8,1.375,26 Feb 2021
12,4-7,5-8,1-2,3-4,3-5,7-11,1,2,5-8,5-7,5-8,4,7,5,8,1,2,3,4,3,5,7,11,1,,2,,5,8,5,7,5,8,1.5,26 Feb 2021
13,5-7,5-8,1-2,4-6,3-5,7-11,1,2-3,5-8,5-7,5-8,5,7,5,8,1,2,4,6,3,5,7,11,1,,2,3,5,8,5,7,5,8,1.625,26 Feb 2021
