number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,days,date
1,3-5,3-5,1,2-4,1-2,4-7,1,0-1,2-3,3-5,3-5,3,5,3,5,1,,2,4,1,2,4,7,1,,0,1,2,3,3,5,3,5,.125,25 Mar 2021
2,3-5,3-5,1,2-3,1-2,4-7,1,0-1,3-4,3-4,3-5,3,5,3,5,1,,2,3,1,2,4,7,1,,0,1,3,4,3,4,3,5,.25,25 Mar 2021
3,3-4,2-4,1,2-3,1-2,4-7,1,0-1,3-4,2-4,3-4,3,4,2,4,1,,2,3,1,2,4,7,1,,0,1,3,4,2,4,3,4,.375,25 Mar 2021
4,3-5,3-4,1-2,2-3,1-2,4-7,1,1,3-5,3-5,3-5,3,5,3,4,1,2,2,3,1,2,4,7,1,,1,,3,5,3,5,3,5,.5,25 Mar 2021
5,3-4,3-5,1-2,2-3,2-3,4-6,1-2,1,3-5,3-5,3-5,3,4,3,5,1,2,2,3,2,3,4,6,1,2,1,,3,5,3,5,3,5,.625,25 Mar 2021
6,3-4,3-5,1-2,2-3,3-4,4-6,2,1,3-5,3-4,3-4,3,4,3,5,1,2,2,3,3,4,4,6,2,,1,,3,5,3,4,3,4,.75,25 Mar 2021
7,3-4,2-3,1,2-3,3-5,4-6,2-3,1,3-4,3-5,3-5,3,4,2,3,1,,2,3,3,5,4,6,2,3,1,,3,4,3,5,3,5,.875,25 Mar 2021
8,3-4,3-4,1,3-4,3-4,4-6,2-3,1,3-5,3-5,3-5,3,4,3,4,1,,3,4,3,4,4,6,2,3,1,,3,5,3,5,3,5,1,25 Mar 2021
9,3-5,3-5,1-2,3-4,3-5,4-6,2-3,1,3-5,4-6,4-5,3,5,3,5,1,2,3,4,3,5,4,6,2,3,1,,3,5,4,6,4,5,1.125,25 Mar 2021
10,4-6,3-5,1-2,3-5,4-6,4-6,2-4,1,4-6,4-6,4-6,4,6,3,5,1,2,3,5,4,6,4,6,2,4,1,,4,6,4,6,4,6,1.25,25 Mar 2021
