number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,days,date
1,3-4,3-4,1,2-3,2,3-5,1,1,3-4,2-3,2-4,3,4,3,4,1,,2,3,2,,3,5,1,,1,,3,4,2,3,2,4,.125, 9 Mar 2021
2,3-4,3-4,1,2-3,2,3-5,1,1,2-4,2-3,2-4,3,4,3,4,1,,2,3,2,,3,5,1,,1,,2,4,2,3,2,4,.25, 9 Mar 2021
3,2-4,2-4,1,2-3,1-2,3-5,1,1-2,2-4,2-3,2-4,2,4,2,4,1,,2,3,1,2,3,5,1,,1,2,2,4,2,3,2,4,.375, 9 Mar 2021
4,2-4,2-4,1,2-3,1-2,3-5,1,1-2,2-4,2-3,2-3,2,4,2,4,1,,2,3,1,2,3,5,1,,1,2,2,4,2,3,2,3,.5, 9 Mar 2021
5,2-4,2-4,1,2-3,1-2,3-5,1,1,2-3,2-3,2-3,2,4,2,4,1,,2,3,1,2,3,5,1,,1,,2,3,2,3,2,3,.625, 9 Mar 2021
6,2-4,2-3,1,1-2,1-2,3-4,1,1,2-3,2-3,2-3,2,4,2,3,1,,1,2,1,2,3,4,1,,1,,2,3,2,3,2,3,.75, 9 Mar 2021
7,2-3,2-3,1,2-3,1-2,3-4,1,1,2-3,3-4,2-4,2,3,2,3,1,,2,3,1,2,3,4,1,,1,,2,3,3,4,2,4,.875, 9 Mar 2021
8,3-4,2-4,1-2,2-4,2-3,2-3,1,1,3-4,4-6,3-5,3,4,2,4,1,2,2,4,2,3,2,3,1,,1,,3,4,4,6,3,5,1, 9 Mar 2021
9,4-6,3-5,1,3-5,3-4,3-4,1-2,1,4-6,4-7,4-6,4,6,3,5,1,,3,5,3,4,3,4,1,2,1,,4,6,4,7,4,6,1.125, 9 Mar 2021
10,4-6,4-6,1-2,4-6,3-5,4-6,2-3,0-1,4-7,5-9,5-8,4,6,4,6,1,2,4,6,3,5,4,6,2,3,0,1,4,7,5,9,5,8,1.25, 9 Mar 2021
11,5-8,5-7,1-2,4-6,4-6,5-8,3-4,0-1,5-8,5-9,5-8,5,8,5,7,1,2,4,6,4,6,5,8,3,4,0,1,5,8,5,9,5,8,1.375, 9 Mar 2021
12,5-8,5-8,1-2,4-6,5-8,6-9,3-5,0-1,5-7,5-8,5-7,5,8,5,8,1,2,4,6,5,8,6,9,3,5,0,1,5,7,5,8,5,7,1.5, 9 Mar 2021
13,5-8,5-7,1-2,4-6,6-9,4-7,4-6,0-1,4-7,4-7,4-6,5,8,5,7,1,2,4,6,6,9,4,7,4,6,0,1,4,7,4,7,4,6,1.625, 9 Mar 2021
14,5-7,4-7,1-2,4-6,6-10,5-9,4-7,0-1,4-7,5-8,4-7,5,7,4,7,1,2,4,6,6,10,5,9,4,7,0,1,4,7,5,8,4,7,1.75, 9 Mar 2021
15,5-7,5-7,1-2,4-6,7-10,5-8,5-7,1,5-8,6-9,5-8,5,7,5,7,1,2,4,6,7,10,5,8,5,7,1,,5,8,6,9,5,8,1.875, 9 Mar 2021
16,6-9,6-9,2-3,5-8,7-11,6-9,5-7,0-1,6-9,6-10,6-10,6,9,6,9,2,3,5,8,7,11,6,9,5,7,0,1,6,9,6,10,6,10,2, 9 Mar 2021
17,7-11,6-10,2-3,6-9,7-11,8-13,5-7,0-1,7-12,8-12,8-12,7,11,6,10,2,3,6,9,7,11,8,13,5,7,0,1,7,12,8,12,8,12,2.125, 9 Mar 2021
18,8-13,8-12,3-4,7-11,7-12,10-16,5-7,,10-16,10-14,10-16,8,13,8,12,3,4,7,11,7,12,10,16,5,7,,,10,16,10,14,10,16,2.25, 9 Mar 2021
19,10-16,10-16,3-5,8-13,8-13,14-20,5-8,,12-18,10-16,12-18,10,16,10,16,3,5,8,13,8,13,14,20,5,8,,,12,18,10,16,12,18,2.375, 9 Mar 2021
20,10-16,10-16,5-7,8-12,8-13,14-22,5-8,,10-16,10-16,12-18,10,16,10,16,5,7,8,12,8,13,14,22,5,8,,,10,16,10,16,12,18,2.5, 9 Mar 2021
21,10-16,10-16,3-4,8-12,8-12,16-24,5-8,,10-18,10-16,12-18,10,16,10,16,3,4,8,12,8,12,16,24,5,8,,,10,18,10,16,12,18,2.625, 9 Mar 2021
22,12-18,12-18,3-5,7-11,8-13,16-24,5-7,,12-18,10-16,12-18,12,18,12,18,3,5,7,11,8,13,16,24,5,7,,,12,18,10,16,12,18,2.75, 9 Mar 2021
23,9-14,10-16,3-5,7-11,12-18,14-22,5-7,,10-16,9-15,10-16,9,14,10,16,3,5,7,11,12,18,14,22,5,7,,,10,16,9,15,10,16,2.875, 9 Mar 2021
24,9-14,9-15,2-4,7-11,10-16,12-20,4-6,,9-15,9-14,10-14,9,14,9,15,2,4,7,11,10,16,12,20,4,6,,,9,15,9,14,10,14,3, 9 Mar 2021
25,8-13,8-13,4-6,7-11,9-15,12-18,3-5,,9-14,8-13,9-14,8,13,8,13,4,6,7,11,9,15,12,18,3,5,,,9,14,8,13,9,14,3.125, 9 Mar 2021
26,8-13,8-13,2-3,7-10,9-14,10-16,3-5,,9-14,8-13,9-14,8,13,8,13,2,3,7,10,9,14,10,16,3,5,,,9,14,8,13,9,14,3.25, 9 Mar 2021
27,9-13,8-13,2-3,5-8,9-14,10-16,3-5,,7-11,6-10,7-11,9,13,8,13,2,3,5,8,9,14,10,16,3,5,,,7,11,6,10,7,11,3.375, 9 Mar 2021
