number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,days,date
1,2-3,2-3,1,1-2,2-3,3-5,1-2,0-1,2-3,2-3,2-3,2,3,2,3,1,,1,2,2,3,3,5,1,2,0,1,2,3,2,3,2,3,.125,16 Mar 2021
2,2-3,2-3,1,1-2,2,3-5,1,,2-3,2,2-3,2,3,2,3,1,,1,2,2,,3,5,1,,,,2,3,2,,2,3,.25,16 Mar 2021
3,2-3,2-3,1,1-2,1-2,3-5,1,,2-3,1-2,2-3,2,3,2,3,1,,1,2,1,2,3,5,1,,,,2,3,1,2,2,3,.375,16 Mar 2021
4,2-3,2-3,1,1-2,1-2,3-5,1,,2-3,1-2,2-3,2,3,2,3,1,,1,2,1,2,3,5,1,,,,2,3,1,2,2,3,.5,16 Mar 2021
5,2-3,2-3,1-2,1-2,1-2,3-5,1,,1-2,1-2,1-2,2,3,2,3,1,2,1,2,1,2,3,5,1,,,,1,2,1,2,1,2,.625,16 Mar 2021
6,2-3,2-3,1-2,1-2,1-2,3-5,1,,1-2,1-2,1-2,2,3,2,3,1,2,1,2,1,2,3,5,1,,,,1,2,1,2,1,2,.75,16 Mar 2021
7,2-3,1-2,1-2,1-2,1-2,3-5,1,,1-2,1-2,1-2,2,3,1,2,1,2,1,2,1,2,3,5,1,,,,1,2,1,2,1,2,.875,16 Mar 2021
8,2,2,1,1,1-2,3-5,1,,2-3,2-3,2-3,2,,2,,1,,1,,1,2,3,5,1,,,,2,3,2,3,2,3,1,16 Mar 2021
9,1-2,2-3,1,2-3,1-2,3-5,1,,2-3,2-3,2-3,1,2,2,3,1,,2,3,1,2,3,5,1,,,,2,3,2,3,2,3,1.125,16 Mar 2021
10,2-3,2-3,1,2-3,1-2,3-4,1,,2-3,2-3,2-3,2,3,2,3,1,,2,3,1,2,3,4,1,,,,2,3,2,3,2,3,1.25,16 Mar 2021
11,2-3,2-3,1,2-3,1-2,3-4,1,,2-4,2-3,2-3,2,3,2,3,1,,2,3,1,2,3,4,1,,,,2,4,2,3,2,3,1.375,16 Mar 2021
12,2-3,2-3,1,2-3,1-2,3-4,1,,2-4,2-3,2-3,2,3,2,3,1,,2,3,1,2,3,4,1,,,,2,4,2,3,2,3,1.5,16 Mar 2021
13,2-3,2-3,1,2-3,1-2,3-5,1,,2-3,2-3,2-3,2,3,2,3,1,,2,3,1,2,3,5,1,,,,2,3,2,3,2,3,1.625,16 Mar 2021
14,2-3,2-3,1,2-3,1-2,3-5,1,,2-3,2-3,2-3,2,3,2,3,1,,2,3,1,2,3,5,1,,,,2,3,2,3,2,3,1.75,16 Mar 2021
15,2-3,2-3,1,2-3,1-2,4-6,1,,2-3,2-3,2-3,2,3,2,3,1,,2,3,1,2,4,6,1,,,,2,3,2,3,2,3,1.875,16 Mar 2021
16,2-3,2-3,0-1,2,1-2,4-6,1,,2-3,2-3,2-3,2,3,2,3,0,1,2,,1,2,4,6,1,,,,2,3,2,3,2,3,2,16 Mar 2021
17,2-3,2-3,1,1-2,1-2,3-5,1,,2-3,2,2-3,2,3,2,3,1,,1,2,1,2,3,5,1,,,,2,3,2,,2,3,2.125,16 Mar 2021
18,2,2-3,1,1-2,1-2,3-5,1,,2-3,1-2,2,2,,2,3,1,,1,2,1,2,3,5,1,,,,2,3,1,2,2,,2.25,16 Mar 2021
19,1-2,2-3,1,1-2,1-2,3-5,1,,1-2,1-2,1-2,1,2,2,3,1,,1,2,1,2,3,5,1,,,,1,2,1,2,1,2,2.375,16 Mar 2021
20,2,2-3,1,1-2,1-2,3-5,1,,2-3,1-2,2,2,,2,3,1,,1,2,1,2,3,5,1,,,,2,3,1,2,2,,2.5,16 Mar 2021
21,1-2,2-3,1,1-2,1-2,3-5,1,,2,1-2,2,1,2,2,3,1,,1,2,1,2,3,5,1,,,,2,,1,2,2,,2.625,16 Mar 2021
22,2-3,2-3,1,1-2,1-2,3-5,1,,2-3,2-3,2-3,2,3,2,3,1,,1,2,1,2,3,5,1,,,,2,3,2,3,2,3,2.75,16 Mar 2021
23,2-3,2-3,1,1-2,1-2,3-5,1,,2-3,2-3,2-3,2,3,2,3,1,,1,2,1,2,3,5,1,,,,2,3,2,3,2,3,2.875,16 Mar 2021
24,2-3,2-3,1,1-2,1-2,3-5,1,,2-3,2,2-3,2,3,2,3,1,,1,2,1,2,3,5,1,,,,2,3,2,,2,3,3,16 Mar 2021
25,2-3,2-3,1,1-2,1-2,3-4,0-1,,2-4,2-3,2-4,2,3,2,3,1,,1,2,1,2,3,4,0,1,,,2,4,2,3,2,4,3.125,16 Mar 2021
26,2-3,2-4,1,2,2,3-5,0-1,,3-4,2-4,3-4,2,3,2,4,1,,2,,2,,3,5,0,1,,,3,4,2,4,3,4,3.25,16 Mar 2021
27,2-4,2-4,1,2,2,5-8,0-1,,3-4,2-4,3-4,2,4,2,4,1,,2,,2,,5,8,0,1,,,3,4,2,4,3,4,3.375,16 Mar 2021
28,3-4,3-5,1,2-3,2-3,5-7,0-1,,4-6,3-5,4-6,3,4,3,5,1,,2,3,2,3,5,7,0,1,,,4,6,3,5,4,6,3.5,16 Mar 2021
29,3-5,3-5,1-2,2-4,2-4,5-7,0-1,,4-6,3-5,4-6,3,5,3,5,1,2,2,4,2,4,5,7,0,1,,,4,6,3,5,4,6,3.625,16 Mar 2021
30,3-5,3-5,1-2,2-4,3-4,4-7,1,,4-6,3-5,4-6,3,5,3,5,1,2,2,4,3,4,4,7,1,,,,4,6,3,5,4,6,3.75,16 Mar 2021
31,3-5,3-5,1-2,2-4,3-4,4-7,1,,4-6,3-5,4-6,3,5,3,5,1,2,2,4,3,4,4,7,1,,,,4,6,3,5,4,6,3.875,16 Mar 2021
32,3-5,3-5,1-2,2-4,3-4,4-7,1,,4-6,3-5,4-6,3,5,3,5,1,2,2,4,3,4,4,7,1,,,,4,6,3,5,4,6,4,16 Mar 2021
33,3-5,3-5,1-2,2-4,3-4,4-6,1,,4-6,3-5,4-6,3,5,3,5,1,2,2,4,3,4,4,6,1,,,,4,6,3,5,4,6,4.125,16 Mar 2021
34,3-5,3-5,1-2,2-4,3-4,4-6,1,,3-5,3-5,3-5,3,5,3,5,1,2,2,4,3,4,4,6,1,,,,3,5,3,5,3,5,4.25,16 Mar 2021
35,3-4,3-5,1,2-3,2-4,4-6,1,,3-5,3-5,3-5,3,4,3,5,1,,2,3,2,4,4,6,1,,,,3,5,3,5,3,5,4.375,16 Mar 2021
36,3-4,3-4,1,2-3,2-4,3-5,1,,3-5,3-4,3-5,3,4,3,4,1,,2,3,2,4,3,5,1,,,,3,5,3,4,3,5,4.5,16 Mar 2021
37,3-4,3-4,1,2-3,2-3,3-5,1,,3-5,3-4,3-5,3,4,3,4,1,,2,3,2,3,3,5,1,,,,3,5,3,4,3,5,4.625,16 Mar 2021
38,2-4,3-4,1,2-3,2-3,3-5,1,,3-4,2-4,3-4,2,4,3,4,1,,2,3,2,3,3,5,1,,,,3,4,2,4,3,4,4.75,16 Mar 2021
39,2-4,2-4,1,2-3,2-3,3-5,1,,3-4,2-4,3-4,2,4,2,4,1,,2,3,2,3,3,5,1,,,,3,4,2,4,3,4,4.875,16 Mar 2021
40,2-3,2-3,1,2-3,2-3,3-4,1,,2-4,2-3,2-4,2,3,2,3,1,,2,3,2,3,3,4,1,,,,2,4,2,3,2,4,5,16 Mar 2021
41,2-3,2-3,1,2,2-3,3-4,1,,2-4,2-3,2-4,2,3,2,3,1,,2,,2,3,3,4,1,,,,2,4,2,3,2,4,5.125,16 Mar 2021
42,2-3,2-3,1,1-2,2,3-4,1,,2-3,2-3,2-3,2,3,2,3,1,,1,2,2,,3,4,1,,,,2,3,2,3,2,3,5.25,16 Mar 2021
43,2-3,2-3,1,1-2,1-2,2-4,1,,2-3,2-3,2-3,2,3,2,3,1,,1,2,1,2,2,4,1,,,,2,3,2,3,2,3,5.375,16 Mar 2021
44,2-3,2-3,1,1-2,1-2,2-4,1,,2-3,2-3,2-3,2,3,2,3,1,,1,2,1,2,2,4,1,,,,2,3,2,3,2,3,5.5,16 Mar 2021
45,2-3,2-3,1,1-2,1-2,2-3,1,,2-3,2-3,2-3,2,3,2,3,1,,1,2,1,2,2,3,1,,,,2,3,2,3,2,3,5.625,16 Mar 2021
46,2-3,2-3,1,1-2,1-2,2-3,1,,2-3,2,2-3,2,3,2,3,1,,1,2,1,2,2,3,1,,,,2,3,2,,2,3,5.75,16 Mar 2021
47,2-3,2-3,1,1-2,1-2,2-3,1,,2-3,1-2,2-3,2,3,2,3,1,,1,2,1,2,2,3,1,,,,2,3,1,2,2,3,5.875,16 Mar 2021
48,2,2,1,1-2,1-2,2-3,1,,2-3,1-2,2-3,2,,2,,1,,1,2,1,2,2,3,1,,,,2,3,1,2,2,3,6,16 Mar 2021
49,2,2,0-1,1-2,1-2,2-3,1,,2-3,1-2,2,2,,2,,0,1,1,2,1,2,2,3,1,,,,2,3,1,2,2,,6.125,16 Mar 2021
50,1-2,1-2,0-1,1-2,1-2,2-3,1,,2,1-2,1-2,1,2,1,2,0,1,1,2,1,2,2,3,1,,,,2,,1,2,1,2,6.25,16 Mar 2021
51,1-2,1-2,0-1,1-2,1-2,2-3,1,,1-2,1-2,1-2,1,2,1,2,0,1,1,2,1,2,2,3,1,,,,1,2,1,2,1,2,6.375,16 Mar 2021
52,1-2,1-2,0-1,1-2,1,2-3,1,,1-2,1-2,1-2,1,2,1,2,0,1,1,2,1,,2,3,1,,,,1,2,1,2,1,2,6.5,16 Mar 2021
53,1-2,1-2,0-1,1-2,1,2-3,1,,1-2,1-2,1-2,1,2,1,2,0,1,1,2,1,,2,3,1,,,,1,2,1,2,1,2,6.625,16 Mar 2021
