number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,days,date
1,6-9,5-8,1-2,4-7,4-7,5-8,2-3,1,6-9,6-10,6-9,6,9,5,8,1,2,4,7,4,7,5,8,2,3,1,,6,9,6,10,6,9,.125,29 Mar 2021
2,5-9,5-8,1-2,5-7,4-6,5-8,2-3,1,5-8,6-9,6-9,5,9,5,8,1,2,5,7,4,6,5,8,2,3,1,,5,8,6,9,6,9,.25,29 Mar 2021
3,5-8,5-8,1-2,4-7,4-6,6-9,2-3,1,5-8,6-9,5-8,5,8,5,8,1,2,4,7,4,6,6,9,2,3,1,,5,8,6,9,5,8,.375,29 Mar 2021
4,5-8,5-7,1-2,4-6,3-5,6-9,2-3,0-1,5-8,5-8,5-8,5,8,5,7,1,2,4,6,3,5,6,9,2,3,0,1,5,8,5,8,5,8,.5,29 Mar 2021
5,5-7,4-7,1-2,3-5,3-5,6-9,2-3,1,5-7,5-7,5-8,5,7,4,7,1,2,3,5,3,5,6,9,2,3,1,,5,7,5,7,5,8,.625,29 Mar 2021
6,4-7,4-7,1-2,3-5,3-4,6-9,2-3,1,4-7,5-7,5-7,4,7,4,7,1,2,3,5,3,4,6,9,2,3,1,,4,7,5,7,5,7,.75,29 Mar 2021
7,4-6,4-6,1-2,3-5,2-3,6-9,1-2,1,4-7,4-7,4-7,4,6,4,6,1,2,3,5,2,3,6,9,1,2,1,,4,7,4,7,4,7,.875,29 Mar 2021
8,4-6,4-6,1-2,3-5,2-3,6-9,1-2,0-1,4-6,4-6,4-6,4,6,4,6,1,2,3,5,2,3,6,9,1,2,0,1,4,6,4,6,4,6,1,29 Mar 2021
9,3-5,4-6,1-2,3-4,2-3,5-9,1-2,1,4-6,4-6,4-6,3,5,4,6,1,2,3,4,2,3,5,9,1,2,1,,4,6,4,6,4,6,1.125,29 Mar 2021
10,3-5,4-6,1-2,3-4,2-3,5-8,1-2,1-2,4-6,4-6,4-6,3,5,4,6,1,2,3,4,2,3,5,8,1,2,1,2,4,6,4,6,4,6,1.25,29 Mar 2021
11,3-5,3-5,1,2-4,2-3,5-8,1-2,2-3,3-5,3-5,3-5,3,5,3,5,1,,2,4,2,3,5,8,1,2,2,3,3,5,3,5,3,5,1.375,29 Mar 2021
12,3-5,3-5,1,2-4,2-3,5-7,1-2,2-3,3-5,3-5,3-5,3,5,3,5,1,,2,4,2,3,5,7,1,2,2,3,3,5,3,5,3,5,1.5,29 Mar 2021
13,3-5,3-5,1,2-4,2,5-7,1-2,2,3-5,3-5,3-5,3,5,3,5,1,,2,4,2,,5,7,1,2,2,,3,5,3,5,3,5,1.625,29 Mar 2021
14,3-5,3-5,1,2-4,1-2,5-7,1,1-2,3-5,3-5,3-5,3,5,3,5,1,,2,4,1,2,5,7,1,,1,2,3,5,3,5,3,5,1.75,29 Mar 2021
15,3-5,3-5,1,3-4,2,4-7,1,1-2,3-5,3-5,3-5,3,5,3,5,1,,3,4,2,,4,7,1,,1,2,3,5,3,5,3,5,1.875,29 Mar 2021
16,3-5,3-5,1,3-4,2,4-7,1,1-2,3-5,3-5,3-5,3,5,3,5,1,,3,4,2,,4,7,1,,1,2,3,5,3,5,3,5,2,29 Mar 2021
17,3-5,3-5,1,2-4,2,4-7,1,1-2,3-5,3-5,3-5,3,5,3,5,1,,2,4,2,,4,7,1,,1,2,3,5,3,5,3,5,2.125,29 Mar 2021
18,3-5,3-5,1-2,2-4,2,4-6,1,1-2,3-5,3-5,3-5,3,5,3,5,1,2,2,4,2,,4,6,1,,1,2,3,5,3,5,3,5,2.25,29 Mar 2021
19,3-5,3-5,1-2,2-4,2,4-6,1,1-2,3-5,3-5,3-5,3,5,3,5,1,2,2,4,2,,4,6,1,,1,2,3,5,3,5,3,5,2.375,29 Mar 2021
20,3-5,3-5,1-2,2-4,1-2,4-6,1,1,3-5,3-5,3-5,3,5,3,5,1,2,2,4,1,2,4,6,1,,1,,3,5,3,5,3,5,2.5,29 Mar 2021
21,3-5,3-5,1-2,2-4,2-3,4-6,1,1,3-5,3-5,3-5,3,5,3,5,1,2,2,4,2,3,4,6,1,,1,,3,5,3,5,3,5,2.625,29 Mar 2021
22,3-5,3-5,1-2,2-4,2-3,4-6,1,0-1,3-5,3-5,3-5,3,5,3,5,1,2,2,4,2,3,4,6,1,,0,1,3,5,3,5,3,5,2.75,29 Mar 2021
23,3-5,3-5,1,2-4,2-3,3-5,1,,3-5,3-5,3-5,3,5,3,5,1,,2,4,2,3,3,5,1,,,,3,5,3,5,3,5,2.875,29 Mar 2021
24,3-5,3-4,1,2-4,2-3,3-5,1,,3-5,3-4,3-5,3,5,3,4,1,,2,4,2,3,3,5,1,,,,3,5,3,4,3,5,3,29 Mar 2021
25,3-4,3-4,1,2-4,2-3,3-5,1,,3-5,3-4,3-5,3,4,3,4,1,,2,4,2,3,3,5,1,,,,3,5,3,4,3,5,3.125,29 Mar 2021
26,3-4,3-4,1,2-3,2-3,3-5,1,,3-4,3-4,3-4,3,4,3,4,1,,2,3,2,3,3,5,1,,,,3,4,3,4,3,4,3.25,29 Mar 2021
27,3-4,2-4,1,2-3,2-3,3-4,1,,3-4,2-4,3-4,3,4,2,4,1,,2,3,2,3,3,4,1,,,,3,4,2,4,3,4,3.375,29 Mar 2021
28,2-4,2-3,1,2-3,2-3,2-4,1,,2-4,2-3,2-4,2,4,2,3,1,,2,3,2,3,2,4,1,,,,2,4,2,3,2,4,3.5,29 Mar 2021
29,2-3,2-3,1,2-3,2-3,2-3,1,,2-3,2-3,2-3,2,3,2,3,1,,2,3,2,3,2,3,1,,,,2,3,2,3,2,3,3.625,29 Mar 2021
30,2-3,2-3,1,2,2,2-3,1,,2-3,2-3,2-3,2,3,2,3,1,,2,,2,,2,3,1,,,,2,3,2,3,2,3,3.75,29 Mar 2021
31,2-3,2-3,0-1,1-2,1-2,2-3,1,,2-3,2,2-3,2,3,2,3,0,1,1,2,1,2,2,3,1,,,,2,3,2,,2,3,3.875,29 Mar 2021
32,2,1-2,0-1,1-2,1-2,2,1,,2,1-2,1-2,2,,1,2,0,1,1,2,1,2,2,,1,,,,2,,1,2,1,2,4,29 Mar 2021
33,1-2,1-2,0-1,1-2,1-2,1-2,1,,1-2,1-2,1-2,1,2,1,2,0,1,1,2,1,2,1,2,1,,,,1,2,1,2,1,2,4.125,29 Mar 2021
34,1-2,1-2,0-1,1-2,1-2,1-2,1,,1-2,1-2,1-2,1,2,1,2,0,1,1,2,1,2,1,2,1,,,,1,2,1,2,1,2,4.25,29 Mar 2021
35,1-2,1-2,0-1,1,1,1-2,1,,1-2,1-2,1-2,1,2,1,2,0,1,1,,1,,1,2,1,,,,1,2,1,2,1,2,4.375,29 Mar 2021
36,1-2,1,0-1,1,1,1-2,0-1,,1-2,1,1-2,1,2,1,,0,1,1,,1,,1,2,0,1,,,1,2,1,,1,2,4.5,29 Mar 2021
37,1,1,0-1,1,1,1-2,0-1,,1,1,1,1,,1,,0,1,1,,1,,1,2,0,1,,,1,,1,,1,,4.625,29 Mar 2021
38,1,1,0-1,1,1,1-2,0-1,,1,1,1,1,,1,,0,1,1,,1,,1,2,0,1,,,1,,1,,1,,4.75,29 Mar 2021
39,1,1,0-1,1,1,1-2,0-1,,1,1,1,1,,1,,0,1,1,,1,,1,2,0,1,,,1,,1,,1,,4.875,29 Mar 2021
40,1,1,0-1,1,1,1-2,0-1,,1,1,1,1,,1,,0,1,1,,1,,1,2,0,1,,,1,,1,,1,,5,29 Mar 2021
41,1,1,0-1,0-1,0-1,1-2,0-1,,1,1,1,1,,1,,0,1,0,1,0,1,1,2,0,1,,,1,,1,,1,,5.125,29 Mar 2021
42,1,1,0-1,0-1,0-1,1-2,0-1,,1,0-1,0-1,1,,1,,0,1,0,1,0,1,1,2,0,1,,,1,,0,1,0,1,5.25,29 Mar 2021
43,0-1,1,0-1,0-1,0-1,1-2,0-1,,1,1,1,0,1,1,,0,1,0,1,0,1,1,2,0,1,,,1,,1,,1,,5.375,29 Mar 2021
44,1,1,0-1,0-1,0-1,1-2,0-1,,1,1,1,1,,1,,0,1,0,1,0,1,1,2,0,1,,,1,,1,,1,,5.5,29 Mar 2021
45,1,1,0-1,1,1,1-2,0-1,,1,1,1,1,,1,,0,1,1,,1,,1,2,0,1,,,1,,1,,1,,5.625,29 Mar 2021
46,1,1,0-1,1,1,2-3,,,1,1,1-2,1,,1,,0,1,1,,1,,2,3,,,,,1,,1,,1,2,5.75,29 Mar 2021
47,1-2,1-2,0-1,1,1,2-3,,,1-2,1,1-2,1,2,1,2,0,1,1,,1,,2,3,,,,,1,2,1,,1,2,5.875,29 Mar 2021
48,1-2,1-2,1,1,1,2-3,,,1-2,1-2,1-2,1,2,1,2,1,,1,,1,,2,3,,,,,1,2,1,2,1,2,6,29 Mar 2021
49,1-2,1-2,,1,1,2-3,,,1-2,1-2,1-2,1,2,1,2,,,1,,1,,2,3,,,,,1,2,1,2,1,2,6.125,29 Mar 2021
50,1-2,1-2,,1,1,2-3,,,1-2,1-2,1-2,1,2,1,2,,,1,,1,,2,3,,,,,1,2,1,2,1,2,6.25,29 Mar 2021
51,1-2,1-2,,1,1,2-3,,,1-2,1-2,1-2,1,2,1,2,,,1,,1,,2,3,,,,,1,2,1,2,1,2,6.375,29 Mar 2021
52,1-2,1-2,,1,1,2-3,,,1-2,1-2,1-2,1,2,1,2,,,1,,1,,2,3,,,,,1,2,1,2,1,2,6.5,29 Mar 2021
53,1-2,1-2,,1,1,2-3,,,1-2,1,1-2,1,2,1,2,,,1,,1,,2,3,,,,,1,2,1,,1,2,6.625,29 Mar 2021
54,1-2,1-2,,1,1,2,,,1-2,1,1,1,2,1,2,,,1,,1,,2,,,,,,1,2,1,,1,,6.75,29 Mar 2021
55,1,1-2,,1,1,1-2,,,1,1,1,1,,1,2,,,1,,1,,1,2,,,,,1,,1,,1,,6.875,29 Mar 2021
56,1,1,,1,1,1-2,,,1,1,1,1,,1,,,,1,,1,,1,2,,,,,1,,1,,1,,7,29 Mar 2021
