number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,days,date
1,1-2,1-2,0-1,1,1,2,0-1,1,1-2,1,1,1,2,1,2,0,1,1,,1,,2,,0,1,1,,1,2,1,,1,,.125,23 Mar 2021
2,1-2,1-2,0-1,1,1,2,0-1,1,1-2,1,1-2,1,2,1,2,0,1,1,,1,,2,,0,1,1,,1,2,1,,1,2,.25,23 Mar 2021
3,1-2,1-2,0-1,1,1,2-3,0-1,1,1-2,1-2,1-2,1,2,1,2,0,1,1,,1,,2,3,0,1,1,,1,2,1,2,1,2,.375,23 Mar 2021
4,1-2,1-2,0-1,1,1,2-3,0-1,0-1,1-2,2,1-2,1,2,1,2,0,1,1,,1,,2,3,0,1,0,1,1,2,2,,1,2,.5,23 Mar 2021
5,1-2,1-2,0-1,1-2,1,2-3,1,0-1,1-2,2-3,2,1,2,1,2,0,1,1,2,1,,2,3,1,,0,1,1,2,2,3,2,,.625,23 Mar 2021
6,2,2-3,0-1,2-3,1-2,2-3,1,0-1,2-3,3-4,2-3,2,,2,3,0,1,2,3,1,2,2,3,1,,0,1,2,3,3,4,2,3,.75,23 Mar 2021
7,2-4,2-3,1,2-3,1-2,2-3,1,0-1,2-3,3-4,2-3,2,4,2,3,1,,2,3,1,2,2,3,1,,0,1,2,3,3,4,2,3,.875,23 Mar 2021
8,2-4,2-3,1,2-3,1-2,2-4,1,0-1,2-4,3-4,2-4,2,4,2,3,1,,2,3,1,2,2,4,1,,0,1,2,4,3,4,2,4,1,23 Mar 2021
9,2-4,2-3,1,2-3,1-2,4-6,1,0-1,3-4,3-4,3-4,2,4,2,3,1,,2,3,1,2,4,6,1,,0,1,3,4,3,4,3,4,1.125,23 Mar 2021
10,3-4,2-4,1,2-3,1-2,4-7,1,1,3-4,2-3,3-4,3,4,2,4,1,,2,3,1,2,4,7,1,,1,,3,4,2,3,3,4,1.25,23 Mar 2021
11,3-5,3-5,1-2,2-3,2-3,4-7,0-1,1-2,3-4,3-4,3-5,3,5,3,5,1,2,2,3,2,3,4,7,0,1,1,2,3,4,3,4,3,5,1.375,23 Mar 2021
