number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,days,date
1,2-4,2-4,1,2-3,2-3,3-5,0-1,1,3-4,3-4,3-4,2,4,2,4,1,,2,3,2,3,3,5,0,1,1,,3,4,3,4,3,4,.125, 3 Mar 2021
2,2-4,2-4,1,2-3,2-3,3-5,0-1,1,3-4,2-4,3-4,2,4,2,4,1,,2,3,2,3,3,5,0,1,1,,3,4,2,4,3,4,.25, 3 Mar 2021
3,2-3,2-3,1,2-3,2-3,3-4,1,1,3-4,2-4,3-4,2,3,2,3,1,,2,3,2,3,3,4,1,,1,,3,4,2,4,3,4,.375, 3 Mar 2021
4,2-3,2-3,1,2-3,2-3,3-4,1,1,2-4,2-3,2-4,2,3,2,3,1,,2,3,2,3,3,4,1,,1,,2,4,2,3,2,4,.5, 3 Mar 2021
5,2-3,2-3,1,2-3,2-3,3-4,1,1,2-4,2-3,2-4,2,3,2,3,1,,2,3,2,3,3,4,1,,1,,2,4,2,3,2,4,.625, 3 Mar 2021
6,2-3,2-3,1,2,2,3-4,1,1,2-3,2-3,2-3,2,3,2,3,1,,2,,2,,3,4,1,,1,,2,3,2,3,2,3,.75, 3 Mar 2021
7,2-3,2-3,1,1-2,1-2,3-4,1,0-1,2-3,2-3,2-3,2,3,2,3,1,,1,2,1,2,3,4,1,,0,1,2,3,2,3,2,3,.875, 3 Mar 2021
8,2-3,2-3,1,1-2,1-2,3-4,1,1,2-3,2-3,2-3,2,3,2,3,1,,1,2,1,2,3,4,1,,1,,2,3,2,3,2,3,1, 3 Mar 2021
9,2-3,2-3,1,1-2,1-2,3-4,1,1-2,2-3,2-3,2-3,2,3,2,3,1,,1,2,1,2,3,4,1,,1,2,2,3,2,3,2,3,1.125, 3 Mar 2021
10,2-3,2-3,1,1-2,1-2,2-4,1,1-2,2-3,2,2-3,2,3,2,3,1,,1,2,1,2,2,4,1,,1,2,2,3,2,,2,3,1.25, 3 Mar 2021
11,2-3,2-3,1,1-2,1-2,2-4,1,1-2,2-3,1-2,2-3,2,3,2,3,1,,1,2,1,2,2,4,1,,1,2,2,3,1,2,2,3,1.375, 3 Mar 2021
12,2-3,2-3,1,1-2,1-2,2-3,1,1-2,2-3,1-2,2,2,3,2,3,1,,1,2,1,2,2,3,1,,1,2,2,3,1,2,2,,1.5, 3 Mar 2021
13,2-3,2-3,1,1-2,1-2,2-3,1,1-2,2,1-2,1-2,2,3,2,3,1,,1,2,1,2,2,3,1,,1,2,2,,1,2,1,2,1.625, 3 Mar 2021
14,2,2,1,1-2,1-2,2-3,0-1,1-2,1-2,1-2,1-2,2,,2,,1,,1,2,1,2,2,3,0,1,1,2,1,2,1,2,1,2,1.75, 3 Mar 2021
15,1-2,1-2,0-1,1-2,1-2,2-3,1,1-2,1-2,1-2,1-2,1,2,1,2,0,1,1,2,1,2,2,3,1,,1,2,1,2,1,2,1,2,1.875, 3 Mar 2021
16,1-2,1-2,0-1,1-2,1,2-3,0-1,1-2,1-2,1-2,1-2,1,2,1,2,0,1,1,2,1,,2,3,0,1,1,2,1,2,1,2,1,2,2, 3 Mar 2021
17,1-2,1-2,0-1,1,1,2-3,0-1,1-2,1-2,1-2,1-2,1,2,1,2,0,1,1,,1,,2,3,0,1,1,2,1,2,1,2,1,2,2.125, 3 Mar 2021
18,1-2,1-2,0-1,1-2,1,2-3,0-1,1-2,1-2,1-2,1-2,1,2,1,2,0,1,1,2,1,,2,3,0,1,1,2,1,2,1,2,1,2,2.25, 3 Mar 2021
19,1-2,1-2,0-1,1-2,1-2,2-4,0-1,1-2,2-3,2-3,2-3,1,2,1,2,0,1,1,2,1,2,2,4,0,1,1,2,2,3,2,3,2,3,2.375, 3 Mar 2021
20,2-3,2-3,1,2-3,2-3,2-4,0-1,1-2,2-4,2-4,2-3,2,3,2,3,1,,2,3,2,3,2,4,0,1,1,2,2,4,2,4,2,3,2.5, 3 Mar 2021
21,2-3,2-3,1,2-3,2-3,2-4,0-1,1-2,3-4,2-3,2-3,2,3,2,3,1,,2,3,2,3,2,4,0,1,1,2,3,4,2,3,2,3,2.625, 3 Mar 2021
22,2-3,2-3,1,2-3,2-3,2-4,1,1,2-3,2-3,2-3,2,3,2,3,1,,2,3,2,3,2,4,1,,1,,2,3,2,3,2,3,2.75, 3 Mar 2021
23,2-3,2-3,1,2-3,2-3,2-3,1,1,2-3,2-3,2-3,2,3,2,3,1,,2,3,2,3,2,3,1,,1,,2,3,2,3,2,3,2.875, 3 Mar 2021
24,2-3,2-3,1,2-3,2-3,2-3,1,1,2-3,2-3,2-3,2,3,2,3,1,,2,3,2,3,2,3,1,,1,,2,3,2,3,2,3,3, 3 Mar 2021
