number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,days,date
1,3-5,3-5,1-2,2-3,2-3,5-7,1,0-1,3-5,3-4,3-5,3,5,3,5,1,2,2,3,2,3,5,7,1,,0,1,3,5,3,4,3,5,.125, 1 Mar 2021
2,3-4,3-5,1,2-3,2-3,5-7,1,1,3-5,3-4,3-5,3,4,3,5,1,,2,3,2,3,5,7,1,,1,,3,5,3,4,3,5,.25, 1 Mar 2021
3,3-4,3-5,1,2-3,2-3,4-7,1,1-2,3-4,3-4,3-4,3,4,3,5,1,,2,3,2,3,4,7,1,,1,2,3,4,3,4,3,4,.375, 1 Mar 2021
4,3-4,3-4,1,2-3,2-3,4-7,1,1-2,3-4,2-4,3-4,3,4,3,4,1,,2,3,2,3,4,7,1,,1,2,3,4,2,4,3,4,.5, 1 Mar 2021
5,2-4,3-4,1,2-3,2-3,4-6,1,1-2,2-4,2-3,3-4,2,4,3,4,1,,2,3,2,3,4,6,1,,1,2,2,4,2,3,3,4,.625, 1 Mar 2021
6,2-4,3-4,1,2-3,2-3,4-6,1,1-2,2-4,2-3,2-4,2,4,3,4,1,,2,3,2,3,4,6,1,,1,2,2,4,2,3,2,4,.75, 1 Mar 2021
7,2-3,2-4,1,2,2-3,4-6,1,1,2-4,2-3,2-3,2,3,2,4,1,,2,,2,3,4,6,1,,1,,2,4,2,3,2,3,.875, 1 Mar 2021
8,2-3,2-4,1,1-2,2-3,4-6,1,1,2-3,2-3,2-3,2,3,2,4,1,,1,2,2,3,4,6,1,,1,,2,3,2,3,2,3,1, 1 Mar 2021
9,2-3,2-4,1,1-2,2,3-5,1,1,2-3,2-3,2-3,2,3,2,4,1,,1,2,2,,3,5,1,,1,,2,3,2,3,2,3,1.125, 1 Mar 2021
10,2-3,2-3,1,1-2,1-2,3-5,1,1-2,2-3,2-3,2-3,2,3,2,3,1,,1,2,1,2,3,5,1,,1,2,2,3,2,3,2,3,1.25, 1 Mar 2021
