number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,days,date
1,1-2,1,1,1,1,1,1,0-1,1,0-1,1,1,2,1,,1,,1,,1,,1,,1,,0,1,1,,0,1,1,,.125, 9 Sep 2021
2,1,1,0-1,0-1,1,1,1,0-1,1,0-1,1,1,,1,,0,1,0,1,1,,1,,1,,0,1,1,,0,1,1,,.25, 9 Sep 2021
3,1,1,0-1,0-1,0-1,1,0-1,0-1,0-1,1,1,1,,1,,0,1,0,1,0,1,1,,0,1,0,1,0,1,1,,1,,.375, 9 Sep 2021
4,1,0-1,0-1,0-1,0-1,1,0-1,0-1,1,0-1,1,1,,0,1,0,1,0,1,0,1,1,,0,1,0,1,1,,0,1,1,,.5, 9 Sep 2021
5,1,0-1,0-1,0-1,0-1,1,0-1,0-1,1,1,1,1,,0,1,0,1,0,1,0,1,1,,0,1,0,1,1,,1,,1,,.625, 9 Sep 2021
6,0-1,0-1,0-1,0-1,0-1,1,0-1,0-1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,,0,1,0,1,1,,1,,1,,.75, 9 Sep 2021
7,0-1,0-1,0-1,0-1,0-1,1,0-1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,,0,1,1,,1,,1,,1,,.875, 9 Sep 2021
8,1,1,1,0-1,0-1,1,0-1,1,1,0-1,1,1,,1,,1,,0,1,0,1,1,,0,1,1,,1,,0,1,1,,1, 9 Sep 2021
9,1,0-1,1,0-1,0-1,1,0-1,1,1,0-1,1,1,,0,1,1,,0,1,0,1,1,,0,1,1,,1,,0,1,1,,1.125, 9 Sep 2021
10,0-1,0-1,1,0-1,0-1,1,0-1,1,0-1,1,0-1,0,1,0,1,1,,0,1,0,1,1,,0,1,1,,0,1,1,,0,1,1.25, 9 Sep 2021
11,0-1,0-1,1,0-1,0-1,1,0-1,1,0-1,1,1,0,1,0,1,1,,0,1,0,1,1,,0,1,1,,0,1,1,,1,,1.375, 9 Sep 2021
12,0-1,0-1,1,0-1,0-1,1,0-1,0-1,1,1,1,0,1,0,1,1,,0,1,0,1,1,,0,1,0,1,1,,1,,1,,1.5, 9 Sep 2021
13,0-1,0-1,1,0-1,0-1,1,0-1,1,1,1,1,0,1,0,1,1,,0,1,0,1,1,,0,1,1,,1,,1,,1,,1.625, 9 Sep 2021
14,1,0-1,1,0-1,1,1,0-1,0-1,1,1,1,1,,0,1,1,,0,1,1,,1,,0,1,0,1,1,,1,,1,,1.75, 9 Sep 2021
15,0-1,0-1,1,0-1,1,1,0-1,0-1,1,1,1,0,1,0,1,1,,0,1,1,,1,,0,1,0,1,1,,1,,1,,1.875, 9 Sep 2021
16,1,0-1,1,0-1,1,1,0-1,1,1,1,1,1,,0,1,1,,0,1,1,,1,,0,1,1,,1,,1,,1,,2, 9 Sep 2021
