number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,days,date
1,2,1-2,2-3,0-1,0-1,1-2,0-1,0-1,1-2,1,1-2,2,,1,2,2,3,0,1,0,1,1,2,0,1,0,1,1,2,1,,1,2,.125, 7 Apr 2021
2,1-2,1-2,1-2,0-1,0-1,1-2,0-1,0-1,1-2,0-1,1-2,1,2,1,2,1,2,0,1,0,1,1,2,0,1,0,1,1,2,0,1,1,2,.25, 7 Apr 2021
3,1,1-2,1,0-1,0-1,2,0-1,0-1,1-2,1,1-2,1,,1,2,1,,0,1,0,1,2,,0,1,0,1,1,2,1,,1,2,.375, 7 Apr 2021
4,1,1-2,1,1,0-1,2-3,0-1,,1-2,1,1-2,1,,1,2,1,,1,,0,1,2,3,0,1,,,1,2,1,,1,2,.5, 7 Apr 2021
5,1-2,1-2,1,1,1,1-2,1,,1,1,1,1,2,1,2,1,,1,,1,,1,2,1,,,,1,,1,,1,,.625, 7 Apr 2021
6,1-2,1-2,1,1,1,1-2,1,,1,1,1,1,2,1,2,1,,1,,1,,1,2,1,,,,1,,1,,1,,.75, 7 Apr 2021
7,1-2,1-2,1,1,1,1-2,0-1,,1,1,1,1,2,1,2,1,,1,,1,,1,2,0,1,,,1,,1,,1,,.875, 7 Apr 2021
8,1-2,1,1,1,1,1-2,1,,1,1,1,1,2,1,,1,,1,,1,,1,2,1,,,,1,,1,,1,,1, 7 Apr 2021
9,1,1,1,1,1,1,1,,1,1,1,1,,1,,1,,1,,1,,1,,1,,,,1,,1,,1,,1.125, 7 Apr 2021
10,1,1,0-1,1,1,1,1,,1-2,1,1-2,1,,1,,0,1,1,,1,,1,,1,,,,1,2,1,,1,2,1.25, 7 Apr 2021
11,1,1,0-1,1,1,1,0-1,,1,1,1,1,,1,,0,1,1,,1,,1,,0,1,,,1,,1,,1,,1.375, 7 Apr 2021
12,2,1-2,0-1,1,1,1,0-1,,1,1,1,2,,1,2,0,1,1,,1,,1,,0,1,,,1,,1,,1,,1.5, 7 Apr 2021
13,2-3,1-2,1,1-2,1,1,0-1,,1-2,1-2,1-2,2,3,1,2,1,,1,2,1,,1,,0,1,,,1,2,1,2,1,2,1.625, 7 Apr 2021
14,2-3,1-2,1-2,1-2,1,1,,,1-2,1-2,1-2,2,3,1,2,1,2,1,2,1,,1,,,,,,1,2,1,2,1,2,1.75, 7 Apr 2021
15,2-3,1-2,1-2,1-2,1,1,,,1-2,1-2,2,2,3,1,2,1,2,1,2,1,,1,,,,,,1,2,1,2,2,,1.875, 7 Apr 2021
16,2-3,1-2,1,1-2,1,1,,,2-3,2,2-3,2,3,1,2,1,,1,2,1,,1,,,,,,2,3,2,,2,3,2, 7 Apr 2021
17,2-3,1-2,1,1-2,1,1,,,2-3,2,2-3,2,3,1,2,1,,1,2,1,,1,,,,,,2,3,2,,2,3,2.125, 7 Apr 2021
18,2,1-2,1,1-2,1,1,,,2-3,1-2,2-3,2,,1,2,1,,1,2,1,,1,,,,,,2,3,1,2,2,3,2.25, 7 Apr 2021
19,1-2,1-2,1,1-2,1,1,,,2,1-2,2-3,1,2,1,2,1,,1,2,1,,1,,,,,,2,,1,2,2,3,2.375, 7 Apr 2021
20,1-2,1-2,1,1,1,1,,,1-2,1,1-2,1,2,1,2,1,,1,,1,,1,,,,,,1,2,1,,1,2,2.5, 7 Apr 2021
21,1-2,1-2,1,1,1,1,,,1,1,1-2,1,2,1,2,1,,1,,1,,1,,,,,,1,,1,,1,2,2.625, 7 Apr 2021
22,1-2,1,1,1,1,1,,,1,1,1,1,2,1,,1,,1,,1,,1,,,,,,1,,1,,1,,2.75, 7 Apr 2021
23,1,1,1,0-1,1,1,,,0-1,0-1,0-1,1,,1,,1,,0,1,1,,1,,,,,,0,1,0,1,0,1,2.875, 7 Apr 2021
24,1,0-1,0-1,0-1,0-1,1,,,0-1,0-1,0-1,1,,0,1,0,1,0,1,0,1,1,,,,,,0,1,0,1,0,1,3, 7 Apr 2021
25,1,0-1,0-1,0-1,0-1,1,,,0-1,0-1,0-1,1,,0,1,0,1,0,1,0,1,1,,,,,,0,1,0,1,0,1,3.125, 7 Apr 2021
26,0-1,0-1,0-1,0-1,1,1,,,0-1,0-1,0-1,0,1,0,1,0,1,0,1,1,,1,,,,,,0,1,0,1,0,1,3.25, 7 Apr 2021
27,0-1,0-1,1,0-1,1,1,,,0-1,0-1,0-1,0,1,0,1,1,,0,1,1,,1,,,,,,0,1,0,1,0,1,3.375, 7 Apr 2021
28,0-1,0-1,1,0-1,0-1,1-2,,,0-1,0-1,0-1,0,1,0,1,1,,0,1,0,1,1,2,,,,,0,1,0,1,0,1,3.5, 7 Apr 2021
29,1,0-1,1,0-1,0-1,1-2,,,0-1,0-1,1,1,,0,1,1,,0,1,0,1,1,2,,,,,0,1,0,1,1,,3.625, 7 Apr 2021
30,0-1,0-1,0-1,0-1,1,1-2,,,1,0-1,1,0,1,0,1,0,1,0,1,1,,1,2,,,,,1,,0,1,1,,3.75, 7 Apr 2021
31,0-1,1,0-1,0-1,1,2-3,,,1,0-1,1,0,1,1,,0,1,0,1,1,,2,3,,,,,1,,0,1,1,,3.875, 7 Apr 2021
32,1,1-2,1,0-1,1,1-2,,,0-1,0-1,1,1,,1,2,1,,0,1,1,,1,2,,,,,0,1,0,1,1,,4, 7 Apr 2021
