number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,days,date
1,1-2,1-2,0-1,1-2,2,2-3,1,1,2-3,2-3,2,1,2,1,2,0,1,1,2,2,,2,3,1,,1,,2,3,2,3,2,,.125,14 Sep 2021
2,1-2,1-2,0-1,1-2,2,2-3,1,1,2,2-3,1-2,1,2,1,2,0,1,1,2,2,,2,3,1,,1,,2,,2,3,1,2,.25,14 Sep 2021
3,1-2,1-2,0-1,1-2,1-2,2-4,1,1-2,1-2,2,1-2,1,2,1,2,0,1,1,2,1,2,2,4,1,,1,2,1,2,2,,1,2,.375,14 Sep 2021
4,1,1-2,0-1,1-2,1-2,3-4,1,1-2,1-2,1-2,1-2,1,,1,2,0,1,1,2,1,2,3,4,1,,1,2,1,2,1,2,1,2,.5,14 Sep 2021
5,1,1-2,0-1,1-2,1-2,3-5,1,1,1-2,1-2,1-2,1,,1,2,0,1,1,2,1,2,3,5,1,,1,,1,2,1,2,1,2,.625,14 Sep 2021
6,1-2,2-3,0-1,1-2,1-2,3-5,1,0-1,1-2,1-2,1-2,1,2,2,3,0,1,1,2,1,2,3,5,1,,0,1,1,2,1,2,1,2,.75,14 Sep 2021
7,1-2,2,0-1,1,1-2,3-5,1,,1-2,1-2,1-2,1,2,2,,0,1,1,,1,2,3,5,1,,,,1,2,1,2,1,2,.875,14 Sep 2021
8,1-2,1-2,0-1,1,2,4-6,1,,1-2,1-2,1-2,1,2,1,2,0,1,1,,2,,4,6,1,,,,1,2,1,2,1,2,1,14 Sep 2021
9,1-2,2-3,0-1,1,1-2,4-6,0-1,,1-2,1-2,1-2,1,2,2,3,0,1,1,,1,2,4,6,0,1,,,1,2,1,2,1,2,1.125,14 Sep 2021
10,1-2,2-3,1,1,1-2,4-6,0-1,,2-3,1-2,1-2,1,2,2,3,1,,1,,1,2,4,6,0,1,,,2,3,1,2,1,2,1.25,14 Sep 2021
11,1-2,2-3,1,1,1-2,4-6,0-1,,2,1-2,2-3,1,2,2,3,1,,1,,1,2,4,6,0,1,,,2,,1,2,2,3,1.375,14 Sep 2021
12,1-2,2-3,1,1-2,1-2,4-6,0-1,,2-3,1-2,2-3,1,2,2,3,1,,1,2,1,2,4,6,0,1,,,2,3,1,2,2,3,1.5,14 Sep 2021
13,1-2,2-3,1,1-2,1-2,4-6,0-1,,2-3,1-2,2-3,1,2,2,3,1,,1,2,1,2,4,6,0,1,,,2,3,1,2,2,3,1.625,14 Sep 2021
14,2,2-3,1,1-2,1-2,4-6,0-1,,2-3,1-2,2-3,2,,2,3,1,,1,2,1,2,4,6,0,1,,,2,3,1,2,2,3,1.75,14 Sep 2021
15,2,2-3,1,1-2,1-2,4-6,1,,2,1-2,2,2,,2,3,1,,1,2,1,2,4,6,1,,,,2,,1,2,2,,1.875,14 Sep 2021
16,2,2-3,0-1,1-2,1-2,4-6,1,,2,1-2,2,2,,2,3,0,1,1,2,1,2,4,6,1,,,,2,,1,2,2,,2,14 Sep 2021
17,2,2-3,1,1-2,1-2,3-5,1,,2,1-2,2,2,,2,3,1,,1,2,1,2,3,5,1,,,,2,,1,2,2,,2.125,14 Sep 2021
18,1-2,2-3,1,1-2,1-2,3-5,0-1,,2,1-2,2,1,2,2,3,1,,1,2,1,2,3,5,0,1,,,2,,1,2,2,,2.25,14 Sep 2021
19,1-2,2-3,0-1,1-2,1-2,3-5,0-1,,2-3,2-3,2-3,1,2,2,3,0,1,1,2,1,2,3,5,0,1,,,2,3,2,3,2,3,2.375,14 Sep 2021
20,1-2,1-2,0-1,1-2,1-2,3-5,1,,1-2,1-2,1-2,1,2,1,2,0,1,1,2,1,2,3,5,1,,,,1,2,1,2,1,2,2.5,14 Sep 2021
21,1-2,1-2,0-1,1-2,1,3-5,0-1,,1-2,1-2,1-2,1,2,1,2,0,1,1,2,1,,3,5,0,1,,,1,2,1,2,1,2,2.625,14 Sep 2021
22,1-2,1-2,1,1,1,3-4,0-1,,1-2,1-2,2-3,1,2,1,2,1,,1,,1,,3,4,0,1,,,1,2,1,2,2,3,2.75,14 Sep 2021
23,1-2,2-3,1,1,1,2-4,0-1,,1-2,1-2,2,1,2,2,3,1,,1,,1,,2,4,0,1,,,1,2,1,2,2,,2.875,14 Sep 2021
24,1-2,2-3,0-1,1,1,2-4,0-1,,2,1-2,1-2,1,2,2,3,0,1,1,,1,,2,4,0,1,,,2,,1,2,1,2,3,14 Sep 2021
25,1-2,2,0-1,1,1,2-4,0-1,,1-2,1,1-2,1,2,2,,0,1,1,,1,,2,4,0,1,,,1,2,1,,1,2,3.125,14 Sep 2021
26,1-2,2,0-1,1,1,2-4,0-1,,1-2,1-2,1-2,1,2,2,,0,1,1,,1,,2,4,0,1,,,1,2,1,2,1,2,3.25,14 Sep 2021
27,2,1-2,0-1,1,1,3-4,0-1,,1-2,1-2,1-2,2,,1,2,0,1,1,,1,,3,4,0,1,,,1,2,1,2,1,2,3.375,14 Sep 2021
28,1-2,1-2,0-1,1-2,1,3-4,0-1,,2-3,2-3,2-3,1,2,1,2,0,1,1,2,1,,3,4,0,1,,,2,3,2,3,2,3,3.5,14 Sep 2021
29,2-3,2-3,1,2-3,1,3-4,0-1,,3-4,3-5,3-4,2,3,2,3,1,,2,3,1,,3,4,0,1,,,3,4,3,5,3,4,3.625,14 Sep 2021
30,3-4,3-4,1,2-3,1,3-5,0-1,,3-5,3-5,3-4,3,4,3,4,1,,2,3,1,,3,5,0,1,,,3,5,3,5,3,4,3.75,14 Sep 2021
31,3-4,3-4,1,2-4,1,3-5,0-1,,3-4,3-5,3-4,3,4,3,4,1,,2,4,1,,3,5,0,1,,,3,4,3,5,3,4,3.875,14 Sep 2021
32,3-4,2-4,1,2-3,1,3-4,0-1,,3-4,3-4,2-4,3,4,2,4,1,,2,3,1,,3,4,0,1,,,3,4,3,4,2,4,4,14 Sep 2021
33,2-4,2-4,1,2-3,1-2,3-4,0-1,,2-4,2-4,2-4,2,4,2,4,1,,2,3,1,2,3,4,0,1,,,2,4,2,4,2,4,4.125,14 Sep 2021
34,2-4,2-3,1,2-3,1-2,3-4,1,,2-4,2-4,2-3,2,4,2,3,1,,2,3,1,2,3,4,1,,,,2,4,2,4,2,3,4.25,14 Sep 2021
35,2-4,2-3,1,2-3,2,3-5,1,,2-3,2-3,2-3,2,4,2,3,1,,2,3,2,,3,5,1,,,,2,3,2,3,2,3,4.375,14 Sep 2021
36,2-4,2-4,1,2-3,2,3-5,1,,2-3,2-3,2-3,2,4,2,4,1,,2,3,2,,3,5,1,,,,2,3,2,3,2,3,4.5,14 Sep 2021
37,2-3,2-3,1,2-3,2,4-6,1,,2-4,2-3,2-3,2,3,2,3,1,,2,3,2,,4,6,1,,,,2,4,2,3,2,3,4.625,14 Sep 2021
38,2-4,2-3,1,2-3,2,4-7,1,,3-5,3-4,3-5,2,4,2,3,1,,2,3,2,,4,7,1,,,,3,5,3,4,3,5,4.75,14 Sep 2021
39,3-4,3-5,1-2,2-4,2-3,4-7,1,,3-5,3-4,3-4,3,4,3,5,1,2,2,4,2,3,4,7,1,,,,3,5,3,4,3,4,4.875,14 Sep 2021
40,3-5,3-5,1,2-3,2-4,4-7,1,,3-4,2-4,3-4,3,5,3,5,1,,2,3,2,4,4,7,1,,,,3,4,2,4,3,4,5,14 Sep 2021
41,3-4,3-4,1,2-3,2-4,4-6,1,,3-4,2-3,2-4,3,4,3,4,1,,2,3,2,4,4,6,1,,,,3,4,2,3,2,4,5.125,14 Sep 2021
42,3-4,3-4,1,2-3,2-3,4-6,1-2,,2-4,2-3,2-3,3,4,3,4,1,,2,3,2,3,4,6,1,2,,,2,4,2,3,2,3,5.25,14 Sep 2021
43,2-4,2-4,1,2-3,2-3,3-5,1-2,,2-3,2-3,2-3,2,4,2,4,1,,2,3,2,3,3,5,1,2,,,2,3,2,3,2,3,5.375,14 Sep 2021
44,2-3,2-3,1,1-2,1-2,3-5,1-2,,2-3,2-3,2-3,2,3,2,3,1,,1,2,1,2,3,5,1,2,,,2,3,2,3,2,3,5.5,14 Sep 2021
45,2,2-3,1,1-2,1-2,3-5,1,,2-3,2-3,2-3,2,,2,3,1,,1,2,1,2,3,5,1,,,,2,3,2,3,2,3,5.625,14 Sep 2021
46,1-2,2-3,0-1,1-2,1-2,3-5,1,,2-3,2-3,2-3,1,2,2,3,0,1,1,2,1,2,3,5,1,,,,2,3,2,3,2,3,5.75,14 Sep 2021
47,2-3,2-4,1,1-2,1-2,4-6,1,,2-3,2-3,2-3,2,3,2,4,1,,1,2,1,2,4,6,1,,,,2,3,2,3,2,3,5.875,14 Sep 2021
48,2-4,2-4,1,2-3,1-2,4-6,1,,2-3,2-3,2-3,2,4,2,4,1,,2,3,1,2,4,6,1,,,,2,3,2,3,2,3,6,14 Sep 2021
49,2-4,2-4,1,2-3,1-2,4-6,1,,2-3,2-3,2-3,2,4,2,4,1,,2,3,1,2,4,6,1,,,,2,3,2,3,2,3,6.125,14 Sep 2021
50,2-3,2-4,1,2-3,1-2,4-7,1,,2-3,2-3,2-3,2,3,2,4,1,,2,3,1,2,4,7,1,,,,2,3,2,3,2,3,6.25,14 Sep 2021
