number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,days,date
1,2-3,2-3,1,2-3,2-3,2-3,1,1,2-4,2-4,2-4,2,3,2,3,1,,2,3,2,3,2,3,1,,1,,2,4,2,4,2,4,.125, 6 Mar 2021
2,2-3,2-3,1,2-3,2-3,2-3,1,1,2-4,2-4,2-4,2,3,2,3,1,,2,3,2,3,2,3,1,,1,,2,4,2,4,2,4,.25, 6 Mar 2021
3,2-3,2-3,1,2-3,2-3,2-3,1,1,2-3,2-3,2-3,2,3,2,3,1,,2,3,2,3,2,3,1,,1,,2,3,2,3,2,3,.375, 6 Mar 2021
4,2-3,2-3,0-1,2,2-3,2-3,1,0-1,2-3,2-3,2-3,2,3,2,3,0,1,2,,2,3,2,3,1,,0,1,2,3,2,3,2,3,.5, 6 Mar 2021
5,2,2,0-1,1-2,2-3,3-4,1,0-1,2-3,2-3,2-3,2,,2,,0,1,1,2,2,3,3,4,1,,0,1,2,3,2,3,2,3,.625, 6 Mar 2021
6,1-2,2-3,0-1,1-2,2,3-5,1,0-1,2-3,2-3,2-3,1,2,2,3,0,1,1,2,2,,3,5,1,,0,1,2,3,2,3,2,3,.75, 6 Mar 2021
7,1-2,2-3,1,1-2,2-3,3-5,1,1,2-3,2-3,2-3,1,2,2,3,1,,1,2,2,3,3,5,1,,1,,2,3,2,3,2,3,.875, 6 Mar 2021
8,2,2-3,1,1-2,2-3,3-5,1,1,2-3,2-3,2-3,2,,2,3,1,,1,2,2,3,3,5,1,,1,,2,3,2,3,2,3,1, 6 Mar 2021
9,2-3,2-3,1,1-2,2-3,4-5,1,1,2-3,2-3,2-4,2,3,2,3,1,,1,2,2,3,4,5,1,,1,,2,3,2,3,2,4,1.125, 6 Mar 2021
10,2-3,2-3,1,1-2,2-3,4-6,1,1,2-4,2-3,2-4,2,3,2,3,1,,1,2,2,3,4,6,1,,1,,2,4,2,3,2,4,1.25, 6 Mar 2021
11,2-3,2-3,1,1-2,2-3,4-6,1,0-1,2-4,2-3,2-4,2,3,2,3,1,,1,2,2,3,4,6,1,,0,1,2,4,2,3,2,4,1.375, 6 Mar 2021
12,2-3,2-4,1,1-2,2-3,4-6,1,0-1,2-4,3-4,3-4,2,3,2,4,1,,1,2,2,3,4,6,1,,0,1,2,4,3,4,3,4,1.5, 6 Mar 2021
13,2-3,2-4,1,1-2,2-3,4-6,1,0-1,3-4,2-4,3-4,2,3,2,4,1,,1,2,2,3,4,6,1,,0,1,3,4,2,4,3,4,1.625, 6 Mar 2021
14,2-4,3-4,1,2-3,2-3,4-6,1,0-1,3-4,2-4,3-4,2,4,3,4,1,,2,3,2,3,4,6,1,,0,1,3,4,2,4,3,4,1.75, 6 Mar 2021
15,2-4,3-4,1,2-3,2-3,4-6,1,0-1,3-4,2-4,3-4,2,4,3,4,1,,2,3,2,3,4,6,1,,0,1,3,4,2,4,3,4,1.875, 6 Mar 2021
16,2-3,2-3,1,2-3,2-3,4-6,1,0-1,3-4,2-4,3-4,2,3,2,3,1,,2,3,2,3,4,6,1,,0,1,3,4,2,4,3,4,2, 6 Mar 2021
17,2-3,3-4,1,1-2,2,4-6,1,0-1,3-4,2-4,3-4,2,3,3,4,1,,1,2,2,,4,6,1,,0,1,3,4,2,4,3,4,2.125, 6 Mar 2021
18,3-4,3-4,1,2-3,2,4-6,1,0-1,3-4,2-4,3-4,3,4,3,4,1,,2,3,2,,4,6,1,,0,1,3,4,2,4,3,4,2.25, 6 Mar 2021
19,2-4,3-4,1,2-3,2,4-6,1,0-1,3-4,2-4,3-4,2,4,3,4,1,,2,3,2,,4,6,1,,0,1,3,4,2,4,3,4,2.375, 6 Mar 2021
20,3-4,3-4,1,2-3,2-3,4-6,1,,3-4,2-4,3-4,3,4,3,4,1,,2,3,2,3,4,6,1,,,,3,4,2,4,3,4,2.5, 6 Mar 2021
21,3-4,3-4,1,2-3,2-3,4-6,1,,3-4,2-4,3-4,3,4,3,4,1,,2,3,2,3,4,6,1,,,,3,4,2,4,3,4,2.625, 6 Mar 2021
22,3-4,3-4,1,2-3,2,4-6,1,,3-4,2-4,3-4,3,4,3,4,1,,2,3,2,,4,6,1,,,,3,4,2,4,3,4,2.75, 6 Mar 2021
23,3-4,3-4,1,2-3,2-3,4-6,1,,3-4,2-3,2-4,3,4,3,4,1,,2,3,2,3,4,6,1,,,,3,4,2,3,2,4,2.875, 6 Mar 2021
24,2-4,3-4,1,2-3,2-3,4-6,1,,3-4,2-3,2-4,2,4,3,4,1,,2,3,2,3,4,6,1,,,,3,4,2,3,2,4,3, 6 Mar 2021
25,2-4,3-4,1,2-3,2,3-5,1,,3-4,2-3,2-4,2,4,3,4,1,,2,3,2,,3,5,1,,,,3,4,2,3,2,4,3.125, 6 Mar 2021
26,3-4,3-4,1,2-3,2,4-6,1,,3-4,2-3,2-4,3,4,3,4,1,,2,3,2,,4,6,1,,,,3,4,2,3,2,4,3.25, 6 Mar 2021
27,2-4,3-4,1,2-3,1-2,4-7,1,,2-4,2-3,2-3,2,4,3,4,1,,2,3,1,2,4,7,1,,,,2,4,2,3,2,3,3.375, 6 Mar 2021
28,2-4,3-5,1,2-3,1-2,4-6,1,,2-3,2-3,2-3,2,4,3,5,1,,2,3,1,2,4,6,1,,,,2,3,2,3,2,3,3.5, 6 Mar 2021
29,3-4,2-3,1-2,2-3,1-2,4-6,1,,2-3,2-3,2-3,3,4,2,3,1,2,2,3,1,2,4,6,1,,,,2,3,2,3,2,3,3.625, 6 Mar 2021
30,3-4,2-3,1,2-3,2-3,3-5,1,,2-3,3-5,3-5,3,4,2,3,1,,2,3,2,3,3,5,1,,,,2,3,3,5,3,5,3.75, 6 Mar 2021
31,3-4,2-3,1,2-3,3-4,3-4,1-2,,2-4,3-4,2-4,3,4,2,3,1,,2,3,3,4,3,4,1,2,,,2,4,3,4,2,4,3.875, 6 Mar 2021
32,3-4,2-4,1,3-4,3-5,3-5,2-3,,3-5,4-6,3-5,3,4,2,4,1,,3,4,3,5,3,5,2,3,,,3,5,4,6,3,5,4, 6 Mar 2021
33,4-6,3-5,1-2,3-5,4-6,4-6,2-3,,4-7,5-7,4-7,4,6,3,5,1,2,3,5,4,6,4,6,2,3,,,4,7,5,7,4,7,4.125, 6 Mar 2021
34,5-7,5-7,1-2,4-6,5-8,5-8,3-4,,5-8,5-8,5-8,5,7,5,7,1,2,4,6,5,8,5,8,3,4,,,5,8,5,8,5,8,4.25, 6 Mar 2021
35,5-9,5-8,2,4-6,6-9,6-10,4-6,,5-8,5-7,5-8,5,9,5,8,2,,4,6,6,9,6,10,4,6,,,5,8,5,7,5,8,4.375, 6 Mar 2021
36,5-8,5-7,2-3,4-6,6-9,6-9,5-7,,5-7,5-7,5-7,5,8,5,7,2,3,4,6,6,9,6,9,5,7,,,5,7,5,7,5,7,4.5, 6 Mar 2021
37,5-7,4-7,1-2,4-5,5-8,6-10,4-7,,4-7,4-7,4-7,5,7,4,7,1,2,4,5,5,8,6,10,4,7,,,4,7,4,7,4,7,4.625, 6 Mar 2021
38,5-8,5-8,1-2,4-6,5-8,6-10,4-6,,5-7,5-8,5-7,5,8,5,8,1,2,4,6,5,8,6,10,4,6,,,5,7,5,8,5,7,4.75, 6 Mar 2021
39,5-8,5-8,2-3,5-7,6-9,7-11,4-6,,6-9,6-10,6-9,5,8,5,8,2,3,5,7,6,9,7,11,4,6,,,6,9,6,10,6,9,4.875, 6 Mar 2021
40,6-10,6-9,2-3,5-8,7-11,8-12,4-7,,7-11,8-12,7-11,6,10,6,9,2,3,5,8,7,11,8,12,4,7,,,7,11,8,12,7,11,5, 6 Mar 2021
41,8-12,7-12,2-4,6-10,8-12,9-14,5-8,,8-13,8-13,9-14,8,12,7,12,2,4,6,10,8,12,9,14,5,8,,,8,13,8,13,9,14,5.125, 6 Mar 2021
42,10-16,9-14,3-4,8-13,9-14,12-18,5-8,,10-18,10-16,12-18,10,16,9,14,3,4,8,13,9,14,12,18,5,8,,,10,18,10,16,12,18,5.25, 6 Mar 2021
43,12-18,10-16,4-6,9-14,10-16,14-22,6-9,,12-18,12-18,12-20,12,18,10,16,4,6,9,14,10,16,14,22,6,9,,,12,18,12,18,12,20,5.375, 6 Mar 2021
44,12-18,10-16,5-8,9-13,9-15,14-22,5-8,,12-18,10-16,12-18,12,18,10,16,5,8,9,13,9,15,14,22,5,8,,,12,18,10,16,12,18,5.5, 6 Mar 2021
45,10-16,10-16,3-5,8-13,9-14,14-22,5-8,,12-18,10-16,12-18,10,16,10,16,3,5,8,13,9,14,14,22,5,8,,,12,18,10,16,12,18,5.625, 6 Mar 2021
46,10-16,10-16,3-5,8-13,9-14,14-22,5-8,,12-18,10-16,12-18,10,16,10,16,3,5,8,13,9,14,14,22,5,8,,,12,18,10,16,12,18,5.75, 6 Mar 2021
47,10-14,10-16,3-5,7-12,8-13,14-20,5-8,,10-18,10-16,12-18,10,14,10,16,3,5,7,12,8,13,14,20,5,8,,,10,18,10,16,12,18,5.875, 6 Mar 2021
48,9-15,10-16,3-4,8-13,10-16,12-20,4-7,,10-16,10-16,10-16,9,15,10,16,3,4,8,13,10,16,12,20,4,7,,,10,16,10,16,10,16,6, 6 Mar 2021
49,8-13,9-14,3-4,6-10,10-16,12-18,4-6,,10-16,9-14,10-16,8,13,9,14,3,4,6,10,10,16,12,18,4,6,,,10,16,9,14,10,16,6.125, 6 Mar 2021
50,8-12,8-13,3-4,6-10,10-16,10-16,4-6,,8-13,7-12,8-13,8,12,8,13,3,4,6,10,10,16,10,16,4,6,,,8,13,7,12,8,13,6.25, 6 Mar 2021
51,8-12,7-12,3-4,6-9,9-14,10-16,4-6,,8-12,7-12,8-12,8,12,7,12,3,4,6,9,9,14,10,16,4,6,,,8,12,7,12,8,12,6.375, 6 Mar 2021
52,8-12,7-12,3-4,6-10,6-10,10-16,4-6,,8-12,7-11,8-12,8,12,7,12,3,4,6,10,6,10,10,16,4,6,,,8,12,7,11,8,12,6.5, 6 Mar 2021
53,8-12,7-11,3-4,6-9,7-11,10-16,4-7,,7-12,7-10,8-12,8,12,7,11,3,4,6,9,7,11,10,16,4,7,,,7,12,7,10,8,12,6.625, 6 Mar 2021
54,7-11,7-11,2-4,6-9,7-11,9-14,5-7,,7-11,6-10,7-11,7,11,7,11,2,4,6,9,7,11,9,14,5,7,,,7,11,6,10,7,11,6.75, 6 Mar 2021
55,7-11,6-10,2-3,5-8,6-10,8-13,4-7,,7-10,6-9,7-11,7,11,6,10,2,3,5,8,6,10,8,13,4,7,,,7,10,6,9,7,11,6.875, 6 Mar 2021
56,6-10,6-9,2-3,5-7,5-8,7-12,4-6,,6-10,6-9,6-10,6,10,6,9,2,3,5,7,5,8,7,12,4,6,,,6,10,6,9,6,10,7, 6 Mar 2021
