time_period,ref_area,indicator,breakdown,unit_measure,value
2018,FR,desi_4b1_smeso,ent_sm_xfin,pc_ent,0.157825
2018,HR,desi_4b1_smeso,ent_sm_xfin,pc_ent,0.17121
2018,IE,desi_4b1_smeso,ent_sm_xfin,pc_ent,0.295073
2018,IT,desi_4b1_smeso,ent_sm_xfin,pc_ent,0.079136
2018,LU,desi_4b1_smeso,ent_sm_xfin,pc_ent,0.0783912
2018,PL,desi_4b1_smeso,ent_sm_xfin,pc_ent,0.0945748
2018,PT,desi_4b1_smeso,ent_sm_xfin,pc_ent,0.173121
2018,SI,desi_4b1_smeso,ent_sm_xfin,pc_ent,0.177292
2018,UK,desi_4b1_smeso,ent_sm_xfin,pc_ent,0.192218
2018,BE,desi_4b3_sellcb,ent_sm_xfin,pc_ent,0.12009
2018,BG,desi_4b3_sellcb,ent_sm_xfin,pc_ent,0.0335073
2018,DK,desi_4b3_sellcb,ent_sm_xfin,pc_ent,0.0919941
2018,EL,desi_4b3_sellcb,ent_sm_xfin,pc_ent,0.0656113
2018,HU,desi_4b3_sellcb,ent_sm_xfin,pc_ent,0.0521581
2018,LT,desi_4b3_sellcb,ent_sm_xfin,pc_ent,0.124045
2018,LV,desi_4b3_sellcb,ent_sm_xfin,pc_ent,0.046748
2018,MT,desi_4b3_sellcb,ent_sm_xfin,pc_ent,0.0936425
2018,NL,desi_4b3_sellcb,ent_sm_xfin,pc_ent,0.110773
2018,CY,desi_3c1_bank,ind_total,pc_ind_iu3,0.341672
2018,DE,desi_3c1_bank,ind_total,pc_ind_iu3,0.615633
2018,EL,desi_3c1_bank,ind_total,pc_ind_iu3,0.359433
2018,ES,desi_3c1_bank,ind_total,pc_ind_iu3,0.545811
2018,HR,desi_3c1_bank,ind_total,pc_ind_iu3,0.496292
2018,HU,desi_3c1_bank,ind_total,pc_ind_iu3,0.491194
2018,IT,desi_3c1_bank,ind_total,pc_ind_iu3,0.434426
2018,NL,desi_3c1_bank,ind_total,pc_ind_iu3,0.932678
2018,SI,desi_3c1_bank,ind_total,pc_ind_iu3,0.495073
2018,SK,desi_3c1_bank,ind_total,pc_ind_iu3,0.626119
2018,BE,desi_3c2_shop,ind_total,pc_ind_ilt12,0.671215
2018,EL,desi_3c2_shop,ind_total,pc_ind_ilt12,0.454837
2018,IT,desi_3c2_shop,ind_total,pc_ind_ilt12,0.438629
2018,LU,desi_3c2_shop,ind_total,pc_ind_ilt12,0.82052
2018,MT,desi_3c2_shop,ind_total,pc_ind_ilt12,0.644626
2018,PT,desi_3c2_shop,ind_total,pc_ind_ilt12,0.454439
2018,SI,desi_3c2_shop,ind_total,pc_ind_ilt12,0.571506
2018,SK,desi_3c2_shop,ind_total,pc_ind_ilt12,0.701455
2018,AT,desi_5a1_egovu,ind_total,pc_ind_form,0.641089
2018,BE,desi_5a1_egovu,ind_total,pc_ind_form,0.499826
2018,CZ,desi_5a1_egovu,ind_total,pc_ind_form,0.334665
2018,EL,desi_5a1_egovu,ind_total,pc_ind_form,0.379297
2018,FR,desi_5a1_egovu,ind_total,pc_ind_form,0.670078
2018,HR,desi_5a1_egovu,ind_total,pc_ind_form,0.660749
2018,IT,desi_5a1_egovu,ind_total,pc_ind_form,0.298543
2018,LU,desi_5a1_egovu,ind_total,pc_ind_form,0.490847
2018,MT,desi_5a1_egovu,ind_total,pc_ind_form,0.481949
2018,SI,desi_5a1_egovu,ind_total,pc_ind_form,0.53599
2018,SK,desi_5a1_egovu,ind_total,pc_ind_form,0.554844
2018,BG,desi_2b1_ictspec,total,pc_ind_emp,0.027
2018,EE,desi_2b1_ictspec,total,pc_ind_emp,0.053
2018,EL,desi_2b1_ictspec,total,pc_ind_emp,0.014
2018,FI,desi_2b1_ictspec,total,pc_ind_emp,0.066
2018,FR,desi_2b1_ictspec,total,pc_ind_emp,0.038
2018,HR,desi_2b1_ictspec,total,pc_ind_emp,0.033
2018,HU,desi_2b1_ictspec,total,pc_ind_emp,0.036
2018,IT,desi_2b1_ictspec,total,pc_ind_emp,0.026
2018,LU,desi_2b1_ictspec,total,pc_ind_emp,0.041
2018,LV,desi_2b1_ictspec,total,pc_ind_emp,0.022
2018,PT,desi_2b1_ictspec,total,pc_ind_emp,0.024
2018,RO,desi_2b1_ictspec,total,pc_ind_emp,0.02
2018,SE,desi_2b1_ictspec,total,pc_ind_emp,0.063
2018,UK,desi_2b1_ictspec,total,pc_ind_emp,0.051
2018,HR,desi_3c2_shop,ind_total,pc_ind_ilt12,
2018,AT,desi_5a5_opendata,total,od_score,
2018,BE,desi_5a5_opendata,total,od_score,
2018,CY,desi_5a5_opendata,total,od_score,
2018,CZ,desi_5a5_opendata,total,od_score,
2018,DE,desi_5a5_opendata,total,od_score,
2018,IE,desi_5a5_opendata,total,od_score,
2018,MT,desi_5a5_opendata,total,od_score,
2018,PL,desi_5a5_opendata,total,od_score,
2018,SI,desi_5a5_opendata,total,od_score,
2018,SK,desi_5a5_opendata,total,od_score,
2019,MT,desi_5a2_prefform,all_egov_le,egov_score,100
2019,EU,desi_5a3_osercomp,all_egov_le,egov_score,87.4107
2019,HR,desi_5a3_osercomp,all_egov_le,egov_score,63.75
2019,PL,desi_5a3_osercomp,all_egov_le,egov_score,83.625
2019,LV,desi_5a4_psb,all_egov_le,egov_score,90.1785
2019,EE,desi_sliders,desi_1_conn,pc_desi_sliders,0.499443
2019,LU,desi_sliders,desi_1_conn,pc_desi_sliders,0.570957
2019,UK,desi_sliders,desi_1_conn,pc_desi_sliders,0.42831
2019,RO,desi_sliders,desi_3_ui,pc_desi_sliders,0.349651
2019,SE,desi_sliders,desi_3_ui,pc_desi_sliders,0.750086
2018,UK,desi_sliders,desi_3_ui,pc_desi_sliders,0.643705
2018,AT,desi_sliders,desi_4_idt,pc_desi_sliders,0.349067
2018,CY,desi_sliders,desi_4_idt,pc_desi_sliders,0.31596
2018,DE,desi_sliders,desi_4_idt,pc_desi_sliders,0.358349
2018,EE,desi_sliders,desi_4_idt,pc_desi_sliders,0.386055
2018,EL,desi_sliders,desi_4_idt,pc_desi_sliders,0.2862
2018,ES,desi_sliders,desi_4_idt,pc_desi_sliders,0.411473
2018,FI,desi_sliders,desi_4_idt,pc_desi_sliders,0.568884
2018,FR,desi_sliders,desi_4_idt,pc_desi_sliders,0.374531
2018,LU,desi_sliders,desi_4_idt,pc_desi_sliders,0.325273
2018,LV,desi_sliders,desi_4_idt,pc_desi_sliders,0.246045
2019,LV,desi_sliders,desi_4_idt,pc_desi_sliders,0.247028
2018,PT,desi_sliders,desi_4_idt,pc_desi_sliders,0.402947
2018,RO,desi_sliders,desi_4_idt,pc_desi_sliders,0.208257
2018,SE,desi_sliders,desi_4_idt,pc_desi_sliders,0.541978
2018,UK,desi_sliders,desi_4_idt,pc_desi_sliders,0.477522
2018,AT,desi_sliders,desi_5_dps,pc_desi_sliders,0.722757
2018,CY,desi_sliders,desi_5_dps,pc_desi_sliders,0.621382
2018,CZ,desi_sliders,desi_5_dps,pc_desi_sliders,0.541016
2018,DE,desi_sliders,desi_5_dps,pc_desi_sliders,0.563942
2018,ES,desi_sliders,desi_5_dps,pc_desi_sliders,0.76604
2018,HU,desi_sliders,desi_5_dps,pc_desi_sliders,0.435949
2018,IE,desi_sliders,desi_5_dps,pc_desi_sliders,0.711983
2018,LV,desi_sliders,desi_5_dps,pc_desi_sliders,0.744844
2018,PL,desi_sliders,desi_5_dps,pc_desi_sliders,0.549262
2019,PL,desi_sliders,desi_5_dps,pc_desi_sliders,0.615261
2018,RO,desi_sliders,desi_5_dps,pc_desi_sliders,0.410884
2018,SE,desi_sliders,desi_5_dps,pc_desi_sliders,0.74772
2019,DK,desi_4a1_eis,ent_all_xfin,pc_ent,0.404802
2019,LT,desi_4a1_eis,ent_all_xfin,pc_ent,0.466883
2019,NL,desi_4a1_eis,ent_all_xfin,pc_ent,0.47991
2019,CY,desi_4a2_socmed,ent_all_xfin,pc_ent,0.366043
2018,RO,desi_4a2_socmed,ent_all_xfin,pc_ent,0.092263
2019,CZ,desi_4a3_bigdat,ent_all_xfin,pc_ent,0.0809134
2018,PL,desi_4a3_bigdat,ent_all_xfin,pc_ent,0.059029
2019,RO,desi_4a3_bigdat,ent_all_xfin,pc_ent,0.111181
2019,SE,desi_4a3_bigdat,ent_all_xfin,pc_ent,0.0952176
2019,FR,desi_4a4_cloud,ent_all_xfin,pc_ent,0.149731
2019,CY,desi_4b1_smeso,ent_sm_xfin,pc_ent,0.117936
2019,EE,desi_4b1_smeso,ent_sm_xfin,pc_ent,0.157239
2019,LU,desi_4b1_smeso,ent_sm_xfin,pc_ent,0.121981
2019,UK,desi_4b1_smeso,ent_sm_xfin,pc_ent,0.193367
2019,EL,desi_4b2_ecomturn,ent_sm_xfin,pc_turn,0.0405002
2018,HR,desi_4b2_ecomturn,ent_sm_xfin,pc_turn,0.0871688
2018,HU,desi_4b2_ecomturn,ent_sm_xfin,pc_turn,0.100496
2018,IT,desi_4b2_ecomturn,ent_sm_xfin,pc_turn,0.057622
2019,MT,desi_4b3_sellcb,ent_sm_xfin,pc_ent,0.0936425
2019,HR,desi_3c2_shop,ind_total,pc_ind_ilt12,0.465986
