dateYear,value
1975-01-31,2.3626
1975-02-28,2.395
1975-03-31,2.4194
1975-04-30,2.3708
1975-05-31,2.3214
1975-06-30,2.2804
1975-07-31,2.1856
1975-08-31,2.1149
1975-09-30,2.0845
1975-10-31,2.057
1975-11-30,2.0497
1975-12-31,2.0217
1976-01-31,2.0281
1976-02-29,2.0259
1976-03-31,1.943
1976-04-30,1.8466
1976-05-31,1.8079
1976-06-30,1.7643
1976-07-31,1.7861
1976-08-31,1.7829
1976-09-30,1.7311
1976-10-31,1.6387
1976-11-30,1.6363
1976-12-31,1.6779
1977-01-31,1.713
1977-02-28,1.7104
1977-03-31,1.7175
1977-04-30,1.7192
1977-05-31,1.7186
1977-06-30,1.7193
1977-07-31,1.7225
1977-08-31,1.7398
1977-09-30,1.7432
1977-10-31,1.7708
1977-11-30,1.8175
1977-12-31,1.8536
1978-01-31,1.9347
1978-02-28,1.9404
1978-03-31,1.9084
1978-04-30,1.851
1978-05-31,1.8183
1978-06-30,1.8374
1978-07-31,1.8944
1978-08-31,1.942
1978-09-30,1.9589
1978-10-31,2.0068
1978-11-30,1.9601
1978-12-31,1.9844
1979-01-31,2.0051
1979-02-28,2.0035
1979-03-31,2.0382
1979-04-30,2.0728
1979-05-31,2.0579
1979-06-30,2.1119
1979-07-31,2.2601
1979-08-31,2.2384
1979-09-30,2.1998
1979-10-31,2.1449
1979-11-30,2.1328
1979-12-31,2.2005
1980-01-31,2.2658
1980-02-29,2.2898
1980-03-31,2.2063
1980-04-30,2.2162
1980-05-31,2.304
1980-06-30,2.3359
1980-07-31,2.3727
1980-08-31,2.3705
1980-09-30,2.402
1980-10-31,2.4168
1980-11-30,2.3964
1980-12-31,2.3459
1981-01-31,2.4047
1981-02-28,2.2941
1981-03-31,2.2326
1981-04-30,2.179
1981-05-31,2.0895
1981-06-30,1.9738
1981-07-31,1.8764
1981-08-31,1.821
1981-09-30,1.817
1981-10-31,1.8427
1981-11-30,1.9038
1981-12-31,1.9052
1982-01-31,1.8875
1982-02-28,1.8468
1982-03-31,1.8072
1982-04-30,1.7721
1982-05-31,1.8115
1982-06-30,1.7578
1982-07-31,1.7348
1982-08-31,1.7267
1982-09-30,1.7141
1982-10-31,1.6978
1982-11-30,1.633
1982-12-31,1.6185
1983-01-31,1.5733
1983-02-28,1.5328
1983-03-31,1.4906
1983-04-30,1.5412
