year,Jobs_enter,Jobs_grow,Jobs_exit,Jobs_shrink,Jobs_total,JobsRLP_enter,JobsRLP_grow,JobsRLP_exit,JobsRLP_shrink,JobsRLP_total,firms_enter,firms_grow,firms_exit,firms_shrink,firms_stable,firms_total,Entry rate,Exit Rate,Grow Rate,Shrink Rate,Units,Employment(m),Turnover(bn),N firms,RLP,RLP growth,RLP actual,RLP hypotetical,Gap,Turnover,Turnover hypothetical,Turn_gap
1997,739,1745,1570,1113,18462,45127,148871,91186,79360,1286257,231442,172194,198585,127759,1495505,2014120,0.114909737,0.098596409,0.085493416,0.063431672,860021,17.46,1241,1764832,71.07674685,0,0,0,0,0,0,0
1998,581,1420,1285,788,18329,36531,120919,83465,57401,1349372,187867,198597,192932,133292,1493630,2035621,0.092289773,0.094777957,0.097560892,0.065479773,836654,17.47,1313,1827671,75.15741271,0.057412108,75.15741271,75.15741271,0,1313,1313,0
1999,622,1609,1383,982,18562,40585,145272,92162,70152,1440505,181415,198806,241365,137884,1457050,2054680,0.088293554,0.117470847,0.096757646,0.067107287,813982,17.64,1400,1850609,79.36507937,0.055984719,79.36507937,79.36507937,0,1400,1400,0
2000,677,1727,1212,1143,18715,45426,154972,77771,84861,1442392,178147,219132,203060,148618,1446191,2035619,0.087514903,0.099753441,0.107648828,0.073008751,793015,17.71,1397,1834250,78.88198758,-0.006086957,78.88198758,78.88198758,0,1397,1397,0
2001,674,2264,1208,1525,19091,44783,224789,80263,96266,1463881,178260,298866,220258,248962,1265808,2056263,0.086691245,0.107115675,0.145344248,0.121074979,821065,18.04,1419,1852625,78.65853659,-0.002832725,78.65853659,78.65853659,0,1419,1419,0
2002,637,1674,1351,1314,19511,42468,156365,88715,100435,1559773,182945,212474,224378,172589,1425330,2062193,0.088713811,0.108805529,0.103033033,0.083691973,834431,18.52,1517,1857687,81.91144708,0.041354831,81.91144708,81.91144708,0,1517,1517,0
2003,673,1392,1362,1114,19478,46330,124275,99733,81346,1602504,225136,190701,232289,204720,1446790,2104425,0.106982192,0.110381221,0.090619053,0.09728073,834277,18.46,1556,1855951,84.29035753,0.029042466,84.29035753,84.29035753,0,1556,1556,0
2004,602,1779,1359,1133,19264,46096,179023,103505,89242,1639165,204954,219688,231105,171909,1474969,2127574,0.096332254,0.108623719,0.103257513,0.08080048,861501,18.25,1593,1897242,87.28767123,0.03555939,87.28767123,87.28767123,0,1593,1593,0
2005,530,1634,1137,1130,19292,36450,153780,83195,88596,1665059,197332,224769,222919,162606,1514896,2152914,0.091658097,0.103542919,0.10440222,0.07552833,856496,18.31,1629,1928083,88.96777717,0.019247918,88.96777717,88.96777717,0,1629,1629,0
2006,540,1682,1082,1277,19447,37655,167538,80384,95356,1694217,210153,277068,211689,217079,1469112,2201319,0.095466854,0.096164618,0.125864538,0.09861315,852964,18.39,1657,1961693,90.10331702,0.012763496,90.10331702,90.10331702,0,1657,1657,0
