Industry,Year,RLP,lRLP,Lrlp_rel,Empl,Turn,Units,E (m),T (m),N firms
Hospitality,2003,34.48,0.56,0.56,355,11478,73445,1.7,57.29,140481
IT,2003,48.13,0.9,0.9,109,21134,29103,0.57,51.83,119904
Automotives,2003,95.71,0.91,0.91,97,17185,39216,0.56,85.07,71383
Construction,2003,62.27,0.8,0.8,81,19970,101980,1.26,124.65,211598
Construction,2004,69.05,0.8,0.8,73,20114,136755,1.21,129.43,219455
Automotives,2004,97.86,0.89,0.89,65,16516,38389,0.53,83.39,71417
Retail,2004,56.1,0.74,0.74,733,74390,161905,2.92,247.45,215777
Hospitality,2004,35.35,0.56,0.56,349,12149,74374,1.71,61.63,144179
IT,2004,47.63,0.9,0.9,137,22581,28304,0.58,53.04,111245
Transport,2004,47.46,0.7,0.7,209,12319,18105,0.53,34.09,49040
Recreation & Culture,2004,58.06,1.1,1.1,146,24344,33576,0.68,50.65,73975
Other business,2004,49.66,0.84,0.84,135,6741,113390,3.05,167.61,409971
Manufacturing,2004,57.2,0.84,0.83,192,33010,97900,3.52,369.85,163967
Other service,2004,48.56,0.83,0.83,38,1467,21625,0.37,17.7,90260
z. Other industries,2004,57.37,1.11,1.08,497,54080,75552,2.09,210.83,241585
Wholesale,2004,97.26,1.07,1.07,101,19470,61626,1.04,167.39,106371
Recreation & Culture,2005,59.14,1.12,1.12,142,17228,30642,0.67,43.27,74502
Hospitality,2005,38.13,0.59,0.59,368,12593,76268,1.75,63.82,145922
Manufacturing,2005,59.89,0.87,0.86,197,37246,96590,3.36,371.58,160027
IT,2005,49.55,0.94,0.94,145,15201,28570,0.57,49.32,110083
z. Other industries,2005,58.81,1.12,1.09,476,50824,72278,1.96,204.71,235482
Retail,2005,58.8,0.76,0.76,785,79081,163155,2.99,252.37,213739
Wholesale,2005,98.56,1.09,1.09,99,23152,61065,1.03,175.94,106003
Other service,2005,48.18,0.81,0.81,78,5399,21094,0.39,19.11,87548
Other business,2005,50.58,0.86,0.86,139,9514,116365,3.24,177.51,445941
Transport,2005,49.93,0.72,0.72,219,14731,18436,0.54,35.98,50407
Construction,2005,71.1,0.81,0.81,89,32755,134007,1.25,139.92,227053
Automotives,2005,99.86,0.9,0.9,108,28997,38026,0.56,95.07,71376
Automotives,2006,101.07,0.91,0.91,82,19353,37151,0.54,89.56,70703
Other business,2006,51.09,0.91,0.91,151,6992,125611,3.51,186.8,486308
z. Other industries,2006,59.6,1.13,1.1,467,52135,73089,2.07,228.71,235689
Retail,2006,61.66,0.79,0.79,817,81543,161762,2.97,260.19,209564
Other service,2006,47.98,0.81,0.81,36,1594,21183,0.36,16.92,84249
Transport,2006,51.34,0.74,0.74,217,17920,18295,0.54,37.47,51730
Construction,2006,72.95,0.82,0.82,66,11597,128068,1.25,132.11,232692
Hospitality,2006,40.1,0.61,0.61,342,12023,75368,1.73,66.05,144413
Recreation & Culture,2006,57.02,1.12,1.12,141,17945,29397,0.67,41.54,75076
Wholesale,2006,100.82,1.1,1.1,94,21927,60341,1,173.44,104736
IT,2006,51.63,0.94,0.94,99,17204,27988,0.54,52.12,109832
Manufacturing,2006,61.96,0.89,0.88,191,36703,94711,3.23,371.67,156701
z. Other industries,2007,59.62,1.14,1.11,461,50287,81984,2.07,227.58,248007
Other service,2007,48.63,0.8,0.8,41,1863,21242,0.36,17.54,84549
Hospitality,2007,39.72,0.6,0.6,330,11676,75714,1.8,69.34,149436
Construction,2007,72.55,0.82,0.82,86,22147,124371,1.3,150.48,244563
IT,2007,52.38,0.94,0.94,113,17527,29596,0.55,55.55,113086
Wholesale,2007,100.79,1.11,1.11,101,23484,61294,1.02,179.8,103658
Retail,2007,61.54,0.8,0.8,838,86877,161404,2.95,269.82,209114
Manufacturing,2007,62.29,0.89,0.88,193,43359,92278,3.09,377.1,155467
Transport,2007,52.37,0.74,0.74,242,17129,18616,0.56,39.58,53488
Other business,2007,52.08,0.96,0.96,149,8360,129158,3.56,201.17,522835
Recreation & Culture,2007,58.74,1.12,1.12,141,21282,30441,0.68,46.04,76312
Automotives,2007,98.77,0.91,0.91,94,24431,37540,0.55,93.22,71302
Retail,2008,63.99,0.82,0.82,885,107758,163165,3.02,294.71,203488
Manufacturing,2008,65.07,0.91,0.9,187,42520,88586,2.94,366.86,150631
Other service,2008,49.83,0.81,0.81,41,1392,20499,0.37,17.81,85408
Automotives,2008,98.88,0.9,0.9,96,30226,36353,0.54,93.39,70317
Wholesale,2008,102.75,1.12,1.12,103,23511,60246,1.02,182.01,102142
Other business,2008,54.26,0.9,0.9,164,9348,119675,3.67,216.07,516436
Hospitality,2008,41.52,0.62,0.62,324,11642,77909,1.81,72.87,147462
IT,2008,51.54,0.91,0.91,96,15878,20530,0.54,56.48,122765
Recreation & Culture,2008,60.69,1.15,1.15,144,19432,30348,0.69,45.57,77749
