Date,dateUTC,0-9 employees,10-49 employees,50-99 employees,100-249 employees,250+ employees,All Businesses
04/10/2020,2020-10-04,0.152,0.082,0.002,0.031,0.016,0.145
01/11/2020,2020-11-01,0.116,0.079,0.002,0.031,0.007,0.112
15/11/2020,2020-11-15,0.149,0.094,0.009,0.033,0.007,0.142
29/11/2020,2020-11-29,0.146,0.079,0.006,0.033,0.008,0.139
13/12/2020,2020-12-13,0.125,0.087,0.009,0.028,0.007,0.12
23/12/2020,2020-12-23,0.112,0.08,0.005,0.026,0.007,0.108
10/01/2021,2021-01-10,0.154,0.104,0.007,0.037,0.006,0.147
24/01/2021,2021-01-24,0.157,0.105,0.007,0.033,0.008,0.151
07/02/2021,2021-02-07,0.145,0.1,0.008,0.037,0.009,0.139
21/02/2021,2021-02-21,0.127,0.092,0.004,0.034,0.005,0.122
07/03/2021,2021-03-07,0.13,0.084,0.006,0.036,0.007,0.124
21/03/2021,2021-03-21,0.107,0.076,0.006,0.029,0.004,0.104
04/04/2021,2021-04-04,0.127,0.057,0.003,0.029,0.006,0.119
18/04/2021,2021-04-18,0.108,0.056,0.004,0.03,0.004,0.102
02/05/2021,2021-05-02,0.092,0.04,0.002,0.019,0.003,0.087
16/05/2021,2021-05-16,0.076,0.036,0.003,0.016,0.004,0.071
30/05/2021,2021-05-30,0.077,0.033,0.003,0.018,0.002,0.072
13/06/2021,2021-06-13,0.079,0.039,0.004,0.017,0.004,0.074
27/06/2021,2021-06-27,0.089,0.031,0.005,0.013,0.005,0.082
25/07/2021,2021-07-25,0.068,0.029,0.003,0.01,0.005,0.063
22/08/2021,2021-08-22,0.066,0.032,0.002,0.01,0.003,0.063
19/09/2021,2021-09-19,0.061,0.029,0.003,0.006,0.001,0.057
17/10/2021,2021-10-17,0.045,0.02,0.002,0.008,0.001,0.042
