Percentile,modelValue
1,1.965912874
10,19.49928558
20,32.91526787
30,44.91984281
40,58.8622429
50,68.63537215
60,84.91695532
70,100.6008709
80,128.8186569
90,181.6354766
92,205.8552608
94,239.0588203
96,311.8207892
98,503.9209553
