Item,Value,Share,Source
Consumption,17542.70,0.68,"U.S. Bureau of Economic Analysis, ""Table 1.1.5. Gross Domestic Product"" (accessed Sunday, January 22, 2023). "
Investment,4579.10,0.18,
Government,4493.00,0.17,
Net exports,-890.80,-0.03,
