Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Argentina,ARG,1,1.037409028,1.011947556,0.942817438,1.021851481,1.112171402,1.087600362,1.104863203,1.140308939,1.231553417,1.249327192,1.299276858,1.299543046,1.314307067,1.363648253,1.340827212,1.293042778,1.36078274,1.278768337,1.387112215,1.386036888,1.293496926,1.263938575,1.298508939,1.298786557,1.212896591,1.268218187,1.282988997,1.250011152,1.143411308,1.099076794,1.182496719,1.258768622,1.343704002,1.403097342,1.345333497,1.401904331,1.497560764,1.537311233,1.468253488,1.440254078,1.361705544,1.200398581,1.293060104,1.39557594,1.503488808,1.607755482,1.735028791,1.78759644,1.664825117,1.828715436,1.916286824,1.875177021,1.898910858,1.830956805,1.860795254,1.802923332,1.834612381,1.768536803,1.716018997,1.530472541,1.673681548
Australia,AUS,1,1.004636705,0.993106493,1.034801933,1.085519616,1.128112583,1.128879926,1.185002372,1.223589207,1.282668739,1.347892614,1.355227166,1.382571705,1.397260772,1.418287698,1.419653802,1.441875579,1.476973841,1.472936883,1.516118555,1.543215651,1.570038012,1.594356388,1.537701151,1.589115378,1.650854658,1.691684001,1.70878683,1.777840141,1.815739078,1.853048772,1.822570696,1.810003961,1.866584438,1.922288876,1.974892298,2.026314351,2.082940078,2.157422236,2.239714634,2.300608653,2.317624262,2.38291928,2.428962352,2.504461467,2.552188573,2.586988022,2.636170563,2.676069273,2.670518857,2.687312057,2.713606546,2.770695621,2.793646001,2.823268065,2.842835171,2.875198699,2.892592599,2.931592926,2.95109245,2.913366922,2.974714016
Austria,AUT,1,1.049607172,1.070824662,1.107997978,1.168044112,1.200866301,1.259762536,1.287993938,1.338628094,1.417734267,1.502096496,1.57189806,1.659804597,1.731357209,1.796549267,1.794770143,1.880261683,1.975020246,1.972456067,2.08166007,2.117701471,2.109259878,2.150139897,2.217646293,2.218923061,2.273299228,2.324139345,2.354191519,2.428342584,2.511394373,2.600637968,2.663417016,2.689414423,2.68137968,2.735242215,2.803921759,2.865928664,2.922616043,3.023967397,3.125422854,3.223168473,3.251540707,3.289020447,3.303852171,3.373223524,3.42550435,3.526331257,3.645934921,3.687619155,3.53951183,3.595881286,3.688527309,3.696732459,3.675945771,3.671447492,3.667352353,3.700082341,3.757460409,3.829893464,3.870757267,3.605937678,3.753864679
Burundi,BDI,1,0.841298424,0.894849139,0.912657495,0.942700935,0.953409933,0.973889638,1.081036564,1.052769715,1.015582575,1.206304403,1.210292844,1.133696029,1.214424811,1.176419383,1.156445684,1.221690246,1.328337132,1.279364828,1.269849411,1.230279494,1.325253654,1.279513942,1.292170845,1.263241321,1.381910157,1.400312318,1.444128181,1.483962788,1.475481189,1.496460998,1.540053931,1.515450618,1.468937674,1.404790615,1.218010676,1.120999872,1.104413445,1.135504628,1.097692886,1.066292658,1.061609629,1.078261344,1.032170112,1.042604134,1.013777376,1.031079655,1.028216341,1.034767669,1.021029115,1.024278252,1.02849328,1.036968897,1.050072029,1.058583943,0.995275376,0.973318269,0.956064777,0.942898431,0.92915858,0.905850998,0.897796829
Belgium,BEL,1,1.046302571,1.096462678,1.13565413,1.203215777,1.234793509,1.265187488,1.306832092,1.356296267,1.442126542,1.521137633,1.578887449,1.656001706,1.756148222,1.830552314,1.789386311,1.887160885,1.896634031,1.948715407,1.992544502,2.078801918,2.073050841,2.085952039,2.092623169,2.144267468,2.179037172,2.21796501,2.267192258,2.366740022,2.439966938,2.50902454,2.545540174,2.574039173,2.539341132,2.613218661,2.669939885,2.699941173,2.795594393,2.844358614,2.938384762,3.040213093,3.063090177,3.101439594,3.120540733,3.218024208,3.274676095,3.336180511,3.433541546,3.421748955,3.325737391,3.389883023,3.40276575,3.406726658,3.406278728,3.444721844,3.494735532,3.521130183,3.564400163,3.611829933,3.672861786,3.460996489,3.656068917
Benin,BEN,1,1.015673266,0.964953827,0.993442092,1.040759534,1.075738435,1.093109459,1.08349032,1.102830717,1.111595696,1.111537269,1.071877359,1.116174441,1.132086682,1.143703675,1.062789136,1.046896044,1.072379108,1.058826749,1.099176318,1.142632933,1.222066245,1.214615388,1.129181282,1.184219442,1.236952055,1.227202052,1.173370253,1.177456895,1.109841391,1.173240476,1.18594164,1.184164392,1.198716393,1.178089786,1.223869676,1.244409866,1.278039392,1.288877167,1.316840565,1.352258933,1.382108222,1.403516516,1.408737945,1.42728415,1.406334276,1.417745415,1.460023339,1.487028297,1.477385857,1.464985332,1.464876511,1.491245233,1.552797964,1.603892858,1.5849399,1.590262956,1.631666251,1.690802212,1.755467071,1.772173431,1.847295495
Burkina Faso,BFA,1,1.025522731,1.072536322,1.043223099,1.050759507,1.073020616,1.061326367,1.135943664,1.151066566,1.154453254,1.136048278,1.132701494,1.139422362,1.124692106,1.195547487,1.207261352,1.282855448,1.258147536,1.283864926,1.296968209,1.272791102,1.291418398,1.376626993,1.342987257,1.281611619,1.351081502,1.417934303,1.376486036,1.417815957,1.41060818,1.365846367,1.452552593,1.42051634,1.433613132,1.416312002,1.459382623,1.57925799,1.636470186,1.708444373,1.781894361,1.762171448,1.822444281,1.844188902,1.927309508,1.951416367,2.054713284,2.116081244,2.137269621,2.195640285,2.195366395,2.311833756,2.392810509,2.47114135,2.536806874,2.568872021,2.59142121,2.666403939,2.751815706,2.853454386,2.935312235,2.912597395,3.032309236
Bangladesh,BGD,1,1.030198017,1.054290941,1.018387971,1.096487395,1.081235025,1.076507306,1.025030692,1.089134906,1.071111994,1.103251937,1.030074928,0.87373367,0.879974126,0.940545077,0.880929645,0.910332243,0.913640642,0.955408103,0.978049479,0.962309865,1.005271946,0.998895882,1.009282849,1.029616884,1.037139167,1.05499716,1.07062623,1.073019248,1.080261921,1.116994819,1.133754999,1.173660097,1.205697569,1.228807262,1.267848749,1.302159903,1.336517225,1.379581813,1.416619682,1.463451725,1.508825119,1.537820052,1.582818735,1.638308296,1.719092757,1.811723161,1.919324688,2.016763625,2.099948788,2.191789726,2.305204343,2.425190024,2.538657921,2.659187795,2.799887038,2.962370374,3.11838228,3.307987337,3.529214373,3.609366542,3.815701218
"Bahamas, The",BHS,1,1.054051262,1.10809485,1.166226893,1.231629829,1.303097708,1.360506222,1.426298127,1.478572082,1.543380347,1.404287622,1.386071505,1.304039544,1.370967901,1.117012377,0.932266379,0.960551117,1.026387029,1.147495079,1.418351675,1.481274184,1.319808397,1.38261942,1.405659729,1.574379893,1.618405943,1.615505071,1.632387641,1.639094065,1.716145648,1.656396515,1.556204301,1.465274496,1.438207417,1.454062305,1.489576774,1.525103679,1.602439853,1.504911663,1.662777817,1.706503587,1.726798486,1.750266772,1.705221055,1.697213999,1.731049381,1.750161678,1.750651543,1.685800324,1.592309628,1.594217033,1.584142574,1.615471496,1.554612102,1.569166697,1.57041685,1.544055163,1.579012875,1.596378564,1.615989337,1.22522189,1.388417434
Belize,BLZ,1,1.022586987,1.045509868,1.067649513,1.08897671,1.109251655,1.127499242,1.14733701,1.195237889,1.220968659,1.250457007,1.276881698,1.385265753,1.438457312,1.611349896,1.641409605,1.608027028,1.678390764,1.775479856,1.870043547,2.072935215,2.045268148,1.994203417,1.905895332,1.898848702,1.874475799,1.915556238,2.074190267,2.22722439,2.462346224,2.685599319,2.931006515,3.217616929,3.35002799,3.284926882,3.222474262,3.158088182,3.161618244,3.171969218,3.33970914,3.653608163,3.718806306,3.788515106,4.016352997,4.076792654,4.04386664,4.106922524,4.120894455,3.945436082,3.821325988,3.774015067,3.685005158,3.741787298,3.824694443,3.894703345,3.941557737,3.866067655,3.725685154,3.694105612,3.790677557,3.234188422,3.679026165
