Time,Region,Value,Detail
1960,Middle East & N. Africa,0.459097,Capture fisheries production (million tonnes per year)
1961,Middle East & N. Africa,0.487021,
1962,Middle East & N. Africa,0.51229,
1963,Middle East & N. Africa,0.519744,
1964,Middle East & N. Africa,0.572091,
1965,Middle East & N. Africa,0.571453,
1966,Middle East & N. Africa,0.678673,
1967,Middle East & N. Africa,0.622478,
1968,Middle East & N. Africa,0.592916,
1969,Middle East & N. Africa,0.600325,
1970,Middle East & N. Africa,0.65129,
1971,Middle East & N. Africa,0.659696,
1972,Middle East & N. Africa,0.727052,
1973,Middle East & N. Africa,0.8964,
1974,Middle East & N. Africa,0.909226,
1975,Middle East & N. Africa,0.87871,
1976,Middle East & N. Africa,0.953008,
1977,Middle East & N. Africa,0.918022,
1978,Middle East & N. Africa,0.9156699,
1979,Middle East & N. Africa,0.9524578,
1980,Middle East & N. Africa,0.9797651,
1981,Middle East & N. Africa,0.9960271,
1982,Middle East & N. Africa,1.0389686,
1983,Middle East & N. Africa,1.158072249,
1984,Middle East & N. Africa,1.197100836,
1985,Middle East & N. Africa,1.27679502,
1986,Middle East & N. Africa,1.438603571,
1987,Middle East & N. Africa,1.48251706,
1988,Middle East & N. Africa,1.66038466,
1989,Middle East & N. Africa,1.59865732,
1990,Middle East & N. Africa,1.65571106,
1991,Middle East & N. Africa,1.71433755,
1992,Middle East & N. Africa,1.74222981,
1993,Middle East & N. Africa,1.86543435,
1994,Middle East & N. Africa,2.05831151,
1995,Middle East & N. Africa,2.22665572,
1996,Middle East & N. Africa,2.00692521,
1997,Middle East & N. Africa,2.2209555,
1998,Middle East & N. Africa,2.1740057,
1999,Middle East & N. Africa,2.25329643,
2000,Middle East & N. Africa,2.39834293,
2001,Middle East & N. Africa,2.6848221,
2002,Middle East & N. Africa,2.54454397,
2003,Middle East & N. Africa,2.56855072,
2004,Middle East & N. Africa,2.5903746,
2005,Middle East & N. Africa,2.6934116,
2006,Middle East & N. Africa,2.6665759,
2007,Middle East & N. Africa,2.5544208,
2008,Middle East & N. Africa,2.58713915,
2009,Middle East & N. Africa,2.82214711,
2010,Middle East & N. Africa,2.7529348,
2011,Middle East & N. Africa,2.5914994,
2012,Middle East & N. Africa,2.983781,
2013,Middle East & N. Africa,3.1130477,
2014,Middle East & N. Africa,3.2598728,
2015,Middle East & N. Africa,3.252205,
2016,Middle East & N. Africa,3.3827065,
1960,Sub-Saharan Africa,1.970722,
1961,Sub-Saharan Africa,2.142654,
1962,Sub-Saharan Africa,2.292486,
1963,Sub-Saharan Africa,2.426934,
1964,Sub-Saharan Africa,2.710463,
1965,Sub-Saharan Africa,2.787102,
1966,Sub-Saharan Africa,2.963679,
1967,Sub-Saharan Africa,3.356596,
1968,Sub-Saharan Africa,3.867437,
1969,Sub-Saharan Africa,3.84962,
1970,Sub-Saharan Africa,3.356925,
1971,Sub-Saharan Africa,3.417916,
1972,Sub-Saharan Africa,3.74966,
1973,Sub-Saharan Africa,3.897681,
1974,Sub-Saharan Africa,3.904271,
1975,Sub-Saharan Africa,3.686952,
1976,Sub-Saharan Africa,3.404765,
1977,Sub-Saharan Africa,3.378711,
1978,Sub-Saharan Africa,3.358563,
1979,Sub-Saharan Africa,3.243742,
1980,Sub-Saharan Africa,3.087674,
1981,Sub-Saharan Africa,3.179779,
1982,Sub-Saharan Africa,3.158758,
1983,Sub-Saharan Africa,3.377302,
1984,Sub-Saharan Africa,3.282354,
1985,Sub-Saharan Africa,3.33269,
1986,Sub-Saharan Africa,3.572216,
1987,Sub-Saharan Africa,4.381125,
1988,Sub-Saharan Africa,4.3195053,
1989,Sub-Saharan Africa,3.950231,
1990,Sub-Saharan Africa,4.06936424,
1991,Sub-Saharan Africa,3.7462029,
1992,Sub-Saharan Africa,4.6112243,
1993,Sub-Saharan Africa,4.5219434,
1994,Sub-Saharan Africa,4.2497841,
1995,Sub-Saharan Africa,4.4959177,
1996,Sub-Saharan Africa,4.4683602,
1997,Sub-Saharan Africa,4.6586169,
1998,Sub-Saharan Africa,4.8536474,
1999,Sub-Saharan Africa,5.02720095,
2000,Sub-Saharan Africa,5.2264139,
2001,Sub-Saharan Africa,5.3187455,
2002,Sub-Saharan Africa,5.3341658,
2003,Sub-Saharan Africa,5.6610372,
2004,Sub-Saharan Africa,5.9393573,
2005,Sub-Saharan Africa,5.8993675,
2006,Sub-Saharan Africa,5.4906205,
2007,Sub-Saharan Africa,5.6473515,
2008,Sub-Saharan Africa,5.6498865,
2009,Sub-Saharan Africa,5.659771,
2010,Sub-Saharan Africa,5.998313,
2011,Sub-Saharan Africa,6.184137,
2012,Sub-Saharan Africa,6.630788,
2013,Sub-Saharan Africa,6.477022,
2014,Sub-Saharan Africa,6.664215,
2015,Sub-Saharan Africa,6.7846322,
2016,Sub-Saharan Africa,7.2259862,
1960,N. America,3.64319,
1961,N. America,3.886384,
1962,N. America,4.01865,
1963,N. America,3.865394,
1964,N. America,3.730487,
1965,N. America,3.889901,
1966,N. America,3.798181,
1967,N. America,3.605306,
1968,N. America,3.903989,
1969,N. America,3.841139,
1970,N. America,4.187696,
1971,N. America,4.201366,
1972,N. America,3.945509,
1973,N. America,3.975344,
1974,N. America,3.930839,
1975,N. America,3.879625,
1976,N. America,4.225967,
1977,N. America,4.313222,
1978,N. America,4.890523,
1979,N. America,5.036716,
1980,N. America,5.080765,
1981,N. America,5.147488,
1982,N. America,5.382052,
1983,N. America,5.52494,
1984,N. America,6.026842,
1985,N. America,6.194528,
1986,N. America,6.413489,
1987,N. America,7.310146,
1988,N. America,7.375849,
1989,N. America,7.142072,
1990,N. America,7.3064,
1991,N. America,6.745395,
1992,N. America,6.605856,
1993,N. America,6.770821,
1994,N. America,6.710036,
1995,N. America,6.180001,
1996,N. America,5.987109,
1997,N. America,6.056609,
1998,N. America,5.767707,
1999,N. America,5.879068,
2000,N. America,5.792976,
2001,N. America,6.059034,
2002,N. America,6.090987,
2003,N. America,6.142832,
2004,N. America,6.209451,
2005,N. America,6.107292,
2006,N. America,5.981792,
2007,N. America,5.81558,
2008,N. America,5.32874,
2009,N. America,5.227395,
2010,N. America,5.376528,
2011,N. America,6.003745,
2012,N. America,5.934027,
2013,N. America,6.020764,
2014,N. America,5.861623,
2015,N. America,5.908542,
2016,N. America,5.806154,
1960,Latin America & Caribbean,4.671328,
1961,Latin America & Caribbean,6.546459,
1962,Latin America & Caribbean,8.547022,
1963,Latin America & Caribbean,8.632062,
1964,Latin America & Caribbean,11.361808,
1965,Latin America & Caribbean,9.3733,
1966,Latin America & Caribbean,11.49294,
1967,Latin America & Caribbean,12.692211,
1968,Latin America & Caribbean,13.399881,
1969,Latin America & Caribbean,11.790837,
1970,Latin America & Caribbean,15.458646,
1971,Latin America & Caribbean,13.889089,
1972,Latin America & Caribbean,7.533262,
1973,Latin America & Caribbean,5.359853,
1974,Latin America & Caribbean,7.527796,
1975,Latin America & Caribbean,6.721285,
1976,Latin America & Caribbean,8.304752,
1977,Latin America & Caribbean,6.846548,
1978,Latin America & Caribbean,9.012259,
1979,Latin America & Caribbean,10.147123,
1980,Latin America & Caribbean,9.647005,
1981,Latin America & Caribbean,10.44272379,
1982,Latin America & Caribbean,11.53462004,
1983,Latin America & Caribbean,9.376708254,
1984,Latin America & Caribbean,12.19489137,
1985,Latin America & Caribbean,13.94948194,
1986,Latin America & Caribbean,16.06390378,
1987,Latin America & Caribbean,14.05303987,
1988,Latin America & Caribbean,16.48325201,
1989,Latin America & Caribbean,17.92715771,
1990,Latin America & Caribbean,16.17812198,
1991,Latin America & Caribbean,17.14408514,
1992,Latin America & Caribbean,17.94731833,
1993,Latin America & Caribbean,19.29066074,
1994,Latin America & Caribbean,24.25229892,
1995,Latin America & Caribbean,21.60729968,
1996,Latin America & Caribbean,21.79448094,
1997,Latin America & Caribbean,19.26518709,
1998,Latin America & Caribbean,12.47183378,
1999,Latin America & Caribbean,18.3261651,
2000,Latin America & Caribbean,20.051127,
2001,Latin America & Caribbean,17.161775,
2002,Latin America & Caribbean,18.285841,
2003,Latin America & Caribbean,14.862476,
2004,Latin America & Caribbean,19.789644,
2005,Latin America & Caribbean,19.0217921,
2006,Latin America & Caribbean,16.697575,
2007,Latin America & Caribbean,16.5363642,
2008,Latin America & Caribbean,16.756516,
2009,Latin America & Caribbean,16.03079683,
2010,Latin America & Caribbean,12.28064744,
2011,Latin America & Caribbean,16.669851,
2012,Latin America & Caribbean,12.64634983,
2013,Latin America & Caribbean,12.977648,
2014,Latin America & Caribbean,11.13377422,
2015,Latin America & Caribbean,11.74237129,
2016,Latin America & Caribbean,10.493944,
1960,Europe & Central Asia,7.822578,
1961,Europe & Central Asia,8.227795,
1962,Europe & Central Asia,8.341651,
1963,Europe & Central Asia,8.7592141,
1964,Europe & Central Asia,9.516754,
1965,Europe & Central Asia,10.733043,
1966,Europe & Central Asia,11.420466,
1967,Europe & Central Asia,11.999989,
1968,Europe & Central Asia,11.796369,
1969,Europe & Central Asia,11.254031,
1970,Europe & Central Asia,11.926735,
1971,Europe & Central Asia,12.067648,
1972,Europe & Central Asia,12.211701,
1973,Europe & Central Asia,12.491207,
1974,Europe & Central Asia,12.634036,
1975,Europe & Central Asia,12.416208,
1976,Europe & Central Asia,13.398952,
1977,Europe & Central Asia,13.309489,
1978,Europe & Central Asia,12.5928077,
1979,Europe & Central Asia,12.5115457,
1980,Europe & Central Asia,12.6898454,
1981,Europe & Central Asia,12.7824052,
1982,Europe & Central Asia,12.3359011,
1983,Europe & Central Asia,12.82197917,
1984,Europe & Central Asia,13.1924131,
1985,Europe & Central Asia,12.9396236,
1986,Europe & Central Asia,12.72928349,
1987,Europe & Central Asia,12.78497,
1988,Europe & Central Asia,23.8495666,
1989,Europe & Central Asia,22.9849849,
1990,Europe & Central Asia,20.7604497,
1991,Europe & Central Asia,19.8847206,
1992,Europe & Central Asia,19.01561908,
1993,Europe & Central Asia,17.57989367,
1994,Europe & Central Asia,16.96231231,
1995,Europe & Central Asia,18.37666825,
1996,Europe & Central Asia,18.5425873,
1997,Europe & Central Asia,18.93155849,
1998,Europe & Central Asia,18.10769218,
1999,Europe & Central Asia,17.27776199,
2000,Europe & Central Asia,17.36191634,
2001,Europe & Central Asia,17.05418012,
2002,Europe & Central Asia,16.53034284,
2003,Europe & Central Asia,15.66381394,
2004,Europe & Central Asia,15.10629282,
2005,Europe & Central Asia,14.88540359,
2006,Europe & Central Asia,14.5700078,
2007,Europe & Central Asia,14.64781758,
2008,Europe & Central Asia,14.19042729,
2009,Europe & Central Asia,14.39985736,
2010,Europe & Central Asia,14.9272263,
2011,Europe & Central Asia,14.43224117,
2012,Europe & Central Asia,14.00430217,
2013,Europe & Central Asia,14.51632756,
2014,Europe & Central Asia,14.7103791,
2015,Europe & Central Asia,15.16578729,
2016,Europe & Central Asia,14.72036652,
1960,South Asia,1.606536,
1961,South Asia,1.45937,
1962,South Asia,1.535096,
1963,South Asia,1.609385,
1964,South Asia,1.963544,
1965,South Asia,2.014559,
1966,South Asia,2.083872,
1967,South Asia,2.110898,
1968,South Asia,2.298085,
1969,South Asia,2.385236,
1970,South Asia,2.562578,
1971,South Asia,2.674932,
1972,South Asia,2.575689,
1973,South Asia,2.905049,
1974,South Asia,3.142381,
1975,South Asia,2.952068,
1976,South Asia,2.874718,
1977,South Asia,3.049387,
1978,South Asia,3.058658,
1979,South Asia,3.06963,
1980,South Asia,3.135319,
1981,South Asia,3.154264,
1982,South Asia,3.077758,
1983,South Asia,3.213259,
1984,South Asia,3.522683,
1985,South Asia,3.494463,
1986,South Asia,3.626706,
1987,South Asia,3.516018,
1988,South Asia,3.686494,
1989,South Asia,4.105261,
1990,South Asia,4.25478,
1991,South Asia,4.397973,
1992,South Asia,4.4727981,
1993,South Asia,4.8519099,
1994,South Asia,5.0142227,
1995,South Asia,5.0278639,
1996,South Asia,5.2738643,
1997,South Asia,5.4315328,
1998,South Asia,5.3242779,
1999,South Asia,5.6142907,
2000,South Asia,5.7786326,
2001,South Asia,5.841406,
2002,South Asia,5.875054,
2003,South Asia,5.8866882,
2004,South Asia,5.6064824,
2005,South Asia,5.918023,
2006,South Asia,6.288704,
2007,South Asia,6.295077,
2008,South Asia,6.618132,
2009,South Asia,6.841162,
2010,South Asia,7.432364,
2011,South Asia,6.962749,
2012,South Asia,7.520582,
2013,South Asia,7.340697,
2014,South Asia,7.75037,
2015,South Asia,7.631274,
2016,South Asia,7.943593,
1960,East Asia & Pacific,11.502457,
1961,East Asia & Pacific,12.567388,
1962,East Asia & Pacific,13.094409,
1963,East Asia & Pacific,13.137619,
1964,East Asia & Pacific,13.159741,
1965,East Asia & Pacific,14.078566,
1966,East Asia & Pacific,14.711601,
1967,East Asia & Pacific,15.822284,
1968,East Asia & Pacific,17.24109,
1969,East Asia & Pacific,17.470742,
1970,East Asia & Pacific,18.157734,
1971,East Asia & Pacific,19.471919,
1972,East Asia & Pacific,20.804507,
1973,East Asia & Pacific,21.700159,
1974,East Asia & Pacific,22.029983,
1975,East Asia & Pacific,22.16858,
1976,East Asia & Pacific,22.846425,
1977,East Asia & Pacific,23.689948,
1978,East Asia & Pacific,23.998431,
1979,East Asia & Pacific,23.395737,
1980,East Asia & Pacific,23.800844,
1981,East Asia & Pacific,24.926631,
1982,East Asia & Pacific,25.5492348,
1983,East Asia & Pacific,26.58696099,
1984,East Asia & Pacific,27.73284914,
1985,East Asia & Pacific,27.7020136,
1986,East Asia & Pacific,29.90911489,
1987,East Asia & Pacific,30.88451431,
1988,East Asia & Pacific,31.16562227,
1989,East Asia & Pacific,31.39866919,
1990,East Asia & Pacific,31.17959732,
1991,East Asia & Pacific,30.77163296,
1992,East Asia & Pacific,31.85249791,
1993,East Asia & Pacific,32.67994236,
1994,East Asia & Pacific,33.91047422,
1995,East Asia & Pacific,35.42974715,
1996,East Asia & Pacific,36.81650235,
1997,East Asia & Pacific,37.64628676,
1998,East Asia & Pacific,37.91594355,
1999,East Asia & Pacific,38.11333807,
2000,East Asia & Pacific,37.81675345,
2001,East Asia & Pacific,37.51759626,
2002,East Asia & Pacific,37.31930373,
2003,East Asia & Pacific,38.44745032,
2004,East Asia & Pacific,38.66943353,
2005,East Asia & Pacific,39.04011184,
2006,East Asia & Pacific,39.38883186,
2007,East Asia & Pacific,39.9174424,
2008,East Asia & Pacific,39.4301364,
2009,East Asia & Pacific,39.1523966,
2010,East Asia & Pacific,39.95582286,
2011,East Asia & Pacific,40.25228086,
2012,East Asia & Pacific,40.72370877,
2013,East Asia & Pacific,41.30717528,
2014,East Asia & Pacific,42.95135341,
2015,East Asia & Pacific,43.13482269,
2016,East Asia & Pacific,42.31130196,
