Year,Tin,Iron,Coal,Wool/Textiles,Leather,Foodstuffs,Construction,Printed books
1270,,,,32.62135564,48.33314139,10.01385062,15.86509657,
1271,,,,30.93393669,47.68523104,9.924912804,15.88738697,
1272,,,,29.83794844,46.9580077,10.73452117,15.90971234,
1273,,,,30.61224581,46.92034458,9.563591921,15.93207273,
1274,,,,31.36216372,46.49050932,9.435818676,15.9544682,
1275,,,,31.94325494,46.50865515,12.00994346,15.97689879,
1276,,,,29.24611627,45.75694481,9.747065402,15.99936458,
1277,,,,27.55756039,46.85521484,11.14510571,16.02186561,
1278,,,,23.74716017,46.28818728,12.18476055,16.04440194,
1279,,,,20.77007554,46.86191001,8.94197992,16.06697362,
1280,,,,18.60670303,47.47793396,9.386069299,16.71194874,
1281,,,,16.47612231,47.77410644,10.68915355,16.80554262,
1282,,,,15.68465736,48.20446052,10.26554511,16.89974046,
1283,,,,16.31085971,48.557143,9.331341575,16.99454616,
1284,,,,13.23415577,48.00815504,10.20553435,17.08996363,
1285,,,,11.19864349,47.73603584,10.65706073,17.18599683,
1286,,,,12.79738834,46.27900236,10.29809014,17.28264972,
1287,,,,12.58797622,44.84578075,12.07536382,17.37992632,
1288,,,,11.08596903,44.0472411,11.62325374,17.47783063,
1289,,,,9.6617879,43.98295431,10.25772707,17.57636672,
1290,,,,10.31728045,45.38073515,10.40827454,17.56514239,
1291,,,,12.02926435,46.95385552,10.24831093,17.56068146,
1292,,,,15.42410845,47.76768633,10.89404523,17.55622181,
1293,,,,18.74694025,49.83367598,11.03329948,17.55176346,
1294,,,,20.55676624,50.36796895,10.74773161,17.54730638,
1295,,,,23.76015169,51.17409557,11.79228149,17.5428506,
1296,,,,25.42459759,51.62727615,12.45376038,17.53839609,
1297,,,,23.5912108,51.87389712,11.57801521,17.53394288,
1298,,,,19.08621532,51.62819259,13.03952786,17.52949094,
1299,,,,21.79761842,52.71340952,11.98717447,17.52504029,
1300,,,,22.16168456,53.65240437,11.77158598,17.07900587,
1301,19.53781513,,,17.81196632,54.05537935,12.28715701,17.07455779,
1302,23.09969245,,,24.93064042,54.14774627,12.12133684,17.07011099,
1303,27.31092437,,,27.13917089,54.21683161,12.59533651,17.06566547,
1304,24.22969188,,,20.80198633,54.91155057,10.88907972,17.06122124,
1305,26.61064426,,,14.88763783,55.86352725,11.74026891,17.05677828,
1306,26.96078431,,,12.62834924,55.16877516,11.33099792,17.05233661,
1307,26.48560516,,,16.27596917,54.91726635,12.18224051,17.04789622,
1308,26.01880095,,,20.246318,55.06755348,12.21324287,17.04345711,
1309,25.56022409,,,22.87275126,55.03445168,12.64395976,17.03901928,
1310,25.62127949,,,25.11868736,54.19520282,12.10534675,17.58656406,
1311,25.68248073,,,26.58012357,53.45889601,12.75286979,17.58212878,
1312,25.74382816,,,24.8186107,52.73856833,12.26151185,17.57769479,
1313,25.80532213,,,24.74234774,52.01718106,12.68203079,17.57326208,
1314,25.80532213,,,33.37577166,51.0750138,12.25206006,17.56883065,
1315,25.14005602,,,36.06434532,50.21267559,9.84583118,17.56440049,
1316,23.1092437,,,34.4371944,49.13814877,8.959409295,17.36894996,
1317,16.66666667,,,36.91632486,48.44157507,9.811302461,17.17598703,
1318,18.20770561,,,33.97263034,48.16753553,11.87978269,16.98548006,
1319,19.76713069,,,35.83171782,47.8440026,11.83109405,16.79739777,
1320,21.40980793,,,31.95589847,46.79418568,11.20339622,17.05329438,
1321,23.14142212,,,24.3820581,45.89794349,8.529685826,16.86996928,
1322,24.96818287,,,27.90510708,45.55893144,9.191459205,16.68897747,
1323,26.89682362,,,25.87467958,45.17518493,9.803376111,16.51028924,
1324,30.95238095,,,20.58945531,44.3625044,8.414467798,16.33387528,
1325,32.97830162,,,17.95560361,42.58270426,9.809887638,16.15970664,
1326,35.13682451,,,18.71018706,41.60755892,10.11905323,16.25539143,
1327,37.43662881,,,20.08586163,42.2883367,9.76877604,16.3517539,
1328,39.88696179,,,20.86674112,42.77682577,8.532056998,16.44879885,
1329,42.49767599,,,18.23317226,42.68768634,9.534371868,16.54653112,
1330,45.27926879,,,13.18461323,42.45140724,9.416255099,16.31376676,
1331,48.24292469,,,10.63786247,42.93747642,8.773986183,16.41288829,
1332,51.40056022,,,6.365194236,43.20915398,9.895103074,16.51271183,
1333,44.60784314,,,8.273779897,43.61033692,10.65327529,16.61324237,
1334,40.75630252,,,10.01831787,44.92581056,10.1582355,16.7144849,
1335,46.63865546,,,5.982783012,43.81056654,9.564109255,16.81644448,
1336,46.56862745,,,14.47716114,45.46570419,10.07702766,16.91912617,
1337,43.1372549,,,29.20901287,47.3901507,11.51336072,17.0225351,
1338,38.37535014,,,31.20649988,49.44304038,11.96490066,17.12667642,
1339,32.87815126,,,16.09061185,50.62186703,8.958462179,17.23155531,
1340,32.87815126,,,17.0381807,51.59642821,11.15382231,17.11638446,
1341,36.20448179,,,29.01094493,53.04625505,10.6504238,17.2227542,
1342,36.20448179,,,29.82823887,53.66467751,11.64948437,17.32987729,
1343,33.00653595,,,33.52104646,55.49887926,11.09037681,17.43775907,
1344,29.8085901,,,35.2592178,55.01428445,12.68397293,17.54640492,
1345,26.61064426,,,32.15419196,55.39453528,11.47746903,17.65582024,
1346,23.41269841,,,32.83421069,57.63215145,10.5234232,17.76601049,
1347,20.21475257,,,31.72302946,58.05098108,11.59364684,17.87698115,
1348,17.01680672,,,32.85129934,58.51612781,12.31131705,17.98873774,
1349,13.81886088,,,33.85411498,57.39605454,7.053400012,15.04758353,
1350,10.62091503,,,33.97485663,56.44985879,5.931625072,11.98840227,
1351,7.422969188,,,32.49179018,55.93093088,5.052710667,10.03520042,
1352,10.85434174,,,33.93841516,55.20060147,5.316109889,10.02387098,
1353,11.9047619,,,40.83510956,54.69127681,5.079729982,10.01255647,
1354,13.23529412,,,29.50651772,53.54665587,4.943541861,10.00125686,
1355,15.54621849,,,21.80636991,52.88499725,5.469763621,9.989972141,
1356,16.45658263,,,33.00266846,55.22146736,4.909533901,9.978702285,
1357,16.8767507,,,31.07709373,55.70266106,5.111393114,9.967447275,
1358,17.11668347,,,28.70231241,55.1469926,5.244018245,9.956207093,
1359,17.36002731,,,31.58405137,54.26335621,5.248466353,9.944981718,
1360,17.60683071,,,31.11162582,53.78549012,5.155579931,10.0441674,
1361,17.85714286,,,31.97546847,53.36975731,4.802916136,10.03297158,
1362,11.76470588,,,27.21118347,52.61322095,4.807523613,10.02179051,
1363,12.68411638,,,24.01069176,51.37361116,4.681446975,10.01062417,
1364,13.67537871,,,33.17793486,49.21519949,5.327679703,9.999472538,
1365,14.74410808,,,32.40672683,49.91997483,4.877684707,9.988335599,
1366,15.89635854,,,26.64514619,49.81600953,5.329833307,9.977213331,
1367,18.02918715,,,27.33005462,49.7652154,4.672407091,9.966105716,
1368,20.44817927,,,28.61317237,48.96742732,4.553596019,9.955012733,
1369,19.573234,,,25.4392516,48.28625413,4.106653175,9.943934364,
1370,18.73572625,,,26.30225264,48.93625442,5.074829615,9.93287059,
1371,17.93405413,,,22.56916084,47.87607364,4.903369353,9.92182139,
1372,17.16668429,,,15.43367559,47.07878857,4.330107697,9.910786746,
1373,16.432149,,,14.36573804,46.15005242,5.007852975,9.899766639,
