Year,GDP,GDP per capita,Population
1270,3518,805.9229556,4.364903153
1271,3481,796.2993769,4.37175053
1272,3612,824.8949416,4.378608649
1273,3407,776.853595,4.385477527
1274,3394,772.7535764,4.39235718
1275,3880,881.9085084,4.399247626
1276,3414,774.89751,4.406148881
1277,3646,826.1566972,4.413060962
1278,3780,855.2072716,4.419983886
1279,3137,708.7231647,4.426917671
1280,3187,715.3826071,4.455484393
1281,3390,755.8733591,4.484235455
1282,3290,729.0186336,4.513172047
1283,3130,689.1250461,4.542295366
1284,3239,708.6025469,4.571606616
1285,3283,713.4188863,4.60110701
1286,3238,699.3041661,4.630797769
1287,3547,761.0981989,4.660680122
1288,3441,733.6765323,4.690755304
1289,3178,673.1087084,4.72102456
1290,3225,678.7640879,4.751489143
1291,3231,680.4309374,4.748977115
1292,3403,716.9656065,4.746466416
1293,3483,734.2458802,4.743957044
1294,3457,729.0808993,4.741448999
1295,3702,781.1830415,4.73894228
1296,3850,812.8108275,4.736436886
1297,3683,778.1016978,4.733932816
1298,3874,818.8469425,4.73143007
1299,3731,788.9776991,4.728928648
1300,3705,783.9422916,4.726428548
1301,3731,789.8486559,4.72392977
1302,3828,810.665767,4.721432313
1303,3986,844.6994797,4.718936176
1304,3606,764.4912769,4.716441359
1305,3706,786.0722944,4.71394786
1306,3598,763.7557717,4.711455681
1307,3772,801.0092085,4.708964818
1308,3816,810.8267443,4.706475273
1309,3910,831.2392814,4.703987043
1310,3858,820.5840774,4.70150013
1311,3994,849.8738345,4.699014531
1312,3888,827.7725752,4.696530246
1313,3957,842.8841011,4.694047274
1314,3957,843.5177786,4.691565615
1315,3556,758.286882,4.689085268
1316,3356,725.1425995,4.628291969
1317,3511,768.4855977,4.568286846
1318,3873,859.0086298,4.509059681
1319,3890,873.9476872,4.450600387
1320,3762,856.3075659,4.392899009
1321,3181,733.6116688,4.335945721
1322,3347,782.072298,4.279730824
1323,3472,821.8932436,4.224244745
1324,3163,758.6058854,4.169478035
1325,3423,831.722969,4.115421367
1326,3488,841.796378,4.143572347
1327,3449,826.7555619,4.171915891
1328,3223,767.3575481,4.200453314
1329,3411,806.6316607,4.229185944
1330,3343,785.0393697,4.258115116
1331,3205,747.6802702,4.287242174
1332,3394,786.3875702,4.316568471
1333,3517,809.3382489,4.346095371
1334,3422,782.0766267,4.375824245
1335,3299,748.7916613,4.405756476
1336,3476,783.6648878,4.435893455
1337,3876,867.896439,4.466236581
1338,3976,884.0906526,4.496787265
1339,3265,721.0862017,4.527546927
1340,3680,807.2886243,4.558516997
1341,3741,815.0881389,4.589698913
1342,3940,852.5930767,4.621094124
1343,3854,828.2607747,4.65270409
1344,4140,883.8043625,4.68453028
1345,3879,822.5004716,4.716574173
1346,3709,780.9734739,4.748837257
1347,3877,810.946489,4.781321033
1348,4000,830.9845613,4.81402701
1349,3062,780.6184347,3.92210118
1350,2841,888.9966107,3.1954282
1351,2674,1026.986799,2.60339061
1352,2767,1064.661062,2.599336092
1353,2771,1067.860581,2.595287888
1354,2650,1022.794301,2.591245988
1355,2727,1054.141062,2.587210384
1356,2686,1039.811742,2.583181064
1357,2733,1059.54407,2.57915802
1358,2743,1065.05837,2.575141241
1359,2768,1076.68352,2.571130718
1360,2746,1069.494177,2.567126441
1361,2645,1031.998953,2.5631284
1362,2572,1004.952353,2.559136586
1363,2493,975.7081726,2.555150989
1364,2765,1084.002331,2.551171599
1365,2638,1035.749993,2.547198406
1366,2714,1067.051532,2.543231401
1367,2543,1001.391417,2.539270574
1368,2521,994.5271089,2.535315916
1369,2351,928.6774652,2.531367417
1370,2630,1040.673279,2.527425068
1371,2541,1007.002775,2.523488858
1372,2295,910.8357426,2.519558778
1373,2481,986.2519697,2.515634819
1374,2278,907.0993176,2.511716971
1375,2194,874.8808218,2.507805225
1376,2532,1011.179474,2.503899571
1377,2603,1041.011871,2.5
1378,2555,1030.035388,2.480214237
1379,2327,945.763321,2.460585064
1380,2414,988.8269572,2.441111242
1381,2458,1014.76121,2.421791543
1382,2523,1050.085347,2.402624745
1383,2393,1003.99276,2.383609639
1384,2687,1136.198865,2.364745025
1385,2431,1036.033922,2.34602971
1386,2698,1159.084277,2.327462515
1387,2698,1168.573085,2.309042266
1388,2477,1081.32663,2.2907678
1389,2546,1120.077327,2.272637965
1390,2370,1051.001244,2.254651614
1391,2637,1179.089273,2.236807613
1392,2952,1330.165913,2.219104834
1393,2427,1102.323522,2.201542161
1394,2652,1214.000273,2.184118484
1395,2525,1165.236806,2.166832703
1396,2527,1175.594636,2.149683728
1397,2459,1152.910567,2.132670474
1398,2619,1237.629882,2.115791869
1399,2501,1191.501569,2.099046846
1400,2419,1161.55458,2.082434349
1401,2386,1146.904673,2.080298342
1402,2448,1177.806738,2.078164527
1403,2486,1197.345848,2.076032901
1404,2526,1218.1643,2.073903461
1405,2529,1220.550717,2.071776205
1406,2344,1132.32253,2.069651131
1407,2345,1134.182505,2.067528237
1408,2168,1049.681594,2.065407521
1409,2242,1086.655417,2.06328898
1410,2381,1155.078743,2.061172611
1411,2330,1131.667911,2.059058414
1412,2275,1105.930192,2.056946385
1413,2061,1003.022875,2.054836523
1414,2341,1140.293151,2.052728824
1415,2393,1167.157049,2.050623288
1416,2307,1126.000444,2.048519911
1417,2520,1231.460872,2.046418692
1418,2390,1169.024972,2.044319628
1419,2516,1231.74748,2.042222717
1420,2453,1202.193407,2.040127957
1421,2289,1123.141949,2.038035346
1422,2363,1160.493148,2.035944881
1423,2492,1225.26174,2.03385656
1424,2510,1235.522026,2.031770382
1425,2422,1193.475185,2.029686343
1426,2348,1157.970347,2.027604442
1427,2285,1128.247464,2.025524676
1428,2144,1059.723959,2.023447044
1429,2217,1096.732796,2.021371542
1430,2280,1129.064594,2.01929817
1431,2289,1137.072924,2.01337393
1432,2259,1125.253226,2.007467071
1433,2324,1161.064458,2.001577542
1434,2461,1233.016921,1.995705291
1435,2184,1097.809424,1.989850268
1436,2033,1024.91585,1.984012423
1437,1950,985.6059269,1.978191705
1438,2045,1036.858828,1.972388064
1439,2134,1085.173263,1.96660145
1440,2152,1097.652761,1.960831813
1441,1901,972.425524,1.955079102
1442,1967,1008.817599,1.949343269
1443,2377,1223.036272,1.943624264
1444,2372,1223.926428,1.937922037
1445,2044,1057.97702,1.93223654
1446,2172,1127.557655,1.926567722
1447,2223,1157.147267,1.920915536
1448,2295,1198.258836,1.915279933
1449,2104,1101.645348,1.909660863
1450,2167,1137.996215,1.904058278
1451,2177,1139.863684,1.909631234
1452,2154,1124.797823,1.915220502
1453,2178,1133.819674,1.920826128
1454,2184,1133.949862,1.926448162
1455,2173,1124.559969,1.93208665
1456,2202,1136.172866,1.937741642
1457,2019,1038.699254,1.943413185
1458,2142,1099.000501,1.949101328
1459,2114,1081.271755,1.95480612
1460,2119,1080.654348,1.960527609
1461,2132,1084.196575,1.966265844
1462,2336,1184.659615,1.972020875
1463,2370,1198.274497,1.977792749
1464,2166,1092.209504,1.983581517
1465,2108,1059.533911,1.989387228
1466,2096,1050.670272,1.995209932
1467,2165,1082.156516,2.001049679
1468,2265,1128.470161,2.006906517
1469,2239,1112.409096,2.012780498
1470,2180,1079.959606,2.018671671
1471,2088,1031.483312,2.024580087
1472,2162,1064.921071,2.030505796
1473,2149,1055.31685,2.036448849
1474,2268,1110.319219,2.042409297
1475,2205,1076.471673,2.04838719
1476,2049,997.4187071,2.05438258
1477,2148,1042.366539,2.060395518
1478,2212,1070.637235,2.066426054
1479,2343,1130.569038,2.072474242
1480,2415,1161.810551,2.078540132
1481,2312,1108.969676,2.084623776
1482,2215,1059.343548,2.090725226
1483,2327,1109.594356,2.096844534
1484,2308,1097.68485,2.102981753
1485,2186,1036.318487,2.109136935
1486,2426,1147.04082,2.115310132
1487,2222,1047.219734,2.121501397
1488,2272,1067.7447,2.127710784
1489,2327,1090.457432,2.133938345
1490,2345,1095.860961,2.140184133
1491,2369,1103.517713,2.146448201
1492,2401,1115.306386,2.152730604
1493,2366,1095.77327,2.159031395
1494,2482,1146.012227,2.165350628
1495,2437,1122.048623,2.171688356
1496,2364,1085.431136,2.178044634
1497,2526,1156.289659,2.184419516
1498,2555,1166.060551,2.190813056
1499,2569,1168.984609,2.19722531
1500,2530,1147.928102,2.203656332
1501,2441,1104.694572,2.210106176
1502,2531,1142.029974,2.216574899
1503,2642,1188.356895,2.223062554
1504,2651,1189.003249,2.229569198
1505,2681,1198.860296,2.236094887
1506,2694,1201.334377,2.242639675
1507,2646,1176.589926,2.249203619
1508,2685,1190.085623,2.255786775
1509,2811,1242.482429,2.262389199
1510,2713,1195.483191,2.269010948
1511,2769,1216.714034,2.275652078
1512,2647,1159.624864,2.282312645
1513,2763,1207.06471,2.288992708
1514,2759,1201.629706,2.295692322
1515,2835,1231.171997,2.302411545
1516,2811,1217.149697,2.309150434
1517,2820,1217.532578,2.315909048
1518,2836,1220.926296,2.322687443
1519,2811,1206.801876,2.329485677
1520,2772,1186.700729,2.336303809
1521,2839,1211.521692,2.343141898
1522,2890,1229.772374,2.35
1523,2965,1248.926975,2.373924051
1524,3027,1262.076038,2.398091659
1525,3028,1249.833464,2.422505304
1526,3066,1252.7953,2.447167491
1527,2864,1158.512686,2.47208075
1528,2908,1164.321177,2.497247638
1529,2970,1177.395279,2.522670735
1530,3026,1187.25506,2.548352651
1531,2941,1142.476107,2.57429602
1532,3062,1177.362495,2.600503505
1533,3065,1166.600827,2.626977793
1534,3221,1213.946128,2.653721601
1535,3018,1125.761834,2.680737674
1536,3001,1108.295569,2.708028782
