Country,Number,Source
Mexico,13209221,https://www.dhs.gov/sites/default/files/2023-04/2023_0308_plcy_legal_immigration_adjustment_of_status_report_fy_2022q4_final_d.xlsx 
Canada,6620011,
United Kingdom,2965541,
India,1710667,
France,1390206,
Germany,1349125,
Colombia,1098689,
Brazil,1031478,
Spain,840431,
Italy,806944,
Other,12154540,
