Country,tradePartner,tradeTotal,Balance,Balance_absolute,Balance_pctTrade,Exports,Exports_absolute,Imports,Imports_absolute,Source
Congo (Kinshasa),131,49,6,6,0.12,27,27,21,21,
Gibraltar,132,48,48,48,1.00,48,48,0,0,
Togo,133,43,33,33,0.76,38,38,5,5,
Liechtenstein,134,42,-34,34,-0.79,4,4,38,38,
Uganda,135,42,-10,10,-0.25,16,16,26,26,
Zambia,136,41,-7,7,-0.16,17,17,24,24,
Grenada,137,41,38,38,0.93,39,39,1,1,
Namibia,138,40,-2,2,-0.05,19,19,21,21,
Benin,139,39,38,38,0.99,39,39,0,0,
Faroe Islands,140,38,-38,38,-1.00,0,0,38,38,
Liberia,141,38,22,22,0.58,30,30,8,8,
Djibouti,142,37,22,22,0.60,30,30,7,7,
Albania,143,37,3,3,0.08,20,20,17,17,
Niger,144,36,4,4,0.12,20,20,16,16,
Congo (Brazzaville),145,36,30,30,0.83,33,33,3,3,
St Kitts and Nevis,146,34,28,28,0.81,31,31,3,3,
Papua New Guinea,147,34,12,12,0.36,23,23,11,11,
Rwanda,148,34,3,3,0.08,18,18,15,15,
Azerbaijan,149,33,24,24,0.75,28,28,4,4,
Cyprus,150,32,21,21,0.66,27,27,6,6,
South Sudan,151,32,32,32,1.00,32,32,0,0,
Martinique,152,30,30,30,0.98,30,30,0,0,
Lesotho,153,29,-27,27,-0.95,1,1,28,28,
Moldova,154,28,-19,19,-0.67,5,5,24,24,
Nepal,155,28,-11,11,-0.39,8,8,19,19,
Mauritania,156,27,25,25,0.90,26,26,1,1,
Gabon,157,27,8,8,0.28,17,17,10,10,
Zimbabwe,158,26,-16,16,-0.60,5,5,21,21,
Bosnia and Herzegovina,159,25,-19,19,-0.75,3,3,22,22,
St Vincent and the Grenadines,160,25,24,24,0.93,25,25,1,1,
Guinea,161,25,16,16,0.64,21,21,5,5,
Kyrgyzstan,162,24,20,20,0.81,22,22,2,2,
French Polynesia,163,24,15,15,0.63,19,19,4,4,
Monaco,164,24,9,9,0.40,16,16,7,7,
Kosovo,165,23,-18,18,-0.76,3,3,20,20,
Mongolia,166,22,16,16,0.71,19,19,3,3,
Sierra Leone,167,21,17,17,0.80,19,19,2,2,
Mali,168,17,14,14,0.84,16,16,1,1,
Maldives,169,14,6,6,0.45,10,10,4,4,
Malawi,170,14,-10,10,-0.75,2,2,12,12,
Gambia,171,13,13,13,0.99,13,13,0,0,
Belarus,172,13,-8,8,-0.62,2,2,11,11,
Yemen,173,12,10,10,0.81,11,11,1,1,
Montenegro,174,11,9,9,0.84,10,10,1,1,
Dominica,175,11,10,10,0.88,10,10,1,1,
Anguilla,176,11,11,11,0.99,11,11,0,0,
New Caledonia,177,11,2,2,0.23,7,7,4,4,
Iran,178,10,9,9,0.98,9,9,0,0,
Somalia,179,9,6,6,0.69,8,8,1,1,
Burkina Faso,180,9,8,8,0.91,8,8,0,0,
Marshall Islands,181,8,5,5,0.59,6,6,2,2,
Micronesia,182,7,7,7,0.93,7,7,0,0,
Afghanistan,183,7,1,1,0.14,4,4,3,3,
Timor-Leste,184,6,2,2,0.36,4,4,2,2,
Central African Republic,185,6,6,6,0.97,6,6,0,0,
Greenland,186,6,-5,5,-0.79,1,1,5,5,
