Year,Bangladesh,Brazil,China,Congo DR,Egypt,France,Germany,India,Indonesia,Japan,Korea,Mexico,Nigeria,Pakistan,Philippines,Russia,Thailand,Turkey,UK,US
1980,,,,,,90177,32115,,,,,,,,,,,,41093,296861
1981,,,,,,58546,27755,,,,,,,,,,,,60064,226992
1982,,,,,,35123,29125,,,,,,,,,,,,68113,238366
1983,,,,,,23462,31337,,,,,,,,,,,-17384,78594,261495
1984,,,,,,21474,40715,,,,,,,,,,,-16651,88688,140140
1985,,,,,,35433,51455,,,,,,,,,,,-20708,100389,104281
1986,,,,,,48744,94864,,,,,,,,,,,-24934,144672,109231
1987,,,,,,107202,166702,,,,,,,,,,,-29522,91209,59617
1988,,,,,,91554,207217,,,,,,,,,,,-30623,86285,21478
1989,,,,,,24531,266985,,,,,,,,,,,-30523,81492,-33713
1990,,,,,,-23216,334268,,,,,,,,,,,-36759,-27053,-149523
1991,,,,,,-60477,310551,,,,,,,,,,,-35419,-7577,-243315
1992,,,,,,-47637,261679,,,,,,,,,,,-37335,16700,-432128
1993,,,,,,-63409,203812,,,,,,,,,17891,,-46316,43837,-121808
1994,,,,,,-26574,193582,,,,-37245,,,,,14862,,-45996,35244,-110311
1995,,,,,,-36867,127360,,,,-46129,,,,,13153,-53976,-46786,-23048,-277567
1996,,,,,,42240,87795,-83413,,891025,-63529,,,,,6877,-62859,-50289,-96952,-328306
1997,,,,,,153839,84203,-82081,,958733,-75538,,,,,612,-74382,-56305,-93187,-788225
1998,,,,,,131245,6972,-80294,,1153635,-68896,,,,,-4370,-63812,-62718,-196765,-1033775
1999,-12087,,,,,12531,64031,-78028,,829119,-91691,,,,,4305,-46807,-72436,-260523,-1002236
2000,-15379,,,,,29709,31629,-76841,,1157933,-42269,,,,,70133,-58993,-96782,-132716,-1536249
2001,-15790,-262275,,,,108875,125344,-70874,-114293,1360082,-57708,-220599,,,-37232,50507,-50809,-82929,-121468,-2294467
2002,-17695,-227590,,,,114577,-75,-60795,-98946,1462160,-61082,-200174,,,-37877,43338,-44634,-83441,-1709,-2410364
2003,-18102,-267762,,,,-57404,21080,-47254,-106317,1613625,-63018,-212243,,-26840,-41614,10030,-54579,-103314,-32364,-2292395
2004,-18524,-282137,240419,,-20760,-71723,138922,-44304,-117129,1784482,-60215,-236625,,-28066,-40211,-4797,-50966,-124377,-218151,-2362767
2005,-19683,-299735,356829,,-16275,-34070,356520,-60174,-125197,1531754,-143871,-256445,-22389,-29430,-39898,-31866,-53835,-170260,-204555,-1857865
2006,-19828,-350436,518259,,-11014,-107530,423929,-60707,-137216,1808167,-156707,-313616,5293,-35718,-46173,-14838,-55153,-203054,-332062,-1807818
2007,-19733,-496021,952001,,-8579,-239171,429060,-75842,-169546,2194949,-188934,-319618,8539,-51041,-47260,-148642,-55069,-309701,-401846,-1278830
2008,-21836,-243658,1392197,,-27238,-368196,594007,-88582,-148123,2489372,-70256,-292164,14530,-70451,-31558,250250,-13417,-191978,154770,-3994624
2009,-19138,-559110,1293397,,-29738,-394677,763506,-131893,-213724,2916476,-100684,-323001,-7891,-55933,-29140,102912,-4517,-270142,-419179,-2626940
2010,-21070,-906164,1478292,,-43449,-226538,720533,-211498,-291062,3150373,-132652,-409147,-15236,-59162,-29312,18409,-41873,-363519,-204448,-2511072
2011,-22153,-820352,1534790,,-52611,-200851,648468,-226581,-318273,3419240,-82183,-373553,-24561,-59820,-23054,149450,-41047,-316034,-232880,-4454617
2012,-19422,-794826,1678075,,-69315,-353302,800674,-301166,-361224,3458136,-97686,-514695,-32503,-63762,-40637,142331,-81072,-425062,-697637,-4569528
2013,-18864,-723915,1818365,-17244,-82288,-483370,956879,-323170,-371433,3093319,-40383,-571647,-52590,-70996,-35957,185483,-69644,-391309,-453145,-5443587
2014,-22399,-705914,1610312,-16826,-85376,-407578,1031699,-361538,-383973,2910483,80879,-536811,-84542,-76343,-40897,313248,-97279,-436185,-567126,-7021188
2015,-20974,-374685,1698871,-17923,-101463,-309406,1138773,-368442,-376834,2715205,204454,-501315,-106528,-76703,-28202,339169,-42817,-369547,-460280,-7590470
2016,-21474,-566634,1984890,-19251,-123711,-306291,1294547,-367345,-333782,2879243,281138,-460143,-63634,-89981,-27993,219666,-33115,-345530,196047,-8258387
2017,-28664,-645232,2065230,-20627,-139669,-554194,1733811,-426692,-323365,2916644,261710,-525429,-57414,-103902,-42709,280296,-50286,-442518,-94187,-7830724
2018,-40700,-595353,2107502,-22253,-156953,-521450,2014470,-433862,-317051,3080381,436190,-554350,-56333,-112632,-48556,374402,-26316,-336090,-83549,-9795821
2019,-48313,-785695,2299588,-23538,-176013,-674129,2284515,-430301,-337919,3270456,517765,-613272,-67407,-115006,-38769,359491,-23973,-309297,-313969,-11653050
2020,-44055,-554240,2286798,-24403,-202641,-870472,2679973,-352021,-279975,3422134,487195,-529111,-76901,-117109,-21333,516731,37599,-384152,-515768,-14707424
2021,-60394,-605624,1983306,,-232314,-908221,2882804,-377039,-277408,3600127,659565,-542046,-73491,-127375,-28120,484828,27525,-252869,-465776,-18124293
2022.00,-70209,-728415,2364004,,,-594806,2760317,-415558,-262612,3171862,786017,-564455,-77939,-131293,-30139,,13820,-224839,-167155,-16710798
