Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Q1 2021,Q2 2021,Q3 2021,Q4 2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Australia,,,,,,,,,,"17,028","19,328","19,338","13,848","14,188","14,308","14,949","17,402","17,094","15,377","21,956","18,817","18,664","21,567","33,258","36,927","43,257","55,080","26,908","32,922","41,743","42,268","46,825","49,222","52,801","53,893","49,267","55,070","68,828","57,489","60,032","45,884","61,596","48,331","48,715","60,493","61,596","63,583","61,172","59,585","59,312","63,583"
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,"11,832","12,901","18,209","16,689","18,040","22,283","25,160","27,213","23,290","24,941","22,236","23,359","21,575","23,207","23,601","30,470","33,983","27,673","28,199","33,092","33,983",,"35,389","33,529","31,471",
"Azerbaijan, Rep. of",,,,,,,,,,,,,,,,,,,,676,951,725,721,803,"1,076","1,178","2,500","4,273","6,467",,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahrain, Kingdom of",,,,,,,,,,"1,081","1,882","1,359","1,266","1,153","1,110","1,280","1,271","1,369","1,356","1,379","1,575","1,695","1,486","1,539","1,701","1,987","2,814","4,235","3,937","3,822","5,096","4,551","5,211","5,354","6,055","3,414","2,447","2,635","2,149","3,681",,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,"2,337","1,842","1,558","1,921","1,618","1,511","1,306","1,683","2,578","3,172","2,826","3,877","5,278","5,789","10,343","11,178","9,192","12,751","18,092","22,311","27,493","32,279","33,424","32,019","32,692","43,165","46,154","43,442","46,393","46,191","46,154",,"44,145","41,827","36,505",
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875,918,744,725,754,598,,,,,,,,,,,,,,,,,
"Belarus, Rep. of",,,,,,,,,,,,,,,,,469,394,339,305,357,359,478,499,770,"1,297","1,383","4,182","3,061","5,653","5,031","7,916","8,095","6,651","5,059","4,176","4,927","7,315","7,158","9,394","7,468","8,425","6,939","7,408","8,453","8,425","9,296","8,991","8,870","8,818","9,296"
Belgium,,"19,698","20,306","18,641","16,064","16,845","19,665","27,107","24,082","23,796","24,883","24,233","22,827","22,514","23,482","23,482","23,050","21,382","20,503","13,310","12,242","13,569","14,698","14,449","13,988","11,996","13,436","16,505","15,646","23,983","26,815","29,432","30,769","26,924","25,394","24,098","23,566","26,159","26,871","28,957","33,319","41,893","30,904","31,734","40,822","41,893",,"42,170","40,371","38,688",
Belgium-Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,262,253,262,400,459,580,591,718,635,656,912,"1,209","1,263","1,230","1,200",887,713,695,722,737,267,798,941,"1,376","1,607",870,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,137,143,153,155,153,163,181,221,208,221,227,221,,237,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,549,684,757,777,672,918,998,959,"1,140","1,008","1,079","1,116","1,366","1,308","1,536","1,308","1,299",971,804,948,804,676,
Bolivia,,,,,,,,,,,,,,,,,,"1,314","1,327","1,360","1,305","1,285","1,049","1,253","1,432","1,959","3,192","5,319","7,722","8,581","9,730","12,020","13,927","14,430","15,123","13,056","10,082","10,261","8,946","6,467","5,276","4,752","4,526","4,626","4,829","4,752",,"4,598","4,503","3,844",
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,"2,464","2,565","3,690","5,042","4,480","4,576","4,412","4,250","4,391","4,984","4,858","4,791","5,137","6,509","6,809","7,207","8,709","9,475","8,188","8,619","9,186","9,475","8,763","9,078","8,550","8,199","8,763"
Botswana,,,,,,,,,,,,,,,"4,401","4,693","5,032","5,676","5,940","6,229","6,317","5,896","5,473","5,339","5,654","6,279","7,954","9,744","9,125","8,679","7,893","8,010","7,627","7,768","8,313","7,553","7,210","7,455","6,652","6,139","4,943","4,767",,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,"35,866","37,837","49,296","52,935","53,799","85,839","180,334","193,783","238,539","288,575","352,010","373,147","358,806","363,550","356,463","365,015","373,966","374,715","356,884","355,620","362,204","347,413","352,486","368,886","362,204",,"353,169","341,958","327,580",
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
